Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,1.7006125145556346,13953.52568192898
Westbroekpark,73,880,1.7708155242358636,1558.31766132756
Duttendel,74,1075,1.6730410858257225,1798.5191672626518
Nassaubuurt,48,1625,1.8227060955064514,2961.8974051979835
Uilennest,75,2100,1.7698464712818842,3716.6775896919567
Duinzigt,76,2495,1.7708155242358636,4418.18473296848
Waalsdorp,77,3810,1.6956447096944591,6460.40634393589
Arendsdorp,78,1305,1.8376401148729729,2398.1203499092294
Van Hoytemastraat en omgeving,79,2360,1.8248803988308944,4306.717741240911
Archipelbuurt,46,6100,1.6580993890277191,10114.406273069088
Van Stolkpark en Scheveningse Bosjes,5,760,1.6375465021700577,1244.535341649244
Oud Scheveningen,1,2920,1.6504054730658761,4819.183981352358
Vissershaven,2,3560,1.5638752392885533,5567.39585186725
Scheveningen Badplaats,3,5390,1.6272719925843668,8770.996040029737
Visserijbuurt,4,3860,1.7627924900950906,6804.37901176705
Rijslag,72,1610,1.730691304709606,2786.4130005824654
Duindorp,100,5955,1.6678949315150167,9932.314317171924
Statenkwartier,7,9665,1.7056656954150387,16485.25894618635
Geuzenkwartier,8,4390,1.5273081817022012,6704.882917672663
Zorgvliet,41,500,1.8207354708323957,910.3677354161979
Stadhoudersplantsoen,42,1960,1.6992369943587018,3330.5045089430555
Sweelinckplein en omgeving,43,5810,1.556944088704982,9045.845155375944
Bloemenbuurt-West,50,2340,1.6245179273361958,3801.371949966698
Bloemenbuurt-Oost,51,6460,1.523385332225772,9841.069246178487
Bomenbuurt,52,5865,1.531222733227109,8980.621330376993
Vogelwijk,9,5350,1.6956965705520046,9071.976652453224
Bosjes van Pex,81,400,1.7003304373146075,680.1321749258431
Bohemen en Meer en Bos,92,4485,1.6469477164607917,7386.560508326651
Ockenburgh,90,795,1.7152788485226775,1363.6466845755288
Kijkduin,91,1550,1.657835119299372,2569.644434914027
Kraayenstein,97,5875,1.6584319432663261,9743.287666689666
Houtwijk,86,12820,1.6134267453354139,20684.130875200004
Kom Loosduinen,95,4975,1.593524010337812,7927.781951430616
Waldeck-Zuid,6,2035,1.590039611749693,3235.7306099106254
Nieuw Waldeck,40,7210,1.307850762117433,9429.603994866691
Rosenburg,82,2910,1.625796943013049,4731.069104167973
Componistenbuurt,93,1825,1.687019365073374,3078.8103412589076
Waldeck-Noord,94,3150,1.7699656023417287,5575.391647376446
Vruchtenbuurt,53,7165,1.6933594344920742,12132.92034813571
Eykenduinen,83,2635,1.54063781230475,4059.5806354230162
Heesterbuurt,54,6805,1.5928010578756189,10839.011198843586
