TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2010,European Union - 27 countries (from 2020),483.1418528,1044.462418,146.9863338,269.5224047,204.8825887,171.8952636
2010,European Union - 28 countries (2013-2020),490.499343,1060.367937,149.2247043,273.6268068,208.0026281,174.512958
2010,European Union - 15 countries (1995-2004),506.1953219,1094.299711,153.9998949,282.3828647,214.6587122,180.0973727
2010,Euro area - 19 countries  (from 2015),497.8568331,1076.273456,151.4630749,277.7312089,211.1226675,177.1306524
2010,Euro area - 12 countries (2001-2006),499.8188305,1080.514928,152.0599737,278.8257162,211.9546781,177.8287042
2010,Belgium,482.6513535,1043.40205,146.8371091,269.2487779,204.6745861,171.7207507
2010,Bulgaria,268.7936399,581.0816294,81.77513798,149.9474901,113.9854402,95.63310098
2010,Czechia,373.27,806.94,113.56,208.23,158.29,132.804361
2010,Denmark,498.3473325,1077.333824,151.6122996,278.0048357,211.3306702,177.3051653
2010,Germany (until 1990 former territory of the FRG),465.4838765,1006.289172,141.6142444,259.6718397,197.3944941,165.6127971
2010,Estonia,429.6774244,928.8823127,130.720841,239.6970828,182.2103022,152.8733512
2010,Ireland,521.4008016,1127.171117,158.6258607,290.8652957,221.1067937,185.5072744
2010,Greece,507.1763206,1096.420447,154.2983443,282.9301183,215.0747175,180.4463986
2010,Spain,464.0123784,1003.108068,141.1665703,258.8509593,196.7704862,165.0892583
2010,France,537.5872799,1162.163259,163.550276,299.8949803,227.9708804,191.266202
2010,Croatia,267.12,820.7247832,188.36,116.01,270,135.0730295
2010,Italy,546.4162681,1181.249882,166.2363206,304.8202628,231.7149277,194.4074352
2010,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2010,Latvia,416.4339422,900.2523784,126.691774,232.309159,176.5942313,148.1615013
2010,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2010,Luxembourg,521.8913009,1128.231485,158.7750854,291.1389225,221.3147963,185.6817873
2010,Hungary,319.8055716,691.3598949,97.29450723,178.4046781,135.6177135,113.7824486
2010,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2010,Netherlands,390.04,1 508.44,150.2692773,275.5421945,430.08,370.38
2010,Austria,502.7618265,1086.877135,152.9553219,280.467477,213.2026938,178.8757819
2010,Poland,292.8281078,524.38,76.29,163.3552037,124.177569,127.31
2010,Portugal,482.6513535,1043.40205,146.8371091,269.2487779,204.6745861,171.7207507
2010,Romania,319.8055716,607.85,62.29,178.4046781,152.78,126.46
2010,Slovenia,410.98,905.5542181,233.7,231.22,177.6342444,149.0340661
2010,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2010,Finland,513.5528121,1110.20523,156.2382654,286.4872668,217.7787516,182.715067
2010,Sweden,530.2297898,1146.25774,161.3119054,295.7905782,224.850841,188.6485076
2010,United Kingdom,542.4922733,1172.766938,165.042523,302.6312484,230.0509067,193.0113315
2010,Iceland,530.7202891,1147.318108,161.4611301,296.064205,225.0588436,188.8230206
2010,Norway,552.7927595,1195.034665,168.1762418,308.3774113,234.4189619,196.6761037
2010,Switzerland,475.2938633,1027.496531,144.5987385,265.1443758,201.5545466,169.1030563
2010,Montenegro,303.6190933,656.367753,92.37009198,169.3749934,128.7536268,108.023521
2010,North Macedonia,294.7901051,637.2811301,89.68404731,164.4497109,125.0095795,104.8822878
2010,Albania,350.2165309,757.102707,106.5464389,195.3695401,148.5138765,124.602252
2010,Serbia,329.6155585,712.5672536,100.2790013,183.8772142,139.7777661,117.2727078
2010,Turkey,204.48,1 360.55,98.33908016,126.2,137.0737319,115.0040393
2010,Bosnia and Herzegovina,279.0941261,603.3493561,84.90885677,155.6936531,118.3534954,99.2978731
2010,Kosovo (under United Nations Security Council Resolution 1244/99),490.499343,1060.367937,149.2247043,273.6268068,208.0026281,174.512958
2011,European Union - 27 countries (from 2020),480.2675524,1038.248717,146.1118848,267.918966,203.6637042,184.9327938
2011,European Union - 28 countries (2013-2020),488.5732984,1056.204188,148.6387435,272.552356,207.1858639,188.1310212
2011,European Union - 15 countries (1995-2004),505.1847906,1092.115131,153.6924607,281.8191361,214.2301832,194.5274759
2011,Euro area - 19 countries  (from 2015),495.4133246,1070.991047,150.7196859,276.368089,210.086466,190.7648555
2011,Euro area - 12 countries (2001-2006),497.3676178,1075.215864,151.3142408,277.4582984,210.9152094,191.5173796
2011,Belgium,485.1532853,1048.810759,147.5982723,270.6444895,205.7355628,186.814104
2011,Bulgaria,261.3867147,565.0692408,79.52172775,145.8155105,110.8444372,100.6500963
