"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Total","6 015 148.4",""
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","119 449.6",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Total","7 151 613.2",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","136 554.2",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Total","6 549 885.0",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","128 202.0",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Total","5 209 197.5",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","106 816.8",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Total","5 246 022.2",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","107 292.7",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Total","5 131 747.7",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","105 387.6",""
"2010","Belgium","Current prices, million euro","Total","179 681.8",""
"2010","Belgium","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","3 786.2",""
"2010","Bulgaria","Current prices, million euro","Total","25 991.3",""
"2010","Bulgaria","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","596.8",""
"2010","Czechia","Current prices, million euro","Total","79 056.3",""
"2010","Czechia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","1 545.0",""
"2010","Denmark","Current prices, million euro","Total","111 806.6",""
"2010","Denmark","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","2 186.7",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Total","1 348 202.0",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","33 887.0",""
"2010","Estonia","Current prices, million euro","Total","7 943.1",""
"2010","Estonia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","110.0",""
"2010","Ireland","Current prices, million euro","Total","75 881.5",""
"2010","Ireland","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","1 068.7",""
"2010","Greece","Current prices, million euro","Total","159 492.9",""
"2010","Greece","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","1 701.7",""
"2010","Spain","Current prices, million euro","Total","638 301.0",""
"2010","Spain","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","8 715.0",""
"2010","France","Current prices, million euro","Total","1 078 680.0",""
"2010","France","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","16 615.0",""
"2010","Croatia","Current prices, million euro","Total","31 268.0",""
"2010","Croatia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","392.1",""
"2010","Italy","Current prices, million euro","Total","982 604.0",""
"2010","Italy","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","24 778.1",""
"2010","Cyprus","Current prices, million euro","Total","13 283.4",""
"2010","Cyprus","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","124.6",""
"2010","Latvia","Current prices, million euro","Total","11 043.5",""
"2010","Latvia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","121.2",""
"2010","Lithuania","Current prices, million euro","Total","17 838.2","b"
"2010","Lithuania","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","244.7","b"
"2010","Luxembourg","Current prices, million euro","Total","14 712.6",""
"2010","Luxembourg","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","245.4",""
"2010","Hungary","Current prices, million euro","Total","53 088.4",""
"2010","Hungary","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","735.7",""
"2010","Malta","Current prices, million euro","Total","4 341.7",""
"2010","Malta","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","127.8",""
"2010","Netherlands","Current prices, million euro","Total","282 121.0",""
"2010","Netherlands","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","6 103.0",""
"2010","Austria","Current prices, million euro","Total","158 025.0",""
"2010","Austria","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","4 630.3",""
"2010","Poland","Current prices, million euro","Total","219 805.6",""
"2010","Poland","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","2 760.0",""
"2010","Portugal","Current prices, million euro","Total","119 946.9",""
"2010","Portugal","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","2 076.6",""
"2010","Romania","Current prices, million euro","Total","78 244.2",""
"2010","Romania","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","417.5",""
"2010","Slovenia","Current prices, million euro","Total","21 248.3",""
