Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,35.62654770313701,292315.82390423917
Westbroekpark,73,880,39.384946721815965,34658.75311519805
Duttendel,74,1075,35.610021198839284,38280.772788752234
Nassaubuurt,48,1625,36.06304571677925,58602.44928976628
Uilennest,75,2100,35.40438236706249,74349.20297083123
Duinzigt,76,2495,39.384946721815965,98265.44207093083
Waalsdorp,77,3810,36.02738743572042,137264.3461300948
Arendsdorp,78,1305,37.1742199869217,48512.35708293282
Van Hoytemastraat en omgeving,79,2360,36.74877208690295,86727.10212509097
Archipelbuurt,46,6100,38.82645818319286,236841.39491747646
Van Stolkpark en Scheveningse Bosjes,5,760,35.11225095288895,26685.310724195602
Oud Scheveningen,1,2920,34.22805910744413,99945.93259373687
Vissershaven,2,3560,25.25311052765675,89901.07347845804
Scheveningen Badplaats,3,5390,34.175305183381,184204.8949384236
Visserijbuurt,4,3860,33.95130357542402,131052.03180113672
Rijslag,72,1610,39.57417522933369,63714.42211922724
Duindorp,100,5955,28.649550620737333,170608.07394649083
Statenkwartier,7,9665,36.26665179869628,350517.18963439955
Geuzenkwartier,8,4390,33.92058837856317,148911.3829818923
Zorgvliet,41,500,40.19180911224304,20095.90455612152
Stadhoudersplantsoen,42,1960,35.43561411675071,69453.8036688314
Sweelinckplein en omgeving,43,5810,33.671758022104456,195632.9141084269
Bloemenbuurt-West,50,2340,38.62346262438212,90378.90254105417
Bloemenbuurt-Oost,51,6460,34.88226506411521,225339.43231418426
Bomenbuurt,52,5865,33.25476687408979,195039.20771653662
Vogelwijk,9,5350,39.155341988066475,209481.07963615563
Bosjes van Pex,81,400,42.26713182275787,16906.852729103146
Bohemen en Meer en Bos,92,4485,38.8089473206087,174058.12873293002
Ockenburgh,90,795,42.834414302459,34053.359370454906
Kijkduin,91,1550,41.93807776094887,65004.02052947075
Kraayenstein,97,5875,39.066236076477765,229514.13694930688
Houtwijk,86,12820,32.81904831542368,420740.19940373156
Kom Loosduinen,95,4975,34.47757047428769,171525.91310958125
Waldeck-Zuid,6,2035,34.4633442901583,70132.90563047213
Nieuw Waldeck,40,7210,28.289933650264448,203970.42161840666
Rosenburg,82,2910,34.348618458337214,99954.47971376129
Componistenbuurt,93,1825,39.458042939598094,72010.92836476653
Waldeck-Noord,94,3150,38.75440378706961,122076.37192926928
Vruchtenbuurt,53,7165,36.290504676386234,260021.46600630737
Eykenduinen,83,2635,38.39205420022908,101163.06281760364
Heesterbuurt,54,6805,21.36153171689109,145365.22333344386
Valkenboskwartier,55,11435,21.563664459957568,246580.50309961478
Rond de Energiecentrale,10,5955,32.40262754535416,192957.647032584
Koningsplein en omgeving,44,7575,34.033328388699715,257802.46254440033
Zeeheldenkwartier,45,11845,39.95764618925636,473298.31911174156
Willemspark,47,1490,39.495742146245284,58848.65579790547
Haagse Bos,49,425,39.51487067156947,16793.820035417026
Landen,61,5155,22.66469521301681,116836.50382310165
