"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Novel, Top 5 (1 book)","Bulgaria","Euro","2015","8.00",""
"Novel, Top 5 (1 book)","Czechia","Euro","2015",":",""
"Novel, Top 5 (1 book)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Novel, Top 5 (1 book)","Spain","Euro","2015",":",""
"Novel, Top 5 (1 book)","Croatia","Euro","2015","14.34",""
"Novel, Top 5 (1 book)","Italy","Euro","2015","14.57",""
"Novel, Top 5 (1 book)","Cyprus","Euro","2015","18.05",""
"Novel, Top 5 (1 book)","Lithuania","Euro","2015","13.06",""
"Novel, Top 5 (1 book)","Malta","Euro","2015","16.32",""
"Novel, Top 5 (1 book)","Netherlands","Euro","2015","15.52",""
"Novel, Top 5 (1 book)","Poland","Euro","2015","8.92","d"
"Novel, Top 5 (1 book)","Romania","Euro","2015","7.74",""
"Novel, Top 5 (1 book)","Slovenia","Euro","2015",":",""
"Novel, Top 5 (1 book)","Slovakia","Euro","2015","12.55",""
"Novel, Top 5 (1 book)","Finland","Euro","2015",":",""
"Novel, Top 5 (1 book)","Norway","Euro","2015",":",""
"Novel, Top 5 (1 book)","Turkey","Euro","2015","6.76",""
"Daily newspaper (1 piece)","Bulgaria","Euro","2015","0.36",""
"Daily newspaper (1 piece)","Czechia","Euro","2015","0.66",""
"Daily newspaper (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Daily newspaper (1 piece)","Spain","Euro","2015",":",""
"Daily newspaper (1 piece)","Croatia","Euro","2015","0.88",""
"Daily newspaper (1 piece)","Italy","Euro","2015","1.50",""
"Daily newspaper (1 piece)","Cyprus","Euro","2015","1.98",""
"Daily newspaper (1 piece)","Lithuania","Euro","2015","0.57",""
"Daily newspaper (1 piece)","Malta","Euro","2015","0.90",""
"Daily newspaper (1 piece)","Netherlands","Euro","2015","1.63",""
"Daily newspaper (1 piece)","Poland","Euro","2015","0.73",""
"Daily newspaper (1 piece)","Romania","Euro","2015","0.49",""
"Daily newspaper (1 piece)","Slovenia","Euro","2015","1.35",""
"Daily newspaper (1 piece)","Slovakia","Euro","2015","0.49",""
"Daily newspaper (1 piece)","Finland","Euro","2015",":",""
"Daily newspaper (1 piece)","Norway","Euro","2015","3.24",""
"Daily newspaper (1 piece)","Turkey","Euro","2015",":",""
"Magazine, weekly, gossip (1 copy)","Bulgaria","Euro","2015","0.87",""
"Magazine, weekly, gossip (1 copy)","Czechia","Euro","2015","1.08",""
"Magazine, weekly, gossip (1 copy)","Germany (until 1990 former territory of the FRG)","Euro","2015","1.30",""
"Magazine, weekly, gossip (1 copy)","Spain","Euro","2015",":",""
"Magazine, weekly, gossip (1 copy)","Croatia","Euro","2015","1.48",""
"Magazine, weekly, gossip (1 copy)","Italy","Euro","2015","1.60",""
"Magazine, weekly, gossip (1 copy)","Cyprus","Euro","2015","2.70",""
"Magazine, weekly, gossip (1 copy)","Lithuania","Euro","2015","1.37",""
"Magazine, weekly, gossip (1 copy)","Malta","Euro","2015","5.94",""
"Magazine, weekly, gossip (1 copy)","Netherlands","Euro","2015","3.01",""
"Magazine, weekly, gossip (1 copy)","Poland","Euro","2015",":",""
"Magazine, weekly, gossip (1 copy)","Romania","Euro","2015",":",""
"Magazine, weekly, gossip (1 copy)","Slovenia","Euro","2015","1.74",""
"Magazine, weekly, gossip (1 copy)","Slovakia","Euro","2015","0.85",""
"Magazine, weekly, gossip (1 copy)","Finland","Euro","2015",":",""
"Magazine, weekly, gossip (1 copy)","Norway","Euro","2015","4.45",""
"Magazine, weekly, gossip (1 copy)","Turkey","Euro","2015",":",""
"Paper, DIN A4 (500 sheets)","Bulgaria","Euro","2015","3.70",""
"Paper, DIN A4 (500 sheets)","Czechia","Euro","2015","3.46",""
"Paper, DIN A4 (500 sheets)","Germany (until 1990 former territory of the FRG)","Euro","2015","4.39",""
"Paper, DIN A4 (500 sheets)","Spain","Euro","2015",":",""
"Paper, DIN A4 (500 sheets)","Croatia","Euro","2015","4.35",""
"Paper, DIN A4 (500 sheets)","Italy","Euro","2015","4.52",""
"Paper, DIN A4 (500 sheets)","Cyprus","Euro","2015","4.17",""
"Paper, DIN A4 (500 sheets)","Lithuania","Euro","2015","4.47",""
"Paper, DIN A4 (500 sheets)","Malta","Euro","2015","4.93",""
"Paper, DIN A4 (500 sheets)","Netherlands","Euro","2015",":",""
"Paper, DIN A4 (500 sheets)","Poland","Euro","2015","3.71",""
"Paper, DIN A4 (500 sheets)","Romania","Euro","2015","3.32",""
"Paper, DIN A4 (500 sheets)","Slovenia","Euro","2015","4.56",""
"Paper, DIN A4 (500 sheets)","Slovakia","Euro","2015","3.66",""
"Paper, DIN A4 (500 sheets)","Finland","Euro","2015",":",""
"Paper, DIN A4 (500 sheets)","Norway","Euro","2015","5.98",""
"Paper, DIN A4 (500 sheets)","Turkey","Euro","2015","2.72",""
