Name,Consumptionpercapita,GWP per capita
Belgisch Park,147.9147356,75.84328066
Westbroekpark,143.1508568,73.40060183
Duttendel,137.8130492,70.663641
Nassaubuurt,143.2098833,73.43086767
Uilennest,141.4787498,72.54322895
Duinzigt,142.9402425,73.29260937
Waalsdorp,139.8056018,71.68532232
Arendsdorp,144.308794,73.9943341
Van Hoytemastraat en omgeving,141.2057961,72.40327195
Archipelbuurt,138.2061191,70.86518756
Van Stolkpark en Scheveningse Bosjes,138.8329003,71.18656964
Oud Scheveningen,128.579972,65.92938064
Vissershaven,102.8788667,52.75113892
Scheveningen Badplaats,122.7995456,62.96546701
Visserijbuurt,115.9604109,59.45870067
Rijslag,145.0168228,74.35737587
Duindorp,145.0569383,74.3779451
Statenkwartier,139.1687861,71.35879508
Geuzenkwartier,112.1100065,57.48440581
Zorgvliet,150.162148,76.9956414
Stadhoudersplantsoen,134.7690898,69.10285081
Sweelinckplein en omgeving,130.5380841,66.93340262
Bloemenbuurt-West,134.6379462,69.03560691
Bloemenbuurt-Oost,119.0598361,61.04793098
Bomenbuurt,116.9326849,59.95723416
Vogelwijk,138.8501229,71.19540053
Bosjes van Pex,142.884456,73.26400481
Bohemen en Meer en Bos,123.966467,63.56380594
Ockenburgh,147.0637687,75.40694739
Kijkduin,140.5047731,72.0438224
Kraayenstein,137.8548963,70.68509807
Houtwijk,110.1810581,56.49533753
Kom Loosduinen,106.9241105,54.82533768
Waldeck-Zuid,107.3164711,55.02652056
Nieuw Waldeck,102.0625434,52.33256915
Rosenburg,107.2377206,54.98614124
Componistenbuurt,129.6421404,66.4740075
Waldeck-Noord,116.7054792,59.84073448
Vruchtenbuurt,134.1696028,68.79546381
Eykenduinen,116.8670769,59.92359368
Heesterbuurt,114.3610352,58.63862079
Valkenboskwartier,107.9236252,55.33783884
Rond de Energiecentrale,120.6981068,61.88795428
Koningsplein en omgeving,106.2668566,54.48833072
Zeeheldenkwartier,130.7058056,67.01940181
Willemspark,134.5293552,68.97992689
Haagse Bos,139.755492,71.65962854
Landen,113.4269557,58.15967155
Kampen,109.0006378,55.89007702
Marlot,152.9600233,78.43025193
Burgen en Horsten,113.5495581,58.22253591
Bezuidenhout-West,142.4344715,73.03327529
Bezuidenhout-Midden,128.4190967,65.84689185
Bezuidenhout-Oost,131.5276344,67.44079454
Huygenspark,138.770334,71.15448878
Rivierenbuurt-Zuid,141.0876752,72.34270546
Rivierenbuurt-Noord,125.2660743,64.23017959
Kortenbos,123.9831634,63.57236702
Voorhout,142.2916742,72.96005594
Uilebomen,129.2964846,66.29677246
Zuidwal,128.374052,65.82379518
Schildersbuurt-West,152.5012758,78.19502916
Schildersbuurt-Noord,149.7043283,76.76089432
Schildersbuurt-Oost,149.5937601,76.70420051
Transvaalkwartier-Noord,151.5778936,77.72156496
Transvaalkwartier-Midden,145.2734301,74.48895131
Transvaalkwartier-Zuid,146.6282163,75.18361792
Rustenburg,142.4072623,73.01932373
Oostbroek-Noord,142.2131044,72.91976928
Oostbroek-Zuid,143.3632915,73.5095277
Leyenburg,129.125593,66.20914782
"Venen, Oorden en Raden",143.4270464,73.54221803
"Zijden, Steden en Zichten",143.3556477,73.50560838
Dreven en Gaarden,140.591174,72.08812447
De Uithof,123.8506175,63.50440414
Morgenstond-Zuid,144.0095534,73.84089851
Morgenstond-West,139.4251297,71.49023528
Morgenstond-Oost,143.9856023,73.8286176
Moerwijk-Oost,144.2410545,73.95960069
Moerwijk-West,142.0255723,72.8236122
Moerwijk-Noord,144.4170607,74.0498479
Moerwijk-Zuid,144.005024,73.83857604
Groente- en Fruitmarkt,145.3368953,74.52149305
Laakhaven-Oost,149.7085899,76.7630795
Laakhaven-West,146.256432,74.99298552
Spoorwijk,145.3537759,74.5301486
Laakkwartier-West,144.8879603,74.29130163
Laakkwartier-Oost,145.6160518,74.66463057
Noordpolderbuurt,146.1702849,74.94881357
Binckhorst,150.0147089,76.92004199
Erasmus Veld,117.1727004,60.08030214
Hoge Veld,102.9704613,52.79810401
Parkbuurt oosteinde,154.0982998,79.01390322
Lage Veld,114.7822812,58.85461467
Zonne Veld,128.662866,65.97188454
Vlietzoom-West,145.5158937,74.61327448
Bosweide,153.1668332,78.53629373
De Venen,118.0397097,60.52486116
Morgenweide,129.3907655,66.345115
Singels,126.9075088,65.07182513
Waterbuurt,114.604464,58.76343893
De Bras,144.7927825,74.24249925
Vlietzoom-Oost,149.1730754,76.48849442
De Lanen,142.339179,72.98441405
De Velden,147.3642233,75.56100552
De Vissen,131.1256797,67.23469229
Rietbuurt,144.6849374,74.18720164
