Name,BUURTCODE,Population,Male,Female,0 to 15 year,15 to 25 year,25 to 45 year,45 to 65 year,65 or older,Primary,Secondary,Tertiary,Activity rate,Income
Belgisch Park,71,8205,0.491163924,0.508836076,0.151736746,0.148080439,0.216331505,0.282754418,0.201706277,0.17,0.38,0.45,0.544,42500
Westbroekpark,73,880,0.448863636,0.551136364,0.113636364,0.096590909,0.107954545,0.232954545,0.448863636,0.13,0.25,0.62,0.405,66400
Duttendel,74,1075,0.460465116,0.539534884,0.144186047,0.08372093,0.134883721,0.293023256,0.348837209,0.13,0.25,0.62,0.494,73600
Nassaubuurt,48,1625,0.48,0.516923077,0.193846154,0.089230769,0.255384615,0.261538462,0.203076923,0.1,0.23,0.66,0.604,76900
Uilennest,75,2100,0.454761905,0.545238095,0.145238095,0.054761905,0.25952381,0.257142857,0.283333333,0.1,0.23,0.66,0.624,52300
Duinzigt,76,2495,0.414829659,0.583166333,0.092184369,0.062124248,0.122244489,0.20240481,0.521042084,0.1,0.23,0.66,0.482,52200
Waalsdorp,77,3810,0.479002625,0.520997375,0.232283465,0.089238845,0.204724409,0.278215223,0.195538058,0.1,0.23,0.66,0.599,71300
Arendsdorp,78,1305,0.475095785,0.524904215,0.206896552,0.084291188,0.199233716,0.249042146,0.260536398,0.1,0.23,0.66,0.626,74600
Van Hoytemastraat en omgeving,79,2360,0.485169492,0.514830508,0.230932203,0.080508475,0.286016949,0.258474576,0.148305085,0.1,0.23,0.66,0.658,61100
Archipelbuurt,46,6100,0.475409836,0.523770492,0.13852459,0.096721311,0.249180328,0.3,0.216393443,0.11,0.25,0.63,0.58,66900
Van Stolkpark en Scheveningse Bosjes,5,760,0.460526316,0.532894737,0.138157895,0.098684211,0.164473684,0.269736842,0.328947368,0.14,0.13,0.74,0.507,77400
Oud Scheveningen,1,2920,0.503424658,0.496575342,0.135273973,0.075342466,0.325342466,0.285958904,0.178082192,0.26,0.39,0.35,0.582,29600
Vissershaven,2,3560,0.483146067,0.515449438,0.161516854,0.082865169,0.265449438,0.273876404,0.216292135,0.26,0.39,0.35,0.549,29500
Scheveningen Badplaats,3,5390,0.498144712,0.500927644,0.139146568,0.102040816,0.316326531,0.273654917,0.168831169,0.26,0.39,0.35,0.611,35500
Visserijbuurt,4,3860,0.471502591,0.528497409,0.150259067,0.097150259,0.266839378,0.262953368,0.222797927,0.26,0.39,0.35,0.554,32700
Rijslag,72,1610,0.47515528,0.52484472,0.133540373,0.114906832,0.239130435,0.263975155,0.248447205,0.26,0.39,0.35,0.594,39500
Duindorp,100,5955,0.502099076,0.497900924,0.188077246,0.094878254,0.279596977,0.296389589,0.141897565,0.43,0.39,0.18,0.608,27300
Statenkwartier,7,9665,0.480082773,0.519917227,0.184687015,0.112260735,0.239006725,0.290222452,0.173305742,0.14,0.27,0.58,0.603,59700
Geuzenkwartier,8,4390,0.479498861,0.520501139,0.154897494,0.101366743,0.265375854,0.276765376,0.201594533,0.14,0.27,0.58,0.577,31600
Zorgvliet,41,500,0.51,0.49,0.13,0.06,0.23,0.24,0.34,0.33,0.36,0.31,0.488,88000
Stadhoudersplantsoen,42,1960,0.474489796,0.525510204,0.155612245,0.073979592,0.326530612,0.237244898,0.209183673,0.08,0.2,0.71,0.601,41800
