Name,Consumptionpercapita,GWP per capita
Belgisch Park,2.561943789,6.589575619
Westbroekpark,2.897702283,7.453180042
Duttendel,2.902105039,7.464504372
Nassaubuurt,2.478516448,6.374992156
Uilennest,2.792683135,7.183060291
Duinzigt,2.768052892,7.119708842
Waalsdorp,2.334658095,6.004974086
Arendsdorp,2.347253467,6.037370641
Van Hoytemastraat en omgeving,2.337353472,6.011906866
Archipelbuurt,2.918704683,7.507200315
Van Stolkpark en Scheveningse Bosjes,2.766328228,7.115272835
Oud Scheveningen,2.5252477,6.495189608
Vissershaven,2.298322624,5.911515622
Scheveningen Badplaats,2.509010038,6.453424719
Visserijbuurt,2.50432179,6.441366075
Rijslag,2.329285232,5.991154546
Duindorp,2.316274893,5.957690653
Statenkwartier,2.757989914,7.093825858
Geuzenkwartier,2.813511275,7.23663235
Zorgvliet,2.440900201,6.278239406
Stadhoudersplantsoen,2.566212348,6.600554781
Sweelinckplein en omgeving,2.57396417,6.620493241
Bloemenbuurt-West,2.38228248,6.127468767
Bloemenbuurt-Oost,2.618463702,6.734950487
Bomenbuurt,2.612337311,6.719192797
Vogelwijk,2.536860049,6.525057731
Bosjes van Pex,2.594788799,6.674056271
Bohemen en Meer en Bos,2.507693946,6.450039599
Ockenburgh,3.084905748,7.934686075
Kijkduin,2.930286875,7.536990872
Kraayenstein,2.009475792,5.168572684
Houtwijk,2.249974572,5.787159596
Kom Loosduinen,2.515581651,6.470327564
Waldeck-Zuid,2.529082031,6.505051892
Nieuw Waldeck,2.286782475,5.881833205
Rosenburg,2.537858184,6.527625036
Componistenbuurt,2.55427052,6.569839205
Waldeck-Noord,2.502340773,6.436270701
Vruchtenbuurt,2.547866582,6.553367636
Eykenduinen,2.665377337,6.855617048
Heesterbuurt,2.301745306,5.920319102
Valkenboskwartier,2.546115974,6.548864896
Rond de Energiecentrale,3.11997976,8.024899942
Koningsplein en omgeving,2.986910752,7.682633146
Zeeheldenkwartier,3.123857947,8.034875027
Willemspark,3.001137563,7.719225926
Haagse Bos,2.508470929,6.452038077
Landen,2.29412245,5.900712353
Kampen,2.455294213,6.315262246
Marlot,1.88344284,4.844403328
Burgen en Horsten,2.560129437,6.584908926
Bezuidenhout-West,3.083520276,7.931122501
Bezuidenhout-Midden,2.764677128,7.111026042
Bezuidenhout-Oost,2.97953338,7.663657808
Huygenspark,2.502286483,6.436131064
Rivierenbuurt-Zuid,2.543259112,6.541516761
Rivierenbuurt-Noord,2.535687442,6.522041668
Kortenbos,2.775515096,7.138902379
Voorhout,2.749901689,7.073022135
Uilebomen,2.661369271,6.845307903
Zuidwal,2.75087668,7.075529909
Schildersbuurt-West,2.447222446,6.294500852
Schildersbuurt-Noord,2.468065044,6.348110099
Schildersbuurt-Oost,2.466860128,6.345010936
Transvaalkwartier-Noord,2.655653346,6.83060597
Transvaalkwartier-Midden,2.486387311,6.395236801
Transvaalkwartier-Zuid,2.431682133,6.254529614
Rustenburg,2.317666081,5.961268926
Oostbroek-Noord,2.309107073,5.939254302
Oostbroek-Zuid,2.174550219,5.593160618
Leyenburg,2.614072445,6.723655735
"Venen, Oorden en Raden",1.799823034,4.629324827
"Zijden, Steden en Zichten",1.893906765,4.871317589
Dreven en Gaarden,1.898927772,4.884232122
De Uithof,2.464063339,6.337817313
Morgenstond-Zuid,2.246853537,5.779131982
Morgenstond-West,2.004328063,5.15533221
Morgenstond-Oost,2.345323509,6.032406597
Moerwijk-Oost,1.89967457,4.886152961
Moerwijk-West,1.853683157,4.767858449
Moerwijk-Noord,1.903157364,4.895111057
Moerwijk-Zuid,1.920155364,4.938831611
Groente- en Fruitmarkt,1.794265554,4.615030431
Laakhaven-Oost,2.640860672,6.792557734
Laakhaven-West,2.342402535,6.024893561
Spoorwijk,1.848466405,4.75444044
Laakkwartier-West,2.379470598,6.120236324
Laakkwartier-Oost,2.366327729,6.086431553
Noordpolderbuurt,2.373779536,6.105598345
Binckhorst,3.093577638,7.956991043
Erasmus Veld,2.528121344,6.502580909
Hoge Veld,1.899042026,4.884525995
Parkbuurt oosteinde,2.229803653,5.735277975
Lage Veld,2.266655525,5.830064676
Zonne Veld,1.841394871,4.736251747
Vlietzoom-West,2.4389746,6.273286569
Bosweide,1.840794322,4.734707077
De Venen,1.89396671,4.871471776
Morgenweide,1.885256713,4.849068793
Singels,1.859715004,4.783372963
Waterbuurt,1.875154416,4.823084674
De Bras,1.872852548,4.817164039
Vlietzoom-Oost,2.562629244,6.591338678
De Lanen,1.90494549,4.899710296
De Velden,1.909928916,4.912528166
De Vissen,1.913010887,4.920455301
Rietbuurt,1.940339364,4.990746878
