Name,Consumptionpercapita,GWP_paper
Belgisch Park,35.6265477,51.30222869
Westbroekpark,39.38494672,56.71432328
Duttendel,35.6100212,51.27843053
Nassaubuurt,36.06304572,51.93078584
Uilennest,35.40438237,50.98231061
Duinzigt,39.38494672,56.71432328
Waalsdorp,36.02738744,51.87943791
Arendsdorp,37.17421999,53.53087679
Van Hoytemastraat en omgeving,36.74877209,52.91823181
Archipelbuurt,38.82645818,55.91009978
Van Stolkpark en Scheveningse Bosjes,35.11225095,50.56164137
Oud Scheveningen,34.22805911,49.28840512
Vissershaven,25.25311053,36.36447916
Scheveningen Badplaats,34.17530518,49.21243946
Visserijbuurt,33.95130358,48.88987716
Rijslag,39.57417523,56.98681233
Duindorp,28.64955062,41.25535289
Statenkwartier,36.2666518,52.22397859
Geuzenkwartier,33.92058838,48.84564727
Zorgvliet,40.19180911,57.87620512
Stadhoudersplantsoen,35.43561412,51.02728433
Sweelinckplein en omgeving,33.67175802,48.48733155
Bloemenbuurt-West,38.62346262,55.61778617
Bloemenbuurt-Oost,34.88226506,50.23046169
Bomenbuurt,33.25476687,47.88686429
Vogelwijk,39.15534199,56.38369247
Bosjes van Pex,42.26713182,60.86466982
Bohemen en Meer en Bos,38.80894732,55.88488414
Ockenburgh,42.8344143,61.68155659
Kijkduin,41.93807776,60.39083197
Kraayenstein,39.06623608,56.25537996
Houtwijk,32.81904832,47.25942958
Kom Loosduinen,34.47757047,49.64770148
Waldeck-Zuid,34.46334429,49.62721578
Nieuw Waldeck,28.28993365,40.73750446
Rosenburg,34.34861846,49.46201058
Componistenbuurt,39.45804294,56.81958183
Waldeck-Noord,38.75440379,55.80634146
Vruchtenbuurt,36.29050468,52.25832674
Eykenduinen,38.3920542,55.28455805
Heesterbuurt,21.36153172,30.76060568
Valkenboskwartier,21.56366446,31.05167682
Rond de Energiecentrale,32.40262755,46.65978367
Koningsplein en omgeving,34.03332839,49.00799288
Zeeheldenkwartier,39.95764619,57.53901051
Willemspark,39.49574215,56.8738687
Haagse Bos,39.51487067,56.90141376
Landen,22.66469521,32.6371611
Kampen,23.39613212,33.69043025
Marlot,36.77699273,52.95886953
Burgen en Horsten,25.50484011,36.72696976
Bezuidenhout-West,23.2573191,33.4905395
Bezuidenhout-Midden,35.08073214,50.51625428
Bezuidenhout-Oost,38.94368859,56.07891157
Huygenspark,33.97456532,48.92337406
Rivierenbuurt-Zuid,34.11434971,49.12466358
Rivierenbuurt-Noord,23.63968399,34.04114495
Kortenbos,38.71650304,55.75176438
Voorhout,40.26535819,57.98211579
Uilebomen,39.0927443,56.29355179
Zuidwal,32.8857636,47.35549958
Schildersbuurt-West,29.59268361,42.6134644
Schildersbuurt-Noord,29.38144495,42.30928073
Schildersbuurt-Oost,29.1803165,42.01965576
Transvaalkwartier-Noord,28.1803004,40.57963258
Transvaalkwartier-Midden,25.77255146,37.1124741
Transvaalkwartier-Zuid,27.57078413,39.70192915
Rustenburg,24.31027814,35.00680052
Oostbroek-Noord,24.30565876,35.00014861
Oostbroek-Zuid,25.76586938,37.10285191
Leyenburg,27.56443039,39.69277976
"Venen, Oorden en Raden",25.70537247,37.01573636
"Zijden, Steden en Zichten",26.55397717,38.23772712
Dreven en Gaarden,27.16836795,39.12244985
De Uithof,33.07661749,47.63032919
Morgenstond-Zuid,25.94333228,37.35839848
Morgenstond-West,23.63672373,34.03688217
Morgenstond-Oost,24.8901421,35.84180462
Moerwijk-Oost,26.18602908,37.70788188
Moerwijk-West,26.04330396,37.5023577
Moerwijk-Noord,25.94022274,37.35392075
Moerwijk-Zuid,24.55504394,35.35926327
Groente- en Fruitmarkt,27.14585816,39.09003575
Laakhaven-Oost,26.12438844,37.61911935
Laakhaven-West,25.28259309,36.40693405
Spoorwijk,26.71919834,38.47564561
Laakkwartier-West,24.25871672,34.93255208
Laakkwartier-Oost,24.19209241,34.83661307
Noordpolderbuurt,25.59731902,36.86013939
Binckhorst,35.44706942,51.04377996
Erasmus Veld,38.31639386,55.17560716
Hoge Veld,34.99800884,50.39713273
Parkbuurt oosteinde,40.14758571,57.81252342
Lage Veld,38.87855941,55.98512555
Zonne Veld,39.31999178,56.62078816
Vlietzoom-West,39.01635585,56.18355242
Bosweide,40.25468768,57.96675026
De Venen,35.82150497,51.58296716
Morgenweide,37.02588185,53.31726986
Singels,39.47997275,56.85116076
Waterbuurt,34.89118231,50.24330253
De Bras,40.0553574,57.67971466
Vlietzoom-Oost,42.91225725,61.79365044
De Lanen,36.834972,53.04235968
De Velden,40.10426821,57.75014622
De Vissen,40.00093157,57.60134146
Rietbuurt,37.85816293,54.51575462
