Name,Type,green electricity,nongreen electricity,BUURTCODE,net_gwp_green,net_gwp_nongreen
Belgisch Park,Buurt,822.991371,550.4882146,71,10.91706284,394.8209811
Westbroekpark,Buurt,877.9919406,755.3603321,73,11.64665089,541.7592957
Duttendel,Buurt,924.3100076,749.6899924,74,12.26106468,537.6924164
Nassaubuurt,Buurt,821.7113866,618.2886134,48,10.90008371,443.4487615
Uilennest,Buurt,828.8238123,654.2238067,75,10.99443075,469.2221893
Duinzigt,Buurt,770.5676441,702.9794501,76,10.22165686,504.1906963
Waalsdorp,Buurt,779.7890779,580.8802135,77,10.3439801,416.6187208
Arendsdorp,Buurt,687.0660562,532.2442887,78,9.113999942,381.7360784
Van Hoytemastraat en omgeving,Buurt,772.3597439,556.6656798,79,10.24542924,399.2515808
Archipelbuurt,Buurt,768.9067835,577.0932165,46,10.19962537,413.902612
Van Stolkpark en Scheveningse Bosjes,Buurt,717.6140895,617.9780158,5,9.519222658,443.2259947
Oud Scheveningen,Buurt,738.5820481,459.6713765,1,9.797364727,329.6853576
Vissershaven,Buurt,717.4016696,455.6320383,2,9.516404888,326.7882647
Scheveningen Badplaats,Buurt,809.3052813,495.277279,3,10.73551549,355.2226116
Visserijbuurt,Buurt,770.2450904,483.1227853,4,10.21737815,346.5051695
Rijslag,Buurt,915.2105965,591.2800867,72,12.14036008,424.0777146
Duindorp,Buurt,921.613797,492.5255817,100,12.22529918,353.2490401
Statenkwartier,Buurt,786.0087867,551.2648812,7,10.42648516,395.3780217
Geuzenkwartier,Buurt,663.9170074,478.4747921,8,8.806925495,343.1715373
Zorgvliet,Buurt,1011.939005,709.2609954,41,13.42347209,508.6959442
Stadhoudersplantsoen,Buurt,722.9952823,562.5659422,42,9.59060472,403.483365
Sweelinckplein en omgeving,Buurt,818.3880231,603.9441628,43,10.85599896,433.1606392
Bloemenbuurt-West,Buurt,694.6704735,481.3979026,50,9.214873298,345.2680497
Bloemenbuurt-Oost,Buurt,758.1691093,489.7333675,51,10.05718905,351.2464091
Bomenbuurt,Buurt,754.2343133,489.5338027,52,10.00499359,351.1032773
Vogelwijk,Buurt,823.5441297,602.2222255,9,10.92439523,431.9256318
Bosjes van Pex,Buurt,744.0860153,510.9139847,81,9.870375402,366.4375646
Bohemen en Meer en Bos,Buurt,747.3607534,585.2813871,92,9.91381513,419.7753292
Ockenburgh,Buurt,931.9531515,643.8959051,90,12.36245175,461.814815
Kijkduin,Buurt,960.1357192,774.8642808,91,12.73629633,555.7479115
Kraayenstein,Buurt,822.9770391,516.3080673,97,10.91687272,370.3063068
Houtwijk,Buurt,743.4111129,440.4890431,86,9.861422754,315.9274105
Kom Loosduinen,Buurt,743.6143519,480.2147938,95,9.86411874,344.4195008
Waldeck-Zuid,Buurt,855.9344816,569.1269435,6,11.35405649,408.1890443
Nieuw Waldeck,Buurt,706.8834902,418.9486873,40,9.376880186,300.4782434
Rosenburg,Buurt,657.1092363,461.4474647,82,8.71661973,330.959203
Componistenbuurt,Buurt,826.294935,562.0886267,93,10.96088494,403.1410249
Waldeck-Noord,Buurt,864.3671303,696.4582665,94,11.46591642,499.513575
Vruchtenbuurt,Buurt,703.3836071,451.3547042,53,9.330453886,323.7204765
Eykenduinen,Buurt,722.9655709,469.2924936,83,9.590210594,336.5858121
Heesterbuurt,Buurt,726.2936748,409.8488674,54,9.634358226,293.9516736
Valkenboskwartier,Buurt,787.1129694,448.8730385,55,10.44113225,321.940577
Rond de Energiecentrale,Buurt,719.5378435,457.2379751,10,9.544741448,327.9400742
Koningsplein en omgeving,Buurt,872.808259,542.3006519,44,11.57788884,388.9487
Zeeheldenkwartier,Buurt,797.2850131,511.3515424,45,10.57606543,366.7513896
Willemspark,Buurt,902.6227126,670.2631934,47,11.97338055,480.7259531
Haagse Bos,Buurt,525.2982744,386.2311374,49,6.968134139,277.0125728
Landen,Buurt,718.4091514,428.8750387,61,9.529769234,307.597618
Kampen,Buurt,747.1823916,454.5284027,67,9.911449142,325.9967156
Marlot,Buurt,976.6073705,617.6783437,68,12.95479443,443.011064
Burgen en Horsten,Buurt,805.58646,504.6999361,69,10.68618495,361.9807267
Bezuidenhout-West,Buurt,768.0964371,472.168926,64,10.18887605,338.648846
Bezuidenhout-Midden,Buurt,813.77167,531.0357979,65,10.79476258,380.8693251
Bezuidenhout-Oost,Buurt,723.460159,469.9083205,66,9.596771355,337.0274953
Huygenspark,Buurt,865.0392391,453.2128192,18,11.47483201,325.0531531
Rivierenbuurt-Zuid,Buurt,1017.334482,559.959636,62,13.49504363,401.6140709
Rivierenbuurt-Noord,Buurt,792.0947773,455.8591523,63,10.50721643,326.9511553
Kortenbos,Buurt,804.2220655,498.3758726,11,10.66808612,357.4449839
Voorhout,Buurt,1006.039995,650.4355889,12,13.34522114,466.5052049
Uilebomen,Buurt,809.8630707,502.6369293,13,10.74291462,360.5010976
Zuidwal,Buurt,805.9220987,492.5092739,14,10.69063723,353.2373438
Schildersbuurt-West,Buurt,649.9593209,301.4257304,15,8.621775388,216.1884659
Schildersbuurt-Noord,Buurt,643.3890583,302.9554585,16,8.534620197,217.285617
Schildersbuurt-Oost,Buurt,601.2495462,278.4599974,17,7.975635355,199.7169902
Transvaalkwartier-Noord,Buurt,669.251924,307.6809024,32,8.877693697,220.6747983
Transvaalkwartier-Midden,Buurt,673.8267126,318.2112494,33,8.938378725,228.2273705
Transvaalkwartier-Zuid,Buurt,659.8454686,303.996964,34,8.752916125,218.0326053
Rustenburg,Buurt,719.5975721,367.4843951,30,9.545533753,263.5670403
Oostbroek-Noord,Buurt,702.804946,340.895054,31,9.32277789,244.4966415
Oostbroek-Zuid,Buurt,722.5888628,342.6252899,35,9.585213524,245.7376008
Leyenburg,Buurt,799.6491289,442.6379267,84,10.60742566,317.4686322
"Venen, Oorden en Raden",Buurt,648.439356,319.265944,87,8.601612901,228.9838182
"Zijden, Steden en Zichten",Buurt,664.4492719,328.6335307,96,8.813986037,235.7024357
Dreven en Gaarden,Buurt,660.5097623,331.6908849,98,8.761728048,237.8952304
De Uithof,Buurt,990.8427685,675.0267968,99,13.14362841,484.1425032
Morgenstond-Zuid,Buurt,654.1827943,326.5423321,80,8.677800185,234.202587
Morgenstond-West,Buurt,710.2463666,362.8528907,88,9.421489078,260.2452341
Morgenstond-Oost,Buurt,670.323654,351.5648352,89,8.891910303,252.1492186
Zuiderpark,Buurt,529.8770893,497.6229107,36,7.028872577,356.9049448
Moerwijk-Oost,Buurt,675.2510422,345.0246086,20,8.9572726,247.4584394
Moerwijk-West,Buurt,599.3545725,304.0829275,37,7.95049834,218.0942599
Moerwijk-Noord,Buurt,711.6950876,348.3335862,38,9.440706506,249.8317033
Moerwijk-Zuid,Buurt,629.62609,303.6347796,39,8.352053047,217.7728394
Groente- en Fruitmarkt,Buurt,709.1871235,327.1252001,21,9.407438113,234.6206313
Laakhaven-Oost,Buurt,819.2199917,377.8787737,19,10.86703511,271.0220932
Laakhaven-West,Buurt,796.0639986,381.6946221,22,10.55986855,273.7588947
Spoorwijk,Buurt,810.3916872,380.7603865,23,10.74992677,273.0888426
