Name,Type,green gas,nongreen gas,BUURTCODE,GWP_gas 
Bosweide,Buurt,0,0,108,0
Morgenweide,Buurt,0,0,112,0
Binckhorst,Buurt,3.007596228,2.132068576,60,1.42677095
De Venen,Buurt,8.531532659,4.374450247,111,3.582700855
De Bras,Buurt,10.59035591,5.506996783,115,4.468625108
Waterbuurt,Buurt,24.80851142,13.20195978,114,10.55170681
Hoge Veld,Buurt,44.35797139,23.02256977,102,18.70483823
Uilebomen,Buurt,133.1774827,82.65585059,13,59.91533332
Singels,Buurt,140.2656807,78.46532911,113,60.71972832
Bezuidenhout-West,Buurt,170.6880971,104.926428,64,76.51059217
Spoorwijk,Buurt,177.2731816,83.29133455,23,72.33270968
Erasmus Veld,Buurt,191.2681845,119.0798433,101,86.15261252
De Lanen,Buurt,216.6167859,115.2956785,118,92.13890012
De Velden,Buurt,225.7920978,131.8382339,119,99.27818008
Duindorp,Buurt,230.4034492,123.1313954,100,98.14127286
Lage Veld,Buurt,230.4548863,132.6022899,104,100.7846721
De Vissen,Buurt,231.0536607,136.5007191,120,102.0330958
Rietbuurt,Buurt,234.3001599,121.5982067,121,98.79738657
Rivierenbuurt-Noord,Buurt,237.9836326,136.9621668,63,104.0849539
Laakhaven-Oost,Buurt,239.7717049,110.5986655,19,97.26281482
Morgenstond-West,Buurt,241.9179764,123.5918143,88,101.4655179
Zonne Veld,Buurt,243.2244152,129.0866313,105,103.3535465
Schildersbuurt-Oost,Buurt,257.2914725,119.1608097,17,104.5031535
Parkbuurt oosteinde,Buurt,271.9011716,159.3686696,103,119.7205079
Schildersbuurt-Noord,Buurt,272.3181596,128.2276592,16,111.1915193
Houtwijk,Buurt,273.3129092,161.9445011,86,120.8274571
Transvaalkwartier-Midden,Buurt,275.7856166,130.2383595,33,112.7122558
Zuidwal,Buurt,276.7813268,169.1445991,14,123.789037
Leyenburg,Buurt,287.7398539,159.275572,84,124.0914822
Moerwijk-Oost,Buurt,288.3884659,147.3542599,20,120.9621807
Rond de Energiecentrale,Buurt,290.517627,184.6125158,10,131.8961276
Schildersbuurt-West,Buurt,298.8652235,138.60201,15,121.440904
Dreven en Gaarden,Buurt,301.3385552,151.3244129,98,125.6592399
Moerwijk-Zuid,Buurt,304.3192768,146.7568101,39,125.2187217
Kortenbos,Buurt,307.273525,190.4171966,11,138.1589443
Transvaalkwartier-Zuid,Buurt,307.7430547,141.7800967,34,124.7876268
Laakhaven-West,Buurt,312.3313296,149.7557847,22,128.2753829
Groente- en Fruitmarkt,Buurt,314.2672351,144.9613632,21,127.4818589
Moerwijk-West,Buurt,314.9151144,159.7723856,37,131.77325
Vissershaven,Buurt,315.4093547,200.3209823,2,143.1667416
"Zijden, Steden en Zichten",Buurt,317.9183119,157.2409238,96,131.9042038
Waldeck-Noord,Buurt,318.8239415,256.8903442,94,159.8182857
Transvaalkwartier-Noord,Buurt,319.9350661,147.0864802,32,129.6451813
Kom Loosduinen,Buurt,323.017999,208.6000914,95,147.5771819
Nieuw Waldeck,Buurt,325.1067529,192.6810418,40,143.7378918
Kraayenstein,Buurt,328.1323243,205.8591651,97,148.2360375
Rosenburg,Buurt,328.5546181,230.7237324,82,155.2556701
Huygenspark,Buurt,331.0099129,173.4232726,18,140.0306523
Waldeck-Zuid,Buurt,332.1025789,220.8212541,6,153.491656
Landen,Buurt,332.9213141,198.7469692,61,147.5911154
Willemspark,Buurt,333.110763,247.3590357,47,161.1384161
Morgenstond-Zuid,Buurt,339.3354602,169.382921,80,141.2202226
Morgenstond-Oost,Buurt,340.842536,178.7617806,89,144.2421583
"Venen, Oorden en Raden",Buurt,341.2838716,168.0347074,87,141.3868375
Haagse Bos,Buurt,349.0236857,256.6233732,49,168.1276236
Noordpolderbuurt,Buurt,355.4313966,172.39964,26,146.5258958
Burgen en Horsten,Buurt,362.6882764,227.2242137,69,163.7597073
Geuzenkwartier,Buurt,371.097716,267.4444253,8,177.2592984
Moerwijk-Noord,Buurt,372.4759337,182.3054283,38,154.0073061
Rustenburg,Buurt,376.4561372,192.2487808,30,157.8724852
Zeeheldenkwartier,Buurt,377.286658,241.9788549,45,171.9081064
Vruchtenbuurt,Buurt,382.6838015,245.5646283,53,174.4017641
Oud Scheveningen,Buurt,386.547614,240.5756737,1,174.0894247
Zorgvliet,Buurt,388.2666271,272.1333729,41,183.32704
Heesterbuurt,Buurt,389.4618256,219.7740304,54,169.1238736
Bloemenbuurt-Oost,Buurt,390.0953093,251.9789941,51,178.2398266
Eykenduinen,Buurt,394.8971606,256.336236,83,180.7823909
Bloemenbuurt-West,Buurt,396.1792544,274.5472413,50,186.1936752
Zuiderpark,Buurt,398.3747459,374.1252541,36,214.446
Laakkwartier-West,Buurt,401.7839666,197.1275981,24,166.2578504
Kampen,Buurt,403.7803833,245.6289853,67,180.2760407
Stadhoudersplantsoen,Buurt,403.8352027,314.2260217,42,199.3337959
Oostbroek-Noord,Buurt,405.8451097,196.8548903,31,167.30952
Oostbroek-Zuid,Buurt,410.1180032,194.4630024,35,167.8316872
Laakkwartier-Oost,Buurt,412.8894378,200.6381423,25,170.3152562
Bohemen en Meer en Bos,Buurt,414.4751776,324.5883675,92,205.1640401
De Uithof,Buurt,418.80983,285.3206048,99,195.4666087
Belgisch Park,Buurt,420.7082755,281.4062888,71,194.907003
Kijkduin,Buurt,423.3451442,341.6548558,91,212.364
Bosjes van Pex,Buurt,426.8860008,293.1139992,81,199.872
Bezuidenhout-Oost,Buurt,427.0179475,277.3605209,66,195.5354628
Bezuidenhout-Midden,Buurt,429.6714417,280.3869013,65,197.112196
Bomenbuurt,Buurt,430.9910361,279.7336015,52,197.2971594
Visserijbuurt,Buurt,437.3425513,274.3154798,4,197.5562694
Componistenbuurt,Buurt,440.0188475,299.3236183,93,205.2414685
Voorhout,Buurt,440.9451893,285.0845347,12,201.5458514
Uilennest,Buurt,441.8362235,348.7590146,75,219.4692381
Scheveningen Badplaats,Buurt,449.6140452,275.1540439,3,201.1956215
Archipelbuurt,Buurt,453.7810526,340.5796032,46,220.5145181
Valkenboskwartier,Buurt,455.1566301,259.5657135,55,198.4069226
Arendsdorp,Buurt,455.7987235,353.0901654,78,224.5475556
Sweelinckplein en omgeving,Buurt,461.2732494,340.4048918,43,222.545852
Van Hoytemastraat en omgeving,Buurt,464.4254669,334.7270755,79,221.8447458
Van Stolkpark en Scheveningse Bosjes,Buurt,466.5675763,401.7876868,5,241.055421
Waalsdorp,Buurt,471.274396,351.061562,77,228.2804619
Statenkwartier,Buurt,477.1211231,334.6274542,7,225.3414051
Rijslag,Buurt,479.5568439,309.8220381,72,219.1315776
Vogelwijk,Buurt,483.5285909,353.5835586,9,232.3823327
Ockenburgh,Buurt,494.0214623,341.3244497,90,231.8920252
Koningsplein en omgeving,Buurt,497.7460754,309.2638256,44,224.0259485
Westbroekpark,Buurt,524.6205713,451.3453377,73,270.9281363
Nassaubuurt,Buurt,532.005449,400.3022433,48,258.8086154
Duttendel,Buurt,537.3895393,435.8662747,74,270.175814
Duinzigt,Buurt,540.5920294,493.1755057,76,286.9738677
Vlietzoom-West,Buurt,589.7972699,420.2027301,106,280.376
Rivierenbuurt-Zuid,Buurt,592.6673357,326.2150173,62,255.0817412
Marlot,Buurt,627.4820303,396.8657957,68,284.3589565
Vlietzoom-Oost,Buurt,637.7314698,491.7685302,116,313.5492
