,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
0,Total male and female,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
1,Male,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
2,Female,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
3,Total male and female,1 to 18 years,Education: lower,01. Potatoes and other tubers,67.7,0.0,60.0,182.0,55.5,123.8,25.2,105.0,256.0
4,Male,1 to 18 years,Education: lower,01. Potatoes and other tubers,80.1,0.0,73.2,242.0,58.1,142.0,18.0,140.0,349.0
5,Female,1 to 18 years,Education: lower,01. Potatoes and other tubers,54.5,0.0,49.1,130.0,52.9,102.7,25.2,93.3,194.7
6,Total male and female,19 to 79 years,Education: lower,01. Potatoes and other tubers,84.4,0.0,70.0,228.5,52.3,162.0,51.4,140.0,342.0
7,Male,19 to 79 years,Education: lower,01. Potatoes and other tubers,101.7,0.0,80.0,267.3,54.7,187.0,56.0,150.0,378.0
8,Female,19 to 79 years,Education: lower,01. Potatoes and other tubers,70.1,0.0,70.0,189.0,50.3,139.5,48.1,140.0,265.0
9,Total male and female,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
10,Male,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
11,Female,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
12,Total male and female,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
13,Male,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
14,Female,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
15,Total male and female,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
16,Male,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
17,Female,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
18,Total male and female,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
19,Male,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
20,Female,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
21,Total male and female,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
22,Male,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
23,Female,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
