Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,239.21082424892077,1962724.812962395
Westbroekpark,73,880,141.18663259879216,124244.2366869371
Duttendel,74,1075,257.96249602572794,277309.6832276575
Nassaubuurt,48,1625,140.9411926456523,229029.438049185
Uilennest,75,2100,141.38650725728888,296911.66524030664
Duinzigt,76,2495,141.14537076914067,352157.70006900595
Waalsdorp,77,3810,175.43101646616753,668392.1727360983
Arendsdorp,78,1305,140.65100146513765,183549.55691200463
Van Hoytemastraat en omgeving,79,2360,117.03944534143973,276213.0910057978
Archipelbuurt,46,6100,257.8586696807981,1572937.8850528682
Van Stolkpark en Scheveningse Bosjes,5,760,145.96855924642486,110936.10502728289
Oud Scheveningen,1,2920,216.32660107624702,631673.6751426413
Vissershaven,2,3560,152.51033158449744,542936.7804408108
Scheveningen Badplaats,3,5390,105.5536593739136,568934.2240253943
Visserijbuurt,4,3860,142.8368477791879,551350.2324276653
Rijslag,72,1610,183.8378126211009,295978.8783199725
Duindorp,100,5955,190.16945643407755,1132459.1130649317
Statenkwartier,7,9665,263.6987079456811,2548648.012295008
Geuzenkwartier,8,4390,164.56713925922793,722449.7413480106
Zorgvliet,41,500,101.6157042821151,50807.85214105755
Stadhoudersplantsoen,42,1960,145.67301246009197,285519.10442178027
Sweelinckplein en omgeving,43,5810,114.64141500539998,666066.6211813738
Bloemenbuurt-West,50,2340,263.1174596116593,615694.8554912828
Bloemenbuurt-Oost,51,6460,149.94970751488947,968675.110546186
Bomenbuurt,52,5865,146.3341940887884,858250.0483307439
Vogelwijk,9,5350,271.08691656280905,1450315.0036110284
Bosjes van Pex,81,400,272.8456058263466,109138.24233053865
Bohemen en Meer en Bos,92,4485,257.4722739976007,1154763.1488792393
Ockenburgh,90,795,239.71818917447163,190575.96039370494
Kijkduin,91,1550,257.85756962983044,399679.23292623716
Kraayenstein,97,5875,247.47643793463035,1453924.0728659534
Houtwijk,86,12820,216.5390344710203,2776030.42191848
Kom Loosduinen,95,4975,139.2341030300417,692689.6625744575
Waldeck-Zuid,6,2035,144.96836117024168,295010.6149814418
Nieuw Waldeck,40,7210,162.6681111267156,1172837.0812236194
Rosenburg,82,2910,143.93858885850233,418861.2935782418
Componistenbuurt,93,1825,252.64327800794916,461073.9823645072
Waldeck-Noord,94,3150,138.91318657346852,437576.5377064258
Vruchtenbuurt,53,7165,231.5989504997578,1659406.4803307645
Eykenduinen,83,2635,251.34184732523613,662285.7677019972
Heesterbuurt,54,6805,147.917136355921,1006576.1129020425
Valkenboskwartier,55,11435,148.33206447194198,1696177.1572366564
Rond de Energiecentrale,10,5955,141.94618374938568,845289.5242275917
Koningsplein en omgeving,44,7575,103.57005511958229,784543.1675308358
Zeeheldenkwartier,45,11845,132.75553251073023,1572489.2825895997
Willemspark,47,1490,170.66729790888695,254294.27388424156
Haagse Bos,49,425,99.93392852582386,42471.91962347514
Landen,61,5155,145.3591599883755,749326.4697400756
Kampen,67,2455,103.85111741922528,254954.49326419804
Marlot,68,805,238.52303154087275,192011.04039040257
Burgen en Horsten,69,6285,136.6640460432629,858933.5293819074
Bezuidenhout-West,64,3580,177.33409823916259,634856.071696202
Bezuidenhout-Midden,65,4285,140.44593763284573,601810.8427567439
Bezuidenhout-Oost,66,9010,141.90253226068856,1278541.8156688039
Huygenspark,18,7895,133.5739916296416,1054566.6639160204
Rivierenbuurt-Zuid,62,850,129.04366286596542,109687.1134360706
Rivierenbuurt-Noord,63,3690,132.44754051213692,488731.4244897853
Kortenbos,11,7275,138.65239550410564,1008696.1772923685
Voorhout,12,2355,132.8846344891546,312943.31422195904
Uilebomen,13,3180,99.221887591817,315525.60254197806
Zuidwal,14,6885,142.08086183213058,978226.7337142191
Schildersbuurt-West,15,14115,110.03810046069201,1553187.7880026677
Schildersbuurt-Noord,16,9985,111.45666248438432,1112894.7749065775
Schildersbuurt-Oost,17,7230,110.3490886669582,797823.9110621078
Transvaalkwartier-Noord,32,3945,115.89156217077824,457192.2127637202
Transvaalkwartier-Midden,33,5005,116.34820195358611,582322.7507776985
Transvaalkwartier-Zuid,34,7235,111.79980555828305,808871.5932141779
Rustenburg,30,6100,101.08091481123904,616593.5803485581
Oostbroek-Noord,31,4500,110.92739790499412,499173.29057247355
Oostbroek-Zuid,35,8055,111.65618072986658,899390.5357790752
Leyenburg,84,14910,144.94380730664733,2161112.1669421117
"Venen, Oorden en Raden",87,8585,115.47151031973402,991322.9160949166
"Zijden, Steden en Zichten",96,7850,90.30057263654257,708859.4951968591
Dreven en Gaarden,98,10815,135.90216358419826,1469781.8991631041
De Uithof,99,1380,130.3399041985432,179869.0677939896
Morgenstond-Zuid,80,5930,86.37596715914306,512209.48525371833
Morgenstond-West,88,7405,88.76916484646851,657335.6656880993
Morgenstond-Oost,89,5560,86.86225923038904,482954.16132096306
Moerwijk-Oost,20,3265,119.75057316859865,390985.6213954746
Moerwijk-West,37,6240,85.5212720880279,533652.737829294
Moerwijk-Noord,38,6975,111.87186326771828,780306.246292335
Moerwijk-Zuid,39,4600,113.45811416709249,521907.32516862545
Groente- en Fruitmarkt,21,5315,110.35893238019383,586557.7256007303
Laakhaven-Oost,19,4050,125.76348856406055,509342.1286844452
Laakhaven-West,22,5510,112.44760425465093,619586.2994431267
Spoorwijk,23,4340,115.57558056185519,501598.0196384515
Laakkwartier-West,24,8085,111.4452707384672,901035.0139205073
Laakkwartier-Oost,25,11240,118.70726327243402,1334269.6391821583
Noordpolderbuurt,26,8345,109.23357066774724,911554.1472223507
Binckhorst,60,1790,114.85076578227641,205582.87075027477
Erasmus Veld,101,2155,272.6639348703433,587590.7796455899
Hoge Veld,102,8685,113.83312944131269,988640.7291978007
Parkbuurt oosteinde,103,3465,237.45916978815606,822796.0233159608
Lage Veld,104,4285,247.63790052884173,1061128.4037660868
Zonne Veld,105,3440,239.7596803164493,824773.3002885856
Vlietzoom-West,106,170,234.6633592825176,39892.771078027996
Bosweide,108,2050,238.74804834793295,489433.4991132626
De Venen,111,1755,129.2690200025854,226867.13010453735
Morgenweide,112,7135,230.9311643329838,1647693.8575158394
Singels,113,5595,240.21958753568813,1344028.5922621752
Waterbuurt,114,4775,230.23111772718917,1099353.5871473283
De Bras,115,5855,321.04627813084,1879725.958456068
Vlietzoom-Oost,116,100,238.01339330045428,23801.33933004543
De Lanen,118,5255,155.99416386201915,819749.3310949106
De Velden,119,4220,240.24688323172967,1013841.8472378992
De Vissen,120,8505,241.11855474746838,2050713.3081272186
Rietbuurt,121,2755,131.46610603027102,362189.12211339665
