Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,151.49754158419788,1243037.3286983436
Westbroekpark,73,880,196.30645950153442,172749.6843613503
Duttendel,74,1075,197.03239548110523,211809.8251421881
Nassaubuurt,48,1625,178.5128745585619,290083.42115766305
Uilennest,75,2100,201.92750198926996,424047.7541774669
Duinzigt,76,2495,196.30645950153442,489784.61645632837
Waalsdorp,77,3810,183.31998395123443,698449.1388542032
Arendsdorp,78,1305,183.81576578539642,239879.57434994233
Van Hoytemastraat en omgeving,79,2360,179.33889601193502,423239.79458816664
Archipelbuurt,46,6100,188.90882801648104,1152343.8509005343
Van Stolkpark en Scheveningse Bosjes,5,760,199.37370383302073,151524.01491309574
Oud Scheveningen,1,2920,157.76660073573575,460678.4741483484
Vissershaven,2,3560,182.3035964183819,649000.8032494395
Scheveningen Badplaats,3,5390,170.2067357208021,917414.3055351233
Visserijbuurt,4,3860,187.2905586499042,722941.5563886302
Rijslag,72,1610,137.72737481766498,221741.07345644062
Duindorp,100,5955,156.5114426816254,932025.6411690792
Statenkwartier,7,9665,125.83469031957783,1216192.2819387198
Geuzenkwartier,8,4390,184.1005648100747,808201.479516228
Zorgvliet,41,500,183.29994950846503,91649.97475423252
Stadhoudersplantsoen,42,1960,181.94926874159023,356620.56673351687
Sweelinckplein en omgeving,43,5810,155.95056945857087,906072.8085542967
Bloemenbuurt-West,50,2340,183.26639011890228,428843.3528782313
Bloemenbuurt-Oost,51,6460,179.8793522778801,1162020.6157151053
Bomenbuurt,52,5865,181.6182723917465,1065191.1675775931
Vogelwijk,9,5350,121.91654437626205,652253.512413002
Bosjes van Pex,81,400,133.7883973104063,53515.35892416252
Bohemen en Meer en Bos,92,4485,191.4339981577339,858581.4817374365
Ockenburgh,90,795,128.6093430810348,102244.42774942267
Kijkduin,91,1550,192.2934972098258,298054.92067523
Kraayenstein,97,5875,151.62055137405284,890770.7393225604
Houtwijk,86,12820,158.62104187213174,2033521.7568007289
Kom Loosduinen,95,4975,212.67253583209109,1058045.865764653
Waldeck-Zuid,6,2035,210.1803987244987,427717.11140435486
Nieuw Waldeck,40,7210,201.9519565823225,1456073.6069585453
Rosenburg,82,2910,210.51069863820112,612586.1330371653
Componistenbuurt,93,1825,199.3128011754069,363745.8621451176
Waldeck-Noord,94,3150,207.41704202448287,653363.6823771211
Vruchtenbuurt,53,7165,176.36846561952436,1263680.056163892
Eykenduinen,83,2635,175.36424668831634,462084.79002371355
Heesterbuurt,54,6805,149.6210722706017,1018171.3968014446
Valkenboskwartier,55,11435,111.86018292276036,1279121.1917217646
Rond de Energiecentrale,10,5955,104.22693272700121,620671.3843892922
Koningsplein en omgeving,44,7575,174.07489293592315,1318617.3139896179
Zeeheldenkwartier,45,11845,97.01105220265079,1149095.9133403986
Willemspark,47,1490,159.81900598139225,238130.31891227447
Haagse Bos,49,425,173.34983423603416,73673.67955031451
Landen,61,5155,186.1346367338717,959524.0523631086
Kampen,67,2455,183.80038700772948,451229.9501039759
Marlot,68,805,113.79042529058455,91601.29235892056
Burgen en Horsten,69,6285,193.80941132133532,1218092.1501545925
Bezuidenhout-West,64,3580,137.52404947095638,492336.09710602387
Bezuidenhout-Midden,65,4285,117.01169212531067,501395.10075695626
Bezuidenhout-Oost,66,9010,157.48368207352448,1418927.9754824555
Huygenspark,18,7895,111.52858341840836,880518.166088334
Rivierenbuurt-Zuid,62,850,112.0979424925566,95283.25111867311
Rivierenbuurt-Noord,63,3690,109.99657419625477,405887.3587841801
Kortenbos,11,7275,96.05971337047912,698834.4147702355
Voorhout,12,2355,96.84744860842312,228075.74147283644
Uilebomen,13,3180,167.02835629673723,531150.1730236243
Zuidwal,14,6885,101.8037720253957,700918.9703948494
Schildersbuurt-West,15,14115,87.26734269885038,1231778.542194273
Schildersbuurt-Noord,16,9985,99.12230529994547,989736.2184199555
Schildersbuurt-Oost,17,7230,101.06159753148312,730675.3501526229
Transvaalkwartier-Noord,32,3945,89.005725434643,351127.58683966665
Transvaalkwartier-Midden,33,5005,76.1693689351919,381227.69152063545
Transvaalkwartier-Zuid,34,7235,77.2701868609792,559049.8019391844
Rustenburg,30,6100,83.07064524659057,506730.9360042025
Oostbroek-Noord,31,4500,68.8832045121965,309974.42030488426
Oostbroek-Zuid,35,8055,74.6416388936512,601238.4012883605
Leyenburg,84,14910,157.41672151975004,2347083.317859473
"Venen, Oorden en Raden",87,8585,91.24449854317636,783334.0199931691
"Zijden, Steden en Zichten",96,7850,141.9129217705313,1114016.4358986707
Dreven en Gaarden,98,10815,103.72200788489758,1121753.5152751673
De Uithof,99,1380,194.92673483518422,268998.89407255425
Morgenstond-Zuid,80,5930,162.47928414078694,963502.1549548666
Morgenstond-West,88,7405,101.89850215013506,754558.4084217501
Morgenstond-Oost,89,5560,160.10191518387114,890166.6484223235
Moerwijk-Oost,20,3265,80.28023727861736,262114.9747146857
Moerwijk-West,37,6240,164.72909937821058,1027909.580120034
Moerwijk-Noord,38,6975,76.77637529633787,535515.2176919567
Moerwijk-Zuid,39,4600,76.55501317921022,352153.06062436703
Groente- en Fruitmarkt,21,5315,76.20085960596604,405007.56880570954
Laakhaven-Oost,19,4050,150.63395612799786,610067.5223183914
Laakhaven-West,22,5510,112.51658443246038,619966.3802228566
Spoorwijk,23,4340,95.27604527582947,413498.0364970999
Laakkwartier-West,24,8085,79.98932328175307,646713.6787329736
Laakkwartier-Oost,25,11240,115.51982496356338,1298442.8325904524
Noordpolderbuurt,26,8345,79.94859865634069,667171.0557871631
Binckhorst,60,1790,113.60568065062492,203354.1683646186
Erasmus Veld,101,2155,138.61273061648097,298710.4344785165
Hoge Veld,102,8685,88.69278009330698,770296.7951103711
Parkbuurt oosteinde,103,3465,112.42082115507682,389538.1453023412
Lage Veld,104,4285,124.96279154278228,535465.5617608221
Zonne Veld,105,3440,100.2311373451883,344795.11246744776
Vlietzoom-West,106,170,146.23312512341,24859.6312709797
Bosweide,108,2050,114.79823936603945,235336.39070038087
De Venen,111,1755,36.404872045231144,63890.550439380655
Morgenweide,112,7135,102.53394526775585,731579.6994854381
Singels,113,5595,115.94544572527762,648714.7688329283
Waterbuurt,114,4775,97.21432325366162,464198.3935362342
De Bras,115,5855,128.19953387851078,750608.2708586806
Vlietzoom-Oost,116,100,128.20820416135365,12820.820416135364
De Lanen,118,5255,20.962444595110746,110157.64634730697
De Velden,119,4220,115.43979204701955,487155.9224384225
De Vissen,120,8505,122.80043801863721,1044417.7253485095
Rietbuurt,121,2755,39.17579154886355,107929.30571711909
