Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,7.003010337088545,57459.69981581152
Westbroekpark,73,880,22.916227394864197,20166.280107480492
Duttendel,74,1075,19.985434619453176,21484.342215912166
Nassaubuurt,48,1625,17.925178789534456,29128.41553299349
Uilennest,75,2100,22.30413870829417,46838.69128741775
Duinzigt,76,2495,22.925128425978123,57198.19542281541
Waalsdorp,77,3810,18.1955155239619,69324.91414629485
Arendsdorp,78,1305,18.446387654100857,24072.53588860162
Van Hoytemastraat en omgeving,79,2360,10.793453494122284,25472.55024612859
Archipelbuurt,46,6100,17.57913990751555,107232.75343584486
Van Stolkpark en Scheveningse Bosjes,5,760,20.28108020245713,15413.62095386742
Oud Scheveningen,1,2920,14.844016307167676,43344.52761692961
Vissershaven,2,3560,12.381491202717099,44078.10868167287
Scheveningen Badplaats,3,5390,14.680646608292573,79128.68521869696
Visserijbuurt,4,3860,16.743055612868233,64628.19466567138
Rijslag,72,1610,17.22729243409337,27735.94081889033
Duindorp,100,5955,6.482382623156628,38602.58852089772
Statenkwartier,7,9665,17.870996385903076,172723.18006975323
Geuzenkwartier,8,4390,17.793737618353394,78114.5081445714
Zorgvliet,41,500,8.282189905559978,4141.094952779989
Stadhoudersplantsoen,42,1960,21.52469067245027,42188.39371800253
Sweelinckplein en omgeving,43,5810,15.019634754265873,87264.07792228472
Bloemenbuurt-West,50,2340,20.322441617774583,47554.51338559252
Bloemenbuurt-Oost,51,6460,23.04493731252866,148870.29503893515
Bomenbuurt,52,5865,22.695289724092763,133107.87423180405
Vogelwijk,9,5350,18.410398533678226,98495.63215517851
Bosjes van Pex,81,400,17.428232818341698,6971.293127336679
Bohemen en Meer en Bos,92,4485,21.6071148910245,96907.91028624489
Ockenburgh,90,795,8.00709388701187,6365.639640174436
Kijkduin,91,1550,8.068849328565635,12506.716459276735
Kraayenstein,97,5875,6.908869666598027,40589.609291263405
Houtwijk,86,12820,5.664090311705506,72613.63779606458
Kom Loosduinen,95,4975,21.714258021560394,108028.43365726295
Waldeck-Zuid,6,2035,22.195376663391976,45167.59151000267
Nieuw Waldeck,40,7210,17.958608908788875,129481.57023236778
Rosenburg,82,2910,20.59874009700057,59942.33368227165
Componistenbuurt,93,1825,21.87613738249548,39923.95072305425
Waldeck-Noord,94,3150,22.535487297227615,70986.78498626698
Vruchtenbuurt,53,7165,17.840689730188398,127828.54191679988
Eykenduinen,83,2635,18.267710763965248,48135.417863048424
Heesterbuurt,54,6805,15.173249526465899,103253.96302760045
Valkenboskwartier,55,11435,16.14501212193758,184618.2136143562
Rond de Energiecentrale,10,5955,17.100640888808798,101834.3164928564
Koningsplein en omgeving,44,7575,17.768437634419875,134595.91508073054
Zeeheldenkwartier,45,11845,16.544585335745115,195970.61330190088
Willemspark,47,1490,15.300509371518984,22797.758963563287
Haagse Bos,49,425,9.099054556508271,3867.098186516015
Landen,61,5155,21.472465532212446,110690.55981855516
Kampen,67,2455,15.253126919865355,37446.426588269445
Marlot,68,805,8.759620348772488,7051.494380761853
Burgen en Horsten,69,6285,21.599586982756406,135753.40418662401
Bezuidenhout-West,64,3580,22.554262612151458,80744.26015150223
Bezuidenhout-Midden,65,4285,15.943248032466514,68316.81781911901
Bezuidenhout-Oost,66,9010,21.760468116057282,196061.8177256761
