"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 148.20",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 27 countries (from 2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","730.26",""
"2011","European Union - 27 countries (from 2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","1 041.52",""
"2011","European Union - 27 countries (from 2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 28 countries (2013-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 149.26",""
"2011","European Union - 28 countries (2013-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 28 countries (2013-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Belgium","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.42",""
"2011","Belgium","Fresh beans","Harvested production in EU standard humidity (1000 t)","90.12",""
"2011","Belgium","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Bulgaria","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.48",""
"2011","Bulgaria","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.60",""
"2011","Bulgaria","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Czechia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Czechia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Czechia","Nuts","Harvested production in EU standard humidity (1000 t)","0.04",""
"2011","Denmark","Broad and field beans","Harvested production in EU standard humidity (1000 t)","6.82",""
"2011","Denmark","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Denmark","Nuts","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Germany (until 1990 former territory of the FRG)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","61.40",""
"2011","Germany (until 1990 former territory of the FRG)","Fresh beans","Harvested production in EU standard humidity (1000 t)","43.40",""
"2011","Germany (until 1990 former territory of the FRG)","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Estonia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.10",""
"2011","Estonia","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Estonia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Ireland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","11.64","d"
"2011","Ireland","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Ireland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Greece","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.05",""
"2011","Greece","Fresh beans","Harvested production in EU standard humidity (1000 t)","55.10",""
"2011","Greece","Nuts","Harvested production in EU standard humidity (1000 t)","91.04",""
"2011","Spain","Broad and field beans","Harvested production in EU standard humidity (1000 t)","43.88",""
"2011","Spain","Fresh beans","Harvested production in EU standard humidity (1000 t)","152.51",""
"2011","Spain","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","France","Broad and field beans","Harvested production in EU standard humidity (1000 t)","344.84",""
"2011","France","Fresh beans","Harvested production in EU standard humidity (1000 t)","335.25",""
"2011","France","Nuts","Harvested production in EU standard humidity (1000 t)","53.65",""
"2011","Croatia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.06",""
"2011","Croatia","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.16",""
"2011","Croatia","Nuts","Harvested production in EU standard humidity (1000 t)","4.33",""
"2011","Italy","Broad and field beans","Harvested production in EU standard humidity (1000 t)","103.02",""
"2011","Italy","Fresh beans","Harvested production in EU standard humidity (1000 t)","167.03",""
"2011","Italy","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Cyprus","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.62",""
"2011","Cyprus","Fresh beans","Harvested production in EU standard humidity (1000 t)","3.85",""
"2011","Cyprus","Nuts","Harvested production in EU standard humidity (1000 t)","1.16",""
"2011","Latvia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","4.70",""
"2011","Latvia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Latvia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Lithuania","Broad and field beans","Harvested production in EU standard humidity (1000 t)","7.40",""
"2011","Lithuania","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.60",""
"2011","Lithuania","Nuts","Harvested production in EU standard humidity (1000 t)","0.03",""
"2011","Luxembourg","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.05",""
"2011","Luxembourg","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.05",""
"2011","Luxembourg","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Hungary","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.21",""
"2011","Hungary","Fresh beans","Harvested production in EU standard humidity (1000 t)","16.90",""
"2011","Hungary","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Malta","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Malta","Fresh beans","Harvested production in EU standard humidity (1000 t)","2.64",""
"2011","Malta","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Netherlands","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Netherlands","Fresh beans","Harvested production in EU standard humidity (1000 t)","48.00",""
"2011","Netherlands","Nuts","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Austria","Broad and field beans","Harvested production in EU standard humidity (1000 t)","18.00",""
"2011","Austria","Fresh beans","Harvested production in EU standard humidity (1000 t)","6.60",""
"2011","Austria","Nuts","Harvested production in EU standard humidity (1000 t)","4.25",""
"2011","Poland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","24.10",""
"2011","Poland","Fresh beans","Harvested production in EU standard humidity (1000 t)","68.60",""
"2011","Poland","Nuts","Harvested production in EU standard humidity (1000 t)","10.60","e"
"2011","Portugal","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.06",""
"2011","Portugal","Fresh beans","Harvested production in EU standard humidity (1000 t)","12.74",""
"2011","Portugal","Nuts","Harvested production in EU standard humidity (1000 t)","33.55","d"
"2011","Romania","Broad and field beans","Harvested production in EU standard humidity (1000 t)","21.35",""
"2011","Romania","Fresh beans","Harvested production in EU standard humidity (1000 t)","32.22",""
"2011","Romania","Nuts","Harvested production in EU standard humidity (1000 t)","33.14",""
"2011","Slovenia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.56",""
"2011","Slovenia","Fresh beans","Harvested production in EU standard humidity (1000 t)","3.15",""
"2011","Slovenia","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Slovakia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.10",""
"2011","Slovakia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Slovakia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Finland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","20.02",""
"2011","Finland","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Finland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Sweden","Broad and field beans","Harvested production in EU standard humidity (1000 t)","52.38",""
"2011","Sweden","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.02",""
"2011","Sweden","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","United Kingdom","Broad and field beans","Harvested production in EU standard humidity (1000 t)","419.00",""
