TIME,GEO,Meat,,,Value,
2010,European Union - 27 countries (from 2020),Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (from 2020),Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 27 countries (from 2020),Pigmeat,Slaughterings,Thousand tonnes,21 546.64,p
2010,European Union - 27 countries (from 2020),Pigmeat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 27 countries (from 2020),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (from 2020),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,European Union - 27 countries (from 2020),Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (from 2020),Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,European Union - 27 countries (from 2020),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,European Union - 27 countries (from 2020),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,European Union - 28 countries (2013-2020),Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 28 countries (2013-2020),Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 28 countries (2013-2020),Pigmeat,Slaughterings,Thousand tonnes,22 318.99,p
2010,European Union - 28 countries (2013-2020),Pigmeat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 28 countries (2013-2020),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,European Union - 28 countries (2013-2020),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,European Union - 28 countries (2013-2020),Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 28 countries (2013-2020),Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,European Union - 28 countries (2013-2020),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,European Union - 28 countries (2013-2020),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,European Union - 27 countries (2007-2013),Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (2007-2013),Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 27 countries (2007-2013),Pigmeat,Slaughterings,Thousand tonnes,22 230.49,p
2010,European Union - 27 countries (2007-2013),Pigmeat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 27 countries (2007-2013),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (2007-2013),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,European Union - 27 countries (2007-2013),Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 27 countries (2007-2013),Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,European Union - 27 countries (2007-2013),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,European Union - 27 countries (2007-2013),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,European Union - 25 countries (2004-2006),Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 25 countries (2004-2006),Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 25 countries (2004-2006),Pigmeat,Slaughterings,Thousand tonnes,21 958.95,p
2010,European Union - 25 countries (2004-2006),Pigmeat,Slaughterings,Thousand heads (animals),:,c
