Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
Total male and female,1 to 18 years,Education: lower,01. Potatoes and other tubers,67.7,0.0,60.0,182.0,55.5,123.8,25.2,105.0,256.0
Male,1 to 18 years,Education: lower,01. Potatoes and other tubers,80.1,0.0,73.2,242.0,58.1,142.0,18.0,140.0,349.0
Female,1 to 18 years,Education: lower,01. Potatoes and other tubers,54.5,0.0,49.1,130.0,52.9,102.7,25.2,93.3,194.7
Total male and female,19 to 79 years,Education: lower,01. Potatoes and other tubers,84.4,0.0,70.0,228.5,52.3,162.0,51.4,140.0,342.0
Male,19 to 79 years,Education: lower,01. Potatoes and other tubers,101.7,0.0,80.0,267.3,54.7,187.0,56.0,150.0,378.0
Female,19 to 79 years,Education: lower,01. Potatoes and other tubers,70.1,0.0,70.0,189.0,50.3,139.5,48.1,140.0,265.0
Total male and female,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,64.6,0.0,50.0,197.8,53.1,121.5,30.0,101.6,270.6
Male,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,66.7,0.0,56.0,204.0,51.5,129.3,30.0,110.3,300.0
Female,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,62.4,0.0,48.5,181.0,54.7,113.7,30.0,97.0,256.0
Total male and female,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,78.5,0.0,70.0,224.0,51.3,154.7,41.3,140.0,308.0
Male,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,94.0,0.0,81.8,238.8,53.4,178.5,60.7,165.1,318.0
Female,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,61.8,0.0,55.0,164.0,49.2,126.8,40.4,120.0,240.0
Total male and female,1 to 18 years,Education: higher,01. Potatoes and other tubers,50.5,0.0,36.5,149.5,46.4,109.5,23.0,97.0,237.0
Male,1 to 18 years,Education: higher,01. Potatoes and other tubers,54.5,0.0,40.0,154.8,47.2,116.5,24.7,98.0,258.0
Female,1 to 18 years,Education: higher,01. Potatoes and other tubers,46.3,0.0,36.5,139.1,45.5,101.9,22.4,83.1,226.0
Total male and female,19 to 79 years,Education: higher,01. Potatoes and other tubers,63.4,0.0,52.8,205.0,42.9,147.7,33.6,140.0,308.0
Male,19 to 79 years,Education: higher,01. Potatoes and other tubers,71.9,0.0,60.0,224.0,45.5,158.6,44.5,140.0,315.1
Female,19 to 79 years,Education: higher,01. Potatoes and other tubers,54.4,0.0,37.5,166.9,40.1,134.6,24.0,130.0,262.5
Total male and female,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.3,0.0,0.0,0.0,0.3,119.6,75.6,75.6,166.3
