"Wijken","Opleidingsniveau Laag|2017","Opleidingsniveau Middelbaar|2017","Opleidingsniveau Hoog|2017"
"14 Bohemen, Meer en Bos",14,38,48
"15 Kijkduin en Ockenburgh",24,30,46
"16 Kraayenstein en Vroondaal",21,45,34
"17 Loosduinen",32,43,25
"18 Waldeck",30,43,27
"31 Rustenburg en Oostbroek",45,38,17
"32 Leyenburg",33,46,21
"33 Bouwlust/Vrederust",52,35,13
"34 Morgenstond",45,39,16
"35 Zuiderpark","x","x","x"
"36 Moerwijk",50,37,13
"40 Wateringse Veld",31,39,30
"12 Bomen- en Bloemenbuurt",19,36,45
"13 Vogelwijk",13,28,60
"19 Vruchtenbuurt",17,36,47
"20 Valkenboskwartier",26,37,37
"21 Regentessekwartier",22,28,50
"01 Oostduinen","","",""
"02 Belgisch Park",17,38,45
"03 Westbroekpark/Duttendel",13,25,62
"06 Van Stolkpark en Schev. Bos",14,13,74
"07 Scheveningen",26,39,35
"08 Duindorp",43,39,18
"09 Geuzen- en Statenkwartier",14,27,58
"10 Zorgvliet","x","x","x"
"11 Duinoord",8,20,71
"05 Archipelbuurt",11,25,63
"22 Zeeheldenkwartier",19,30,51
"23 Willemspark",12,28,61
"27 Stationsbuurt",29,38,33
"28 Centrum",24,33,43
"29 Schildersbuurt",59,30,10
"30 Transvaalkwartier",61,30,10
"37 Groente- en Fruitmarkt",52,38,10
"38 Laakkwartier en Spoorwijk",44,41,15
"39 Binckhorst",69,25,6
"04 Benoordenhout",10,23,66
"24 Haagse Bos","x","x","x"
"25 Mariahoeve en Marlot",30,39,31
"26 Bezuidenhout",17,29,53
"41 Hoornwijck","","",""
"42 Ypenburg",28,40,31
"43 Forepark","","",""
"44 Leidschenveen",27,38,35
