Name,Type,Code,Mode,Distance travelled
Den Haag,Gemeente,GM0518,Passenger car (driver).1,8238334.511043039
Den Haag,Gemeente,GM0518,Train.1,1604728.2193429524
Den Haag,Gemeente,GM0518,Bus / tram / metro.1,674172.4571071136
Den Haag,Gemeente,GM0518,Bike.1,1405719.6120320498
Den Haag,Gemeente,GM0518,walk.1,497910.02735681453
Den Haag,Gemeente,GM0518,Other mode of transport.1,615096.6588636091
Wijk 02 Belgisch Park,Wijk,WK051802,Passenger car (driver).1,122216.94066727604
Wijk 02 Belgisch Park,Wijk,WK051802,Train.1,22840.609162096283
Wijk 02 Belgisch Park,Wijk,WK051802,Bus / tram / metro.1,10196.872410115782
Wijk 02 Belgisch Park,Wijk,WK051802,Bike.1,22281.57557129799
Wijk 02 Belgisch Park,Wijk,WK051802,walk.1,7694.376245429616
Wijk 02 Belgisch Park,Wijk,WK051802,Other mode of transport.1,8196.813711151737
Belgisch Park,Buurt,BU05180271,Passenger car (driver).1,122216.94066727604
Belgisch Park,Buurt,BU05180271,Train.1,22840.609162096283
Belgisch Park,Buurt,BU05180271,Bus / tram / metro.1,10196.872410115782
Belgisch Park,Buurt,BU05180271,Bike.1,22281.57557129799
Belgisch Park,Buurt,BU05180271,walk.1,7694.376245429616
Belgisch Park,Buurt,BU05180271,Other mode of transport.1,8196.813711151737
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,Passenger car (driver).1,26887.224808184143
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,Train.1,3539.8252557544756
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,Bus / tram / metro.1,1698.060281329923
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,Bike.1,5269.2025831202045
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,walk.1,1813.3589066496165
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,Other mode of transport.1,1377.3375959079283
Westbroekpark,Buurt,BU05180373,Passenger car (driver).1,11701.796626420453
Westbroekpark,Buurt,BU05180373,Train.1,1507.9124289772726
Westbroekpark,Buurt,BU05180373,Bus / tram / metro.1,726.3999431818181
Westbroekpark,Buurt,BU05180373,Bike.1,2377.9994176136365
Westbroekpark,Buurt,BU05180373,walk.1,813.6608238636363
Westbroekpark,Buurt,BU05180373,Other mode of transport.1,536.162002840909
Duttendel,Buurt,BU05180374,Passenger car (driver).1,15186.55425
Duttendel,Buurt,BU05180374,Train.1,2032.9047441860462
Duttendel,Buurt,BU05180374,Bus / tram / metro.1,971.5631744186046
Duttendel,Buurt,BU05180374,Bike.1,2890.6622790697675
Duttendel,Buurt,BU05180374,walk.1,999.6319476744186
Duttendel,Buurt,BU05180374,Other mode of transport.1,843.1173837209302
Wijk 04 Benoordenhout,Wijk,WK051804,Passenger car (driver).1,194079.93756202116
Wijk 04 Benoordenhout,Wijk,WK051804,Train.1,30274.37727836556
Wijk 04 Benoordenhout,Wijk,WK051804,Bus / tram / metro.1,13372.702213608172
Wijk 04 Benoordenhout,Wijk,WK051804,Bike.1,35776.670832725285
Wijk 04 Benoordenhout,Wijk,WK051804,walk.1,12593.383876322512
Wijk 04 Benoordenhout,Wijk,WK051804,Other mode of transport.1,12287.254309558555
Nassaubuurt,Buurt,BU05180448,Passenger car (driver).1,23908.380923076922
Nassaubuurt,Buurt,BU05180448,Train.1,4089.2630769230773
Nassaubuurt,Buurt,BU05180448,Bus / tram / metro.1,1761.8299384615384
Nassaubuurt,Buurt,BU05180448,Bike.1,4239.676153846153
Nassaubuurt,Buurt,BU05180448,walk.1,1498.6848923076923
Nassaubuurt,Buurt,BU05180448,Other mode of transport.1,1662.786
Uilennest,Buurt,BU05180475,Passenger car (driver).1,31673.278032738093
Uilennest,Buurt,BU05180475,Train.1,4775.034595238096
Uilennest,Buurt,BU05180475,Bus / tram / metro.1,2017.9949523809526
Uilennest,Buurt,BU05180475,Bike.1,5455.948595238096
Uilennest,Buurt,BU05180475,walk.1,1957.0184226190477
Uilennest,Buurt,BU05180475,Other mode of transport.1,2038.1064285714285
Duinzigt,Buurt,BU05180476,Passenger car (driver).1,32553.04155811623
Duinzigt,Buurt,BU05180476,Train.1,3653.4230711422842
Duinzigt,Buurt,BU05180476,Bus / tram / metro.1,1714.5789078156313
Duinzigt,Buurt,BU05180476,Bike.1,6601.025516032064
Duinzigt,Buurt,BU05180476,walk.1,2302.077970941884
Duinzigt,Buurt,BU05180476,Other mode of transport.1,1354.0195641282564
Waalsdorp,Buurt,BU05180477,Passenger car (driver).1,52820.450103346455
Waalsdorp,Buurt,BU05180477,Train.1,8711.846338582676
Waalsdorp,Buurt,BU05180477,Bus / tram / metro.1,3951.671745406824
Waalsdorp,Buurt,BU05180477,Bike.1,9911.838963254593
Waalsdorp,Buurt,BU05180477,walk.1,3464.1544947506563
Waalsdorp,Buurt,BU05180477,Other mode of transport.1,3585.119094488189
Arendsdorp,Buurt,BU05180478,Passenger car (driver).1,17956.2469348659
Arendsdorp,Buurt,BU05180478,Train.1,2819.5052203065134
Arendsdorp,Buurt,BU05180478,Bus / tram / metro.1,1265.6455842911878
Arendsdorp,Buurt,BU05180478,Bike.1,3407.7029693486593
Arendsdorp,Buurt,BU05180478,walk.1,1188.9840708812262
Arendsdorp,Buurt,BU05180478,Other mode of transport.1,1135.1166666666668
Van Hoytemastraat en omgeving,Buurt,BU05180479,Passenger car (driver).1,34743.993787076266
Van Hoytemastraat en omgeving,Buurt,BU05180479,Train.1,6187.660550847459
Van Hoytemastraat en omgeving,Buurt,BU05180479,Bus / tram / metro.1,2622.581927966102
Van Hoytemastraat en omgeving,Buurt,BU05180479,Bike.1,6077.163283898304
Van Hoytemastraat en omgeving,Buurt,BU05180479,walk.1,2167.9737923728812
Van Hoytemastraat en omgeving,Buurt,BU05180479,Other mode of transport.1,2586.693273305085
Wijk 05 Archipelbuurt,Wijk,WK051805,Passenger car (driver).1,95225.64485245902
Wijk 05 Archipelbuurt,Wijk,WK051805,Train.1,15956.057045081967
Wijk 05 Archipelbuurt,Wijk,WK051805,Bus / tram / metro.1,6931.1216270491805
Wijk 05 Archipelbuurt,Wijk,WK051805,Bike.1,16228.755786885245
Wijk 05 Archipelbuurt,Wijk,WK051805,walk.1,5742.386651639345
Wijk 05 Archipelbuurt,Wijk,WK051805,Other mode of transport.1,6516.4069672131145
Archipelbuurt,Buurt,BU05180546,Passenger car (driver).1,95225.64485245902
Archipelbuurt,Buurt,BU05180546,Train.1,15956.057045081967
Archipelbuurt,Buurt,BU05180546,Bus / tram / metro.1,6931.1216270491805
Archipelbuurt,Buurt,BU05180546,Bike.1,16228.755786885245
Archipelbuurt,Buurt,BU05180546,walk.1,5742.386651639345
Archipelbuurt,Buurt,BU05180546,Other mode of transport.1,6516.4069672131145
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,Passenger car (driver).1,10721.777796052633
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,Train.1,1593.857154605263
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,Bus / tram / metro.1,734.7097203947369
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,Bike.1,2025.464539473684
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,walk.1,701.5115460526315
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,Other mode of transport.1,612.6784539473684
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Passenger car (driver).1,10721.777796052633
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Train.1,1593.857154605263
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Bus / tram / metro.1,734.7097203947369
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Bike.1,2025.464539473684
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,walk.1,701.5115460526315
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Other mode of transport.1,612.6784539473684
Wijk 07 Scheveningen,Wijk,WK051807,Passenger car (driver).1,275035.1185936599
Wijk 07 Scheveningen,Wijk,WK051807,Train.1,47973.93183573487
Wijk 07 Scheveningen,Wijk,WK051807,Bus / tram / metro.1,20085.32241930836
Wijk 07 Scheveningen,Wijk,WK051807,Bike.1,45794.6806037464
Wijk 07 Scheveningen,Wijk,WK051807,walk.1,16310.906096541787
Wijk 07 Scheveningen,Wijk,WK051807,Other mode of transport.1,19697.188984149856
Oud Scheveningen,Buurt,BU05180701,Passenger car (driver).1,49024.83252568493
Oud Scheveningen,Buurt,BU05180701,Train.1,8366.688433219178
Oud Scheveningen,Buurt,BU05180701,Bus / tram / metro.1,3391.8993150684937
Oud Scheveningen,Buurt,BU05180701,Bike.1,7653.882200342466
Oud Scheveningen,Buurt,BU05180701,walk.1,2759.5566010273974
Oud Scheveningen,Buurt,BU05180701,Other mode of transport.1,3733.3783818493152
Vissershaven,Buurt,BU05180702,Passenger car (driver).1,54744.244487359545
Vissershaven,Buurt,BU05180702,Train.1,9099.104055477528
Vissershaven,Buurt,BU05180702,Bus / tram / metro.1,3866.943599016854
Vissershaven,Buurt,BU05180702,Bike.1,9330.317408707864
Vissershaven,Buurt,BU05180702,walk.1,3314.3271558988763
Vissershaven,Buurt,BU05180702,Other mode of transport.1,3824.1796348314606
Scheveningen Badplaats,Buurt,BU05180703,Passenger car (driver).1,87957.32852504637
Scheveningen Badplaats,Buurt,BU05180703,Train.1,16030.73710575139
Scheveningen Badplaats,Buurt,BU05180703,Bus / tram / metro.1,6606.476055194806
Scheveningen Badplaats,Buurt,BU05180703,Bike.1,14234.180531076066
Scheveningen Badplaats,Buurt,BU05180703,walk.1,5087.597831632653
