Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Bike.1,22281.57557129799,71
Westbroekpark,Buurt,BU05180373,Bike.1,2377.9994176136365,73
Duttendel,Buurt,BU05180374,Bike.1,2890.6622790697675,74
Nassaubuurt,Buurt,BU05180448,Bike.1,4239.676153846153,48
Uilennest,Buurt,BU05180475,Bike.1,5455.948595238096,75
Duinzigt,Buurt,BU05180476,Bike.1,6601.025516032064,76
Waalsdorp,Buurt,BU05180477,Bike.1,9911.838963254593,77
Arendsdorp,Buurt,BU05180478,Bike.1,3407.7029693486593,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Bike.1,6077.163283898304,79
Archipelbuurt,Buurt,BU05180546,Bike.1,16228.755786885245,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Bike.1,2025.464539473684,5
Oud Scheveningen,Buurt,BU05180701,Bike.1,7653.882200342466,1
Vissershaven,Buurt,BU05180702,Bike.1,9330.317408707864,2
Scheveningen Badplaats,Buurt,BU05180703,Bike.1,14234.180531076066,3
Visserijbuurt,Buurt,BU05180704,Bike.1,10188.117836787565,4
Rijslag,Buurt,BU05180772,Bike.1,4313.500054347826,72
Duindorp,Buurt,BU05180800,Bike.1,15612.948473971452,100
Statenkwartier,Buurt,BU05180907,Bike.1,25560.288136316605,7
Geuzenkwartier,Buurt,BU05180908,Bike.1,11612.904524487472,8
Zorgvliet,Buurt,BU05181041,Bike.1,1323.64095,41
Stadhoudersplantsoen,Buurt,BU05181142,Bike.1,5089.8763392857145,42
Sweelinckplein en omgeving,Buurt,BU05181143,Bike.1,15214.519173838211,43
Bloemenbuurt-West,Buurt,BU05181250,Bike.1,6231.485192307692,50
Bloemenbuurt-Oost,Buurt,BU05181251,Bike.1,16909.43736842105,51
Bomenbuurt,Buurt,BU05181252,Bike.1,15314.826886189257,52
Vogelwijk,Buurt,BU05181309,Bike.1,14271.304651869159,9
Bosjes van Pex,Buurt,BU05181481,Bike.1,1097.2966875000002,81
Bohemen en Meer en Bos,Buurt,BU05181492,Bike.1,11971.801362876255,92
Ockenburgh,Buurt,BU05181590,Bike.1,2209.9811320754716,90
Kijkduin,Buurt,BU05181591,Bike.1,4236.5512499999995,91
Kraayenstein,Buurt,BU05181697,Bike.1,15552.821165957446,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Bike.1,132.6775,85
Houtwijk,Buurt,BU05181786,Bike.1,34257.44633970359,86
Kom Loosduinen,Buurt,BU05181795,Bike.1,13167.784263819096,95
Waldeck-Zuid,Buurt,BU05181806,Bike.1,5386.438237100738,6
Nieuw Waldeck,Buurt,BU05181840,Bike.1,19071.041340152566,40
Rosenburg,Buurt,BU05181882,Bike.1,7749.6421477663225,82
Componistenbuurt,Buurt,BU05181893,Bike.1,4906.7125,93
Waldeck-Noord,Buurt,BU05181894,Bike.1,8308.297222222223,94
