Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Bus / tram / metro.1,10196.872410115782,71
Westbroekpark,Buurt,BU05180373,Bus / tram / metro.1,726.3999431818181,73
Duttendel,Buurt,BU05180374,Bus / tram / metro.1,971.5631744186046,74
Nassaubuurt,Buurt,BU05180448,Bus / tram / metro.1,1761.8299384615384,48
Uilennest,Buurt,BU05180475,Bus / tram / metro.1,2017.9949523809526,75
Duinzigt,Buurt,BU05180476,Bus / tram / metro.1,1714.5789078156313,76
Waalsdorp,Buurt,BU05180477,Bus / tram / metro.1,3951.671745406824,77
Arendsdorp,Buurt,BU05180478,Bus / tram / metro.1,1265.6455842911878,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Bus / tram / metro.1,2622.581927966102,79
Archipelbuurt,Buurt,BU05180546,Bus / tram / metro.1,6931.1216270491805,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Bus / tram / metro.1,734.7097203947369,5
Oud Scheveningen,Buurt,BU05180701,Bus / tram / metro.1,3391.8993150684937,1
Vissershaven,Buurt,BU05180702,Bus / tram / metro.1,3866.943599016854,2
Scheveningen Badplaats,Buurt,BU05180703,Bus / tram / metro.1,6606.476055194806,3
Visserijbuurt,Buurt,BU05180704,Bus / tram / metro.1,4345.580012953367,4
Rijslag,Buurt,BU05180772,Bus / tram / metro.1,1834.336288819876,72
Duindorp,Buurt,BU05180800,Bus / tram / metro.1,7041.9173026868175,100
Statenkwartier,Buurt,BU05180907,Bus / tram / metro.1,11348.973687273668,7
Geuzenkwartier,Buurt,BU05180908,Bus / tram / metro.1,5068.721679954442,8
Zorgvliet,Buurt,BU05181041,Bus / tram / metro.1,449.0647,41
Stadhoudersplantsoen,Buurt,BU05181142,Bus / tram / metro.1,2176.467806122449,42
Sweelinckplein en omgeving,Buurt,BU05181143,Bus / tram / metro.1,7463.812504302926,43
Bloemenbuurt-West,Buurt,BU05181250,Bus / tram / metro.1,2400.5678846153846,50
Bloemenbuurt-Oost,Buurt,BU05181251,Bus / tram / metro.1,7368.475154798762,51
Bomenbuurt,Buurt,BU05181252,Bus / tram / metro.1,6638.903612531969,52
Vogelwijk,Buurt,BU05181309,Bus / tram / metro.1,5803.41660046729,9
Bosjes van Pex,Buurt,BU05181481,Bus / tram / metro.1,493.11275000000006,81
Bohemen en Meer en Bos,Buurt,BU05181492,Bus / tram / metro.1,3862.8690050167224,92
Ockenburgh,Buurt,BU05181590,Bus / tram / metro.1,1076.2666352201259,90
Kijkduin,Buurt,BU05181591,Bus / tram / metro.1,1359.1092096774191,91
Kraayenstein,Buurt,BU05181697,Bus / tram / metro.1,6664.869595744682,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Bus / tram / metro.1,61.144999999999996,85
Houtwijk,Buurt,BU05181786,Bus / tram / metro.1,14791.973077223089,86
Kom Loosduinen,Buurt,BU05181795,Bus / tram / metro.1,4903.430386934673,95
Waldeck-Zuid,Buurt,BU05181806,Bus / tram / metro.1,1881.242106879607,6
Nieuw Waldeck,Buurt,BU05181840,Bus / tram / metro.1,8146.774566574202,40
Rosenburg,Buurt,BU05181882,Bus / tram / metro.1,2624.737766323024,82
Componistenbuurt,Buurt,BU05181893,Bus / tram / metro.1,1719.5474315068493,93
Waldeck-Noord,Buurt,BU05181894,Bus / tram / metro.1,2031.6864007936506,94
Vruchtenbuurt,Buurt,BU05181953,Bus / tram / metro.1,8383.140239009072,53
Eykenduinen,Buurt,BU05181983,Bus / tram / metro.1,3114.2831593927895,83
Heesterbuurt,Buurt,BU05182054,Bus / tram / metro.1,9012.42925238795,54
Valkenboskwartier,Buurt,BU05182055,Bus / tram / metro.1,15752.684554000873,55
Rond de Energiecentrale,Buurt,BU05182110,Bus / tram / metro.1,8254.584855163728,10
Koningsplein en omgeving,Buurt,BU05182144,Bus / tram / metro.1,10297.476452145214,44
Zeeheldenkwartier,Buurt,BU05182245,Bus / tram / metro.1,16624.071760236387,45
Willemspark,Buurt,BU05182347,Bus / tram / metro.1,1816.4431627516778,47
Haagse Bos,Buurt,BU05182449,Bus / tram / metro.1,369.4726764705882,49
Landen,Buurt,BU05182561,Bus / tram / metro.1,5881.227824927255,61
Kampen,Buurt,BU05182567,Bus / tram / metro.1,2766.3168329938903,67
Marlot,Buurt,BU05182568,Bus / tram / metro.1,876.4418633540372,68
Burgen en Horsten,Buurt,BU05182569,Bus / tram / metro.1,6609.556841686555,69
Bezuidenhout-West,Buurt,BU05182664,Bus / tram / metro.1,5891.559874301676,64
Bezuidenhout-Midden,Buurt,BU05182665,Bus / tram / metro.1,5353.7224037339565,65
Bezuidenhout-Oost,Buurt,BU05182666,Bus / tram / metro.1,11638.697624861266,66
Huygenspark,Buurt,BU05182718,Bus / tram / metro.1,14594.579886003801,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Bus / tram / metro.1,1524.2621764705882,62
Rivierenbuurt-Noord,Buurt,BU05182763,Bus / tram / metro.1,5189.9218834688345,63
Kortenbos,Buurt,BU05182811,Bus / tram / metro.1,10029.256841924398,11
Voorhout,Buurt,BU05182812,Bus / tram / metro.1,3327.887404458599,12
Uilebomen,Buurt,BU05182813,Bus / tram / metro.1,4121.569968553459,13
Zuidwal,Buurt,BU05182814,Bus / tram / metro.1,10027.657966594044,14
Schildersbuurt-West,Buurt,BU05182915,Bus / tram / metro.1,19713.966737513285,15
Schildersbuurt-Noord,Buurt,BU05182916,Bus / tram / metro.1,13373.394435403105,16
Schildersbuurt-Oost,Buurt,BU05182917,Bus / tram / metro.1,10032.783558091287,17
Transvaalkwartier-Noord,Buurt,BU05183032,Bus / tram / metro.1,5468.35375792142,32
Transvaalkwartier-Midden,Buurt,BU05183033,Bus / tram / metro.1,6271.154015984017,33
Transvaalkwartier-Zuid,Buurt,BU05183034,Bus / tram / metro.1,10092.999759847962,34
Rustenburg,Buurt,BU05183130,Bus / tram / metro.1,7957.806295081968,30
Oostbroek-Noord,Buurt,BU05183131,Bus / tram / metro.1,6249.796899999999,31
Oostbroek-Zuid,Buurt,BU05183135,Bus / tram / metro.1,11420.332208255742,35
Leyenburg,Buurt,BU05183284,Bus / tram / metro.1,18206.779200201207,84
"Venen, Oorden en Raden",Buurt,BU05183387,Bus / tram / metro.1,10674.13393127548,87
"Zijden, Steden en Zichten",Buurt,BU05183396,Bus / tram / metro.1,9562.833558917198,96
Dreven en Gaarden,Buurt,BU05183398,Bus / tram / metro.1,12942.073058252428,98
De Uithof,Buurt,BU05183399,Bus / tram / metro.1,1090.9298188405796,99
Morgenstond-Zuid,Buurt,BU05183480,Bus / tram / metro.1,7504.5749873524455,80
Morgenstond-West,Buurt,BU05183488,Bus / tram / metro.1,8985.514554355166,88
Morgenstond-Oost,Buurt,BU05183489,Bus / tram / metro.1,6813.884892086331,89
Zuiderpark,Buurt,BU05183536,Bus / tram / metro.1,87.00664062500002,36
Moerwijk-Oost,Buurt,BU05183620,Bus / tram / metro.1,4140.151052833078,20
Moerwijk-West,Buurt,BU05183637,Bus / tram / metro.1,7428.295368589745,37
Moerwijk-Noord,Buurt,BU05183638,Bus / tram / metro.1,9128.76320250896,38
Moerwijk-Zuid,Buurt,BU05183639,Bus / tram / metro.1,5965.111467391304,39
Groente- en Fruitmarkt,Buurt,BU05183721,Bus / tram / metro.1,7574.5908725305735,21
Laakhaven-Oost,Buurt,BU05183819,Bus / tram / metro.1,6640.651280864198,19
Laakhaven-West,Buurt,BU05183822,Bus / tram / metro.1,8161.075147459166,22
Spoorwijk,Buurt,BU05183823,Bus / tram / metro.1,5900.000817972351,23
Laakkwartier-West,Buurt,BU05183824,Bus / tram / metro.1,11270.98508348794,24
Laakkwartier-Oost,Buurt,BU05183825,Bus / tram / metro.1,15871.6303158363,25
Noordpolderbuurt,Buurt,BU05183826,Bus / tram / metro.1,12165.540617136008,26
Binckhorst,Buurt,BU05183960,Bus / tram / metro.1,3106.4189245810053,60
Erasmus Veld,Buurt,BU05184001,Bus / tram / metro.1,2496.415023201856,101
Hoge Veld,Buurt,BU05184002,Bus / tram / metro.1,10608.62672423719,102
Parkbuurt oosteinde,Buurt,BU05184003,Bus / tram / metro.1,4584.938192640693,103
Lage Veld,Buurt,BU05184004,Bus / tram / metro.1,5396.081636522755,104
Zonne Veld,Buurt,BU05184005,Bus / tram / metro.1,4794.202445494186,105
Vlietzoom-West,Buurt,BU05184106,Bus / tram / metro.1,189.5514705882353,106
De Reef,Buurt,BU05184110,Bus / tram / metro.1,265.5125,110
Bosweide,Buurt,BU05184208,Bus / tram / metro.1,2684.6204878048775,108
De Venen,Buurt,BU05184211,Bus / tram / metro.1,2271.3241025641023,111
Morgenweide,Buurt,BU05184212,Bus / tram / metro.1,9339.26891730904,112
Singels,Buurt,BU05184213,Bus / tram / metro.1,7420.642135835567,113
Waterbuurt,Buurt,BU05184214,Bus / tram / metro.1,6282.664515706807,114
De Bras,Buurt,BU05184215,Bus / tram / metro.1,7490.344854824936,115
Vlietzoom-Oost,Buurt,BU05184316,Bus / tram / metro.1,117.47399999999999,116
De Rivieren,Buurt,BU05184317,Bus / tram / metro.1,35.61750000000001,117
De Lanen,Buurt,BU05184418,Bus / tram / metro.1,6599.1242935299715,118
De Velden,Buurt,BU05184419,Bus / tram / metro.1,5456.448089454976,119
De Vissen,Buurt,BU05184420,Bus / tram / metro.1,10737.194263668429,120
Rietbuurt,Buurt,BU05184421,Bus / tram / metro.1,3267.801787658802,121
