Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Bus / tram / metro.1,15689.115457038391,71
Westbroekpark,Buurt,BU05180373,Bus / tram / metro.1,1745.5360732323231,73
Duttendel,Buurt,BU05180374,Bus / tram / metro.1,2009.2363423772608,74
Nassaubuurt,Buurt,BU05180448,Bus / tram / metro.1,2893.5120307692305,48
Uilennest,Buurt,BU05180475,Bus / tram / metro.1,3719.6677751322754,75
Duinzigt,Buurt,BU05180476,Bus / tram / metro.1,4909.190551102204,76
Waalsdorp,Buurt,BU05180477,Bus / tram / metro.1,6710.0500218722655,77
Arendsdorp,Buurt,BU05180478,Bus / tram / metro.1,2360.6648435504467,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Bus / tram / metro.1,4073.8661558380413,79
Archipelbuurt,Buurt,BU05180546,Bus / tram / metro.1,11006.412107923497,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Bus / tram / metro.1,1428.6711092836258,5
Oud Scheveningen,Buurt,BU05180701,Bus / tram / metro.1,5072.462762557077,1
Vissershaven,Buurt,BU05180702,Bus / tram / metro.1,6321.59724446005,2
Scheveningen Badplaats,Buurt,BU05180703,Bus / tram / metro.1,9662.817582714903,3
Visserijbuurt,Buurt,BU05180704,Bus / tram / metro.1,7030.327813759355,4
Rijslag,Buurt,BU05180772,Bus / tram / metro.1,3026.6305434782607,72
Duindorp,Buurt,BU05180800,Bus / tram / metro.1,10377.495121513202,100
Statenkwartier,Buurt,BU05180907,Bus / tram / metro.1,17428.247216042997,7
Geuzenkwartier,Buurt,BU05180908,Bus / tram / metro.1,7947.007274740572,8
Zorgvliet,Buurt,BU05181041,Bus / tram / metro.1,912.7770111111112,41
Stadhoudersplantsoen,Buurt,BU05181142,Bus / tram / metro.1,3477.9239682539683,42
Sweelinckplein en omgeving,Buurt,BU05181143,Bus / tram / metro.1,10278.63074679671,43
Bloemenbuurt-West,Buurt,BU05181250,Bus / tram / metro.1,4186.314551282051,50
Bloemenbuurt-Oost,Buurt,BU05181251,Bus / tram / metro.1,11519.421298589612,51
Bomenbuurt,Buurt,BU05181252,Bus / tram / metro.1,10419.199926825804,52
Vogelwijk,Buurt,BU05181309,Bus / tram / metro.1,9667.184625389407,9
Bosjes van Pex,Buurt,BU05181481,Bus / tram / metro.1,745.0585555555556,81
Bohemen en Meer en Bos,Buurt,BU05181492,Bus / tram / metro.1,8315.189841137124,92
Ockenburgh,Buurt,BU05181590,Bus / tram / metro.1,1534.9970055904962,90
Kijkduin,Buurt,BU05181591,Bus / tram / metro.1,2963.379317204301,91
Kraayenstein,Buurt,BU05181697,Bus / tram / metro.1,10345.983568321513,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Bus / tram / metro.1,72.33388888888888,85
Houtwijk,Buurt,BU05181786,Bus / tram / metro.1,23371.099889495577,86
Kom Loosduinen,Buurt,BU05181795,Bus / tram / metro.1,9127.997236739251,95
Waldeck-Zuid,Buurt,BU05181806,Bus / tram / metro.1,3742.413430930931,6
Nieuw Waldeck,Buurt,BU05181840,Bus / tram / metro.1,13078.220701571892,40
Rosenburg,Buurt,BU05181882,Bus / tram / metro.1,5376.3431576937755,82
Componistenbuurt,Buurt,BU05181893,Bus / tram / metro.1,3408.2113280060885,93
Waldeck-Noord,Buurt,BU05181894,Bus / tram / metro.1,6084.085282627866,94
Vruchtenbuurt,Buurt,BU05181953,Bus / tram / metro.1,12674.781068659377,53
Eykenduinen,Buurt,BU05181983,Bus / tram / metro.1,4604.764177735611,83
Heesterbuurt,Buurt,BU05182054,Bus / tram / metro.1,12073.562917176912,54
Valkenboskwartier,Buurt,BU05182055,Bus / tram / metro.1,20574.55358864111,55
Rond de Energiecentrale,Buurt,BU05182110,Bus / tram / metro.1,10852.702161815469,10
Koningsplein en omgeving,Buurt,BU05182144,Bus / tram / metro.1,13403.571090942427,44
Zeeheldenkwartier,Buurt,BU05182245,Bus / tram / metro.1,21623.53558463487,45
Willemspark,Buurt,BU05182347,Bus / tram / metro.1,2660.8062798284864,47
Haagse Bos,Buurt,BU05182449,Bus / tram / metro.1,782.777068627451,49
Landen,Buurt,BU05182561,Bus / tram / metro.1,9259.414924830262,61
Kampen,Buurt,BU05182567,Bus / tram / metro.1,4319.4941264992085,67
Marlot,Buurt,BU05182568,Bus / tram / metro.1,1488.8980124223604,68
Burgen en Horsten,Buurt,BU05182569,Bus / tram / metro.1,11303.780849465216,69
Bezuidenhout-West,Buurt,BU05182664,Bus / tram / metro.1,7433.31062849162,64
Bezuidenhout-Midden,Buurt,BU05182665,Bus / tram / metro.1,7553.724299235058,65
Bezuidenhout-Oost,Buurt,BU05182666,Bus / tram / metro.1,15803.997461462572,66
Huygenspark,Buurt,BU05182718,Bus / tram / metro.1,17670.495434522556,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Bus / tram / metro.1,1775.97268627451,62
Rivierenbuurt-Noord,Buurt,BU05182763,Bus / tram / metro.1,6837.244710930442,63
Kortenbos,Buurt,BU05182811,Bus / tram / metro.1,13324.431528445972,11
Voorhout,Buurt,BU05182812,Bus / tram / metro.1,4432.016937367303,12
Uilebomen,Buurt,BU05182813,Bus / tram / metro.1,5504.539505590496,13
Zuidwal,Buurt,BU05182814,Bus / tram / metro.1,12714.973935286049,14
Schildersbuurt-West,Buurt,BU05182915,Bus / tram / metro.1,26510.468037155115,15
Schildersbuurt-Noord,Buurt,BU05182916,Bus / tram / metro.1,18591.26525440939,16
Schildersbuurt-Oost,Buurt,BU05182917,Bus / tram / metro.1,13698.93210580913,17
Transvaalkwartier-Noord,Buurt,BU05183032,Bus / tram / metro.1,7367.7194078298835,32
Transvaalkwartier-Midden,Buurt,BU05183033,Bus / tram / metro.1,9074.902903762904,33
Transvaalkwartier-Zuid,Buurt,BU05183034,Bus / tram / metro.1,13375.621808531061,34
Rustenburg,Buurt,BU05183130,Bus / tram / metro.1,10872.9667431694,30
Oostbroek-Noord,Buurt,BU05183131,Bus / tram / metro.1,8070.212960493827,31
Oostbroek-Zuid,Buurt,BU05183135,Bus / tram / metro.1,14707.945858852334,35
