Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Passenger car (passenger).1,41661.821786258384,71
Westbroekpark,Buurt,BU05180373,Passenger car (passenger).1,4510.260703125,73
Duttendel,Buurt,BU05180374,Passenger car (passenger).1,5553.808348837209,74
Nassaubuurt,Buurt,BU05180448,Passenger car (passenger).1,8410.399015384617,48
Uilennest,Buurt,BU05180475,Passenger car (passenger).1,10892.967080357143,75
Duinzigt,Buurt,BU05180476,Passenger car (passenger).1,13120.72349699399,76
Waalsdorp,Buurt,BU05180477,Passenger car (passenger).1,20023.069903215222,77
Arendsdorp,Buurt,BU05180478,Passenger car (passenger).1,6786.321973180076,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Passenger car (passenger).1,12428.636954449152,79
Archipelbuurt,Buurt,BU05180546,Passenger car (passenger).1,31172.28237704918,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Passenger car (passenger).1,3869.3151151315788,5
Oud Scheveningen,Buurt,BU05180701,Passenger car (passenger).1,14566.134606164384,1
Vissershaven,Buurt,BU05180702,Passenger car (passenger).1,18152.270565308987,2
Scheveningen Badplaats,Buurt,BU05180703,Passenger car (passenger).1,27064.138497217067,3
Visserijbuurt,Buurt,BU05180704,Passenger car (passenger).1,19855.236839378238,4
Rijslag,Buurt,BU05180772,Passenger car (passenger).1,8198.575341614905,72
Duindorp,Buurt,BU05180800,Passenger car (passenger).1,30463.598313392104,100
Statenkwartier,Buurt,BU05180907,Passenger car (passenger).1,50105.589306130365,7
Geuzenkwartier,Buurt,BU05180908,Passenger car (passenger).1,22498.400462699316,8
Zorgvliet,Buurt,BU05181041,Passenger car (passenger).1,2426.644525,41
Stadhoudersplantsoen,Buurt,BU05181142,Passenger car (passenger).1,10094.335038265304,42
Sweelinckplein en omgeving,Buurt,BU05181143,Passenger car (passenger).1,29848.716651247847,43
Bloemenbuurt-West,Buurt,BU05181250,Passenger car (passenger).1,12171.298365384617,50
Bloemenbuurt-Oost,Buurt,BU05181251,Passenger car (passenger).1,33869.90495356037,51
Bomenbuurt,Buurt,BU05181252,Passenger car (passenger).1,30554.01543478261,52
Vogelwijk,Buurt,BU05181309,Passenger car (passenger).1,27945.660424065423,9
Bosjes van Pex,Buurt,BU05181481,Passenger car (passenger).1,2044.6712499999999,81
Bohemen en Meer en Bos,Buurt,BU05181492,Passenger car (passenger).1,23025.7612541806,92
Ockenburgh,Buurt,BU05181590,Passenger car (passenger).1,3858.2343710691825,90
Kijkduin,Buurt,BU05181591,Passenger car (passenger).1,7607.45227016129,91
Kraayenstein,Buurt,BU05181697,Passenger car (passenger).1,29551.70157021277,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Passenger car (passenger).1,137.780625,85
Houtwijk,Buurt,BU05181786,Passenger car (passenger).1,65289.778039196564,86
Kom Loosduinen,Buurt,BU05181795,Passenger car (passenger).1,25448.9072839196,95
Waldeck-Zuid,Buurt,BU05181806,Passenger car (passenger).1,10557.955224201474,6
Nieuw Waldeck,Buurt,BU05181840,Passenger car (passenger).1,37173.307813800275,40
Rosenburg,Buurt,BU05181882,Passenger car (passenger).1,14555.974359965636,82
Componistenbuurt,Buurt,BU05181893,Passenger car (passenger).1,9411.046712328767,93
Waldeck-Noord,Buurt,BU05181894,Passenger car (passenger).1,16396.300678571428,94
Vruchtenbuurt,Buurt,BU05181953,Passenger car (passenger).1,37433.173864270764,53
Eykenduinen,Buurt,BU05181983,Passenger car (passenger).1,13633.649259962049,83
Heesterbuurt,Buurt,BU05182054,Passenger car (passenger).1,35124.622981263776,54
Valkenboskwartier,Buurt,BU05182055,Passenger car (passenger).1,57984.06222890249,55
Rond de Energiecentrale,Buurt,BU05182110,Passenger car (passenger).1,29945.488923173805,10
Koningsplein en omgeving,Buurt,BU05182144,Passenger car (passenger).1,38505.41130363036,44
Zeeheldenkwartier,Buurt,BU05182245,Passenger car (passenger).1,59294.15142465175,45
Willemspark,Buurt,BU05182347,Passenger car (passenger).1,7284.099865771812,47
Haagse Bos,Buurt,BU05182449,Passenger car (passenger).1,2030.178676470588,49
Landen,Buurt,BU05182561,Passenger car (passenger).1,26369.936942289038,61
Kampen,Buurt,BU05182567,Passenger car (passenger).1,12364.403910386965,67
Marlot,Buurt,BU05182568,Passenger car (passenger).1,4104.18774068323,68
Burgen en Horsten,Buurt,BU05182569,Passenger car (passenger).1,32269.48211515513,69
Bezuidenhout-West,Buurt,BU05182664,Passenger car (passenger).1,18731.888889664806,64
Bezuidenhout-Midden,Buurt,BU05182665,Passenger car (passenger).1,22020.07614060677,65
Bezuidenhout-Oost,Buurt,BU05182666,Passenger car (passenger).1,45829.585449500555,66
Huygenspark,Buurt,BU05182718,Passenger car (passenger).1,39937.55429227359,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Passenger car (passenger).1,4014.7323676470587,62
Rivierenbuurt-Noord,Buurt,BU05182763,Passenger car (passenger).1,18198.94990514905,63
Kortenbos,Buurt,BU05182811,Passenger car (passenger).1,36226.81643814433,11
Voorhout,Buurt,BU05182812,Passenger car (passenger).1,11103.274044585987,12
Uilebomen,Buurt,BU05182813,Passenger car (passenger).1,15666.37386595912,13
