Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Passenger car (driver).1,122216.94066727604,71
Westbroekpark,Buurt,BU05180373,Passenger car (driver).1,11701.796626420453,73
Duttendel,Buurt,BU05180374,Passenger car (driver).1,15186.55425,74
Nassaubuurt,Buurt,BU05180448,Passenger car (driver).1,23908.380923076922,48
Uilennest,Buurt,BU05180475,Passenger car (driver).1,31673.278032738093,75
Duinzigt,Buurt,BU05180476,Passenger car (driver).1,32553.04155811623,76
Waalsdorp,Buurt,BU05180477,Passenger car (driver).1,52820.450103346455,77
Arendsdorp,Buurt,BU05180478,Passenger car (driver).1,17956.2469348659,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Passenger car (driver).1,34743.993787076266,79
Archipelbuurt,Buurt,BU05180546,Passenger car (driver).1,95225.64485245902,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Passenger car (driver).1,10721.777796052633,5
Oud Scheveningen,Buurt,BU05180701,Passenger car (driver).1,49024.83252568493,1
Vissershaven,Buurt,BU05180702,Passenger car (driver).1,54744.244487359545,2
Scheveningen Badplaats,Buurt,BU05180703,Passenger car (driver).1,87957.32852504637,3
Visserijbuurt,Buurt,BU05180704,Passenger car (driver).1,58748.50032383419,4
Rijslag,Buurt,BU05180772,Passenger car (driver).1,24301.901203416146,72
Duindorp,Buurt,BU05180800,Passenger car (driver).1,93313.73248950462,100
Statenkwartier,Buurt,BU05180907,Passenger car (driver).1,143460.9546081221,7
Geuzenkwartier,Buurt,BU05180908,Passenger car (driver).1,67518.75525768792,8
Zorgvliet,Buurt,BU05181041,Passenger car (driver).1,7718.008225,41
Stadhoudersplantsoen,Buurt,BU05181142,Passenger car (driver).1,30766.950178571427,42
Sweelinckplein en omgeving,Buurt,BU05181143,Passenger car (driver).1,93668.7056422117,43
Bloemenbuurt-West,Buurt,BU05181250,Passenger car (driver).1,34383.403076923074,50
Bloemenbuurt-Oost,Buurt,BU05181251,Passenger car (driver).1,98223.43711300308,51
Bomenbuurt,Buurt,BU05181252,Passenger car (driver).1,90263.35100383632,52
Vogelwijk,Buurt,BU05181309,Passenger car (driver).1,73697.61978971963,9
Bosjes van Pex,Buurt,BU05181481,Passenger car (driver).1,6181.785062499999,81
Bohemen en Meer en Bos,Buurt,BU05181492,Passenger car (driver).1,66603.17550167223,92
Ockenburgh,Buurt,BU05181590,Passenger car (driver).1,12386.874402515725,90
