Name,BUURTCODE,car km per capita,GWP_car
Belgisch Park,71,19.97303625,2414.062997
Westbroekpark,73,18.42279242,2226.691071
Duttendel,74,19.29336056,2331.913247
Nassaubuurt,48,19.88847996,2403.843008
Uilennest,75,20.26964053,2449.912399
Duinzigt,76,18.30611826,2212.58912
Waalsdorp,77,19.11903412,2310.84309
Arendsdorp,78,18.95982292,2291.599853
Van Hoytemastraat en omgeving,79,19.98840286,2415.920299
Archipelbuurt,46,20.72097168,2504.463035
Van Stolkpark en Scheveningse Bosjes,5,19.19880646,2320.484861
Oud Scheveningen,1,21.77772847,2632.189107
Vissershaven,2,20.47654917,2474.92064
Scheveningen Badplaats,3,21.3397898,2579.257168
Visserijbuurt,4,20.36366248,2461.276466
Rijslag,72,20.18663139,2439.879408
Duindorp,100,20.78544598,2512.255792
Statenkwartier,7,20.02757826,2420.655277
Geuzenkwartier,8,20.50504686,2478.365044
Zorgvliet,41,20.2893055,2452.289227
Stadhoudersplantsoen,42,20.8475945,2519.767442
Sweelinckplein en omgeving,43,21.25945306,2569.547179
Bloemenbuurt-West,50,19.89517156,2404.651795
Bloemenbuurt-Oost,51,20.44788577,2471.456206
Bomenbuurt,52,20.59972147,2489.807995
Vogelwijk,9,18.99874397,2296.304089
Bosjes van Pex,81,20.56614078,2485.749228
Bohemen en Meer en Bos,92,19.98415535,2415.406919
Ockenburgh,90,20.43409909,2469.789864
Kijkduin,91,19.68621407,2379.395918
Kraayenstein,97,20.79563946,2513.487839
Kerketuinen en Zichtenburg,85,31.47435,3804.181935
Houtwijk,86,20.28787189,2452.115953
Kom Loosduinen,95,20.18671152,2439.889093
Waldeck-Zuid,6,19.73456473,2385.239874
Nieuw Waldeck,40,20.19877288,2441.346903
Rosenburg,82,20.30996384,2454.78612
Componistenbuurt,93,20.11421113,2431.126254
Waldeck-Noord,94,19.11054607,2309.817172
Vruchtenbuurt,53,20.26549273,2449.411071
Eykenduinen,83,21.04906243,2544.118085
Heesterbuurt,54,21.391906,2585.55625
Valkenboskwartier,55,21.75102756,2628.961872
Rond de Energiecentrale,10,21.88143525,2644.723741
Koningsplein en omgeving,44,22.02052799,2661.535338
Zeeheldenkwartier,45,22.05130801,2665.255599
Willemspark,47,22.19024445,2682.048305
Haagse Bos,49,21.36752727,2582.609688
Landen,61,20.64538701,2495.327411
Kampen,67,21.29044095,2573.292565
Marlot,68,19.02198233,2299.112818
Burgen en Horsten,69,20.56415428,2485.509128
Bezuidenhout-West,64,19.83722174,2397.647627
Bezuidenhout-Midden,65,21.15645689,2557.098434
Bezuidenhout-Oost,66,22.23980139,2688.038059
Huygenspark,18,19.91291839,2406.796785
Rivierenbuurt-Zuid,62,22.247109,2688.921301
Rivierenbuurt-Noord,63,21.735702,2627.109532
Kortenbos,11,21.9985035,2658.873324
Voorhout,12,23.04327027,2785.150209
Uilebomen,13,22.72466484,2746.641613
Zuidwal,14,22.67744089,2740.933838
Schildersbuurt-West,15,20.05435916,2423.89218
Schildersbuurt-Noord,16,19.84347022,2398.402856
Schildersbuurt-Oost,17,19.63060636,2372.674831
Transvaalkwartier-Noord,32,20.33719957,2458.077997
Transvaalkwartier-Midden,33,19.69538175,2380.50398
Transvaalkwartier-Zuid,34,20.19861015,2441.327234
Rustenburg,30,21.36940679,2582.836858
Oostbroek-Noord,31,21.50142998,2598.793986
Oostbroek-Zuid,35,20.93247309,2530.026386
Leyenburg,84,20.89829534,2525.895454
"Venen, Oorden en Raden",87,19.89902033,2405.116981
"Zijden, Steden en Zichten",96,20.31894703,2455.871884
Dreven en Gaarden,98,19.66121985,2376.374965
De Uithof,99,18.92226208,2287.060021
Morgenstond-Zuid,80,21.00480511,2538.768875
Morgenstond-West,88,20.27394391,2450.432532
Morgenstond-Oost,89,21.15564668,2557.000507
Zuiderpark,36,18.62003979,2250.531591
Moerwijk-Oost,20,20.77928251,2511.510838
Moerwijk-West,37,20.28759445,2452.08242
Moerwijk-Noord,38,20.6678885,2498.047078
Moerwijk-Zuid,39,20.40366609,2466.111546
Groente- en Fruitmarkt,21,20.23447834,2445.662482
Laakhaven-Oost,19,20.16949251,2437.807899
Laakhaven-West,22,20.54496296,2483.189548
Spoorwijk,23,20.13659308,2433.831473
Laakkwartier-West,24,21.25639742,2569.177856
Laakkwartier-Oost,25,21.27528713,2571.460982
Noordpolderbuurt,26,20.67866227,2499.349262
Binckhorst,60,27.09233,3274.544267
Erasmus Veld,101,19.95858871,2412.316779
Hoge Veld,102,19.26559376,2328.557182
Parkbuurt oosteinde,103,20.47955632,2475.284102
Lage Veld,104,20.39894908,2465.541419
Zonne Veld,105,20.29756925,2453.288035
Vlietzoom-West,106,20.23867409,2446.169606
De Reef,110,24.11047727,2914.139357
Bosweide,108,19.53456387,2361.06655
De Venen,111,20.70782453,2502.87399
Morgenweide,112,20.07353889,2426.210359
Singels,113,20.29379395,2452.831729
Waterbuurt,114,20.25711127,2448.398036
De Bras,115,19.1985629,2320.455423
Vlietzoom-Oost,116,22.16854875,2679.42603
De Rivieren,117,23.9570625,2895.596712
De Lanen,118,19.5703855,2365.396171
De Velden,119,20.37740341,2462.937278
De Vissen,120,20.07175881,2425.995208
Rietbuurt,121,19.18935384,2319.34236
