Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Other mode of transport.1,8196.813711151737,71
Westbroekpark,Buurt,BU05180373,Other mode of transport.1,536.162002840909,73
Duttendel,Buurt,BU05180374,Other mode of transport.1,843.1173837209302,74
Nassaubuurt,Buurt,BU05180448,Other mode of transport.1,1662.786,48
Uilennest,Buurt,BU05180475,Other mode of transport.1,2038.1064285714285,75
Duinzigt,Buurt,BU05180476,Other mode of transport.1,1354.0195641282564,76
Waalsdorp,Buurt,BU05180477,Other mode of transport.1,3585.119094488189,77
Arendsdorp,Buurt,BU05180478,Other mode of transport.1,1135.1166666666668,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Other mode of transport.1,2586.693273305085,79
Archipelbuurt,Buurt,BU05180546,Other mode of transport.1,6516.4069672131145,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Other mode of transport.1,612.6784539473684,5
Oud Scheveningen,Buurt,BU05180701,Other mode of transport.1,3733.3783818493152,1
Vissershaven,Buurt,BU05180702,Other mode of transport.1,3824.1796348314606,2
Scheveningen Badplaats,Buurt,BU05180703,Other mode of transport.1,6586.326171150278,3
Visserijbuurt,Buurt,BU05180704,Other mode of transport.1,3983.8727331606215,4
Rijslag,Buurt,BU05180772,Other mode of transport.1,1581.4296195652173,72
Duindorp,Buurt,BU05180800,Other mode of transport.1,7090.385831234256,100
Statenkwartier,Buurt,BU05180907,Other mode of transport.1,10043.30160372478,7
Geuzenkwartier,Buurt,BU05180908,Other mode of transport.1,4702.139649772209,8
Zorgvliet,Buurt,BU05181041,Other mode of transport.1,493.8075,41
Stadhoudersplantsoen,Buurt,BU05181142,Other mode of transport.1,2198.0680484693876,42
Sweelinckplein en omgeving,Buurt,BU05181143,Other mode of transport.1,7290.364802065404,43
Bloemenbuurt-West,Buurt,BU05181250,Other mode of transport.1,2169.605769230769,50
Bloemenbuurt-Oost,Buurt,BU05181251,Other mode of transport.1,6734.227012383901,51
Bomenbuurt,Buurt,BU05181252,Other mode of transport.1,6300.518574168797,52
Vogelwijk,Buurt,BU05181309,Other mode of transport.1,4774.561612149532,9
Bosjes van Pex,Buurt,BU05181481,Other mode of transport.1,407.3540625,81
Bohemen en Meer en Bos,Buurt,BU05181492,Other mode of transport.1,3662.009322742475,92
Ockenburgh,Buurt,BU05181590,Other mode of transport.1,876.5915094339623,90
Kijkduin,Buurt,BU05181591,Other mode of transport.1,1235.1774193548388,91
Kraayenstein,Buurt,BU05181697,Other mode of transport.1,6771.0123191489365,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Other mode of transport.1,169.02,85
Houtwijk,Buurt,BU05181786,Other mode of transport.1,13439.371889625585,86
Kom Loosduinen,Buurt,BU05181795,Other mode of transport.1,4595.64290201005,95
Waldeck-Zuid,Buurt,BU05181806,Other mode of transport.1,1715.1208230958232,6
Nieuw Waldeck,Buurt,BU05181840,Other mode of transport.1,7406.004117545076,40
Rosenburg,Buurt,BU05181882,Other mode of transport.1,2629.076288659794,82
Componistenbuurt,Buurt,BU05181893,Other mode of transport.1,1570.6587328767123,93
Waldeck-Noord,Buurt,BU05181894,Other mode of transport.1,1925.715595238095,94
Vruchtenbuurt,Buurt,BU05181953,Other mode of transport.1,7726.166032798325,53
