Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,walk.1,7694.376245429616,71
Westbroekpark,Buurt,BU05180373,walk.1,813.6608238636363,73
Duttendel,Buurt,BU05180374,walk.1,999.6319476744186,74
Nassaubuurt,Buurt,BU05180448,walk.1,1498.6848923076923,48
Uilennest,Buurt,BU05180475,walk.1,1957.0184226190477,75
Duinzigt,Buurt,BU05180476,walk.1,2302.077970941884,76
Waalsdorp,Buurt,BU05180477,walk.1,3464.1544947506563,77
Arendsdorp,Buurt,BU05180478,walk.1,1188.9840708812262,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,walk.1,2167.9737923728812,79
Archipelbuurt,Buurt,BU05180546,walk.1,5742.386651639345,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,walk.1,701.5115460526315,5
Oud Scheveningen,Buurt,BU05180701,walk.1,2759.5566010273974,1
Vissershaven,Buurt,BU05180702,walk.1,3314.3271558988763,2
Scheveningen Badplaats,Buurt,BU05180703,walk.1,5087.597831632653,3
Visserijbuurt,Buurt,BU05180704,walk.1,3613.381191709844,4
Rijslag,Buurt,BU05180772,walk.1,1512.0685481366459,72
Duindorp,Buurt,BU05180800,walk.1,5543.612226070529,100
Statenkwartier,Buurt,BU05180907,walk.1,8973.53561109674,7
Geuzenkwartier,Buurt,BU05180908,walk.1,4111.414040432803,8
Zorgvliet,Buurt,BU05181041,walk.1,464.42805,41
Stadhoudersplantsoen,Buurt,BU05181142,walk.1,1838.1029719387757,42
Sweelinckplein en omgeving,Buurt,BU05181143,walk.1,5469.888162650603,43
Bloemenbuurt-West,Buurt,BU05181250,walk.1,2178.0883653846154,50
Bloemenbuurt-Oost,Buurt,BU05181251,walk.1,6050.672314241487,51
Bomenbuurt,Buurt,BU05181252,walk.1,5494.782480818414,52
Vogelwijk,Buurt,BU05181309,walk.1,4892.167578271028,9
Bosjes van Pex,Buurt,BU05181481,walk.1,379.5218125,81
Bohemen en Meer en Bos,Buurt,BU05181492,walk.1,4215.098971571906,92
Ockenburgh,Buurt,BU05181590,walk.1,748.0346540880503,90
