Name,BUURTCODE,GWP reduction : high charge,GWP reduction : Medium charge,GWP reduction : Low charge
Schildersbuurt-Oost,17,0.444360494,0.208282575,0.079563354
Schildersbuurt-West,15,0.416636307,0.197431992,0.075906101
Schildersbuurt-Noord,16,0.41573807,0.197355959,0.075956976
Transvaalkwartier-Noord,32,0.392923305,0.188469805,0.072989636
Transvaalkwartier-Zuid,34,0.388305522,0.18656892,0.072327139
Transvaalkwartier-Midden,33,0.382773466,0.185132582,0.072059892
Noordpolderbuurt,26,0.369020423,0.179633289,0.070196061
Moerwijk-West,37,0.355513593,0.17333226,0.067799891
Groente- en Fruitmarkt,21,0.366793535,0.179112916,0.070129082
Moerwijk-Oost,20,0.339845153,0.166981461,0.065630586
Laakhaven-West,22,0.352981936,0.174481736,0.068837289
"Venen, Oorden en Raden",87,0.336323797,0.167703742,0.06652948
Moerwijk-Noord,38,0.317776971,0.159127942,0.063298324
Spoorwijk,23,0.325954076,0.163222657,0.06492713
Morgenstond-Zuid,80,0.301717308,0.151922314,0.060646915
Oostbroek-Zuid,35,0.309778787,0.155981473,0.062267319
Dreven en Gaarden,98,0.325716211,0.164451075,0.065763406
"Zijden, Steden en Zichten",96,0.306460656,0.154936783,0.062012582
Moerwijk-Zuid,39,0.305806925,0.154812474,0.062016502
Laakkwartier-West,24,0.295964918,0.150028613,0.060151961
Huygenspark,18,0.361341708,0.183410251,0.073599023
Laakhaven-Oost,19,0.335538686,0.170536063,0.06849136
Laakkwartier-Oost,25,0.295124606,0.149995785,0.060241893
Binckhorst,60,0.230185187,0.118040698,0.047687503
Oostbroek-Noord,31,0.272997747,0.140343513,0.056791152
Rivierenbuurt-Zuid,62,0.293495523,0.151066921,0.061180525
Morgenstond-Oost,89,0.271674628,0.140006571,0.056747433
Rustenburg,30,0.260172838,0.135205661,0.055109869
Zuiderpark,36,0.310487975,0.161353247,0.065767633
Nieuw Waldeck,40,0.266210619,0.13961579,0.057262302
Morgenstond-West,88,0.257950985,0.135734897,0.055797631
Duindorp,100,0.235457746,0.12510112,0.05177084
Bezuidenhout-West,64,0.271404903,0.144798741,0.060095919
Landen,61,0.235407717,0.125849894,0.052306283
Rond de Energiecentrale,10,0.222961758,0.11943682,0.049711318
Heesterbuurt,54,0.218552109,0.117540288,0.049059354
Valkenboskwartier,55,0.215039682,0.115877434,0.048432406
Kampen,67,0.215534621,0.116256773,0.04862446
Leyenburg,84,0.223197737,0.120506313,0.050436454
Waldeck-Zuid,6,0.236690459,0.127913799,0.053573405
Kom Loosduinen,95,0.2277445,0.123430274,0.051801009
Vissershaven,2,0.211667506,0.115357659,0.048607474
Hoge Veld,102,0.218365361,0.119007954,0.050145574
De Uithof,99,0.239218427,0.130372764,0.054934287
Zuidwal,14,0.196551511,0.107314575,0.045277964
Zonne Veld,105,0.210596342,0.114982871,0.048513357
Waterbuurt,114,0.207700038,0.113503956,0.047920727
Lage Veld,104,0.209411523,0.114439249,0.048315602
Houtwijk,86,0.212461315,0.116210253,0.049095313
Oud Scheveningen,1,0.190485828,0.104468714,0.044220666
Rivierenbuurt-Noord,63,0.197397813,0.108354877,0.045895132
Rosenburg,82,0.210971491,0.115907246,0.049125487
Singels,113,0.19879931,0.109692679,0.046639058
Geuzenkwartier,8,0.198273043,0.109495492,0.046584411
Burgen en Horsten,69,0.197700363,0.109179232,0.04644986
Erasmus Veld,101,0.206416174,0.114089143,0.048569092
De Lanen,118,0.195249757,0.107917306,0.045941668
Morgenweide,112,0.194545207,0.107708987,0.045910004
Visserijbuurt,4,0.190619753,0.106145947,0.045437923
Rietbuurt,121,0.184706879,0.102936562,0.044090672
De Venen,111,0.177009251,0.098646699,0.042253201
Kortenbos,11,0.17555469,0.097993285,0.04202374
De Vissen,120,0.183759444,0.102898487,0.044232287
De Bras,115,0.183789187,0.10299573,0.044300175
De Velden,119,0.177261632,0.099415111,0.042785202
Eykenduinen,83,0.169980076,0.095479005,0.041139254
Koningsplein en omgeving,44,0.161893328,0.091145622,0.039340422
Bloemenbuurt-Oost,51,0.17094784,0.096533746,0.041761579
Uilebomen,13,0.150635203,0.085189818,0.036895875
Bomenbuurt,52,0.166806767,0.094405127,0.040910113
Scheveningen Badplaats,3,0.159000234,0.090250274,0.039197243
Zeeheldenkwartier,45,0.15315684,0.087183463,0.03794901
Waldeck-Noord,94,0.183344837,0.104441907,0.045486134
Vruchtenbuurt,53,0.15582074,0.089136229,0.038946643
Kraayenstein,97,0.147156781,0.084525253,0.037049911
Bloemenbuurt-West,50,0.149528981,0.086344214,0.03800498
Bohemen en Meer en Bos,92,0.153265138,0.088559198,0.038999913
Componistenbuurt,93,0.150612282,0.087194904,0.038457856
Rijslag,72,0.148147954,0.085877821,0.037915281
Bezuidenhout-Oost,66,0.127722167,0.074178027,0.032799144
Parkbuurt oosteinde,103,0.137039276,0.079738468,0.035310444
Belgisch Park,71,0.13970295,0.081735905,0.036354474
Stadhoudersplantsoen,42,0.124505858,0.073103971,0.032608527
Bosjes van Pex,81,0.128191834,0.075399811,0.033680223
Vlietzoom-West,106,0.120434897,0.071040781,0.031807154
Sweelinckplein en omgeving,43,0.113737166,0.067279088,0.030192229
Bezuidenhout-Midden,65,0.101342628,0.060689372,0.02751329
Kijkduin,91,0.10890818,0.065582131,0.029869688
Vlietzoom-Oost,116,0.102109809,0.061578982,0.028081293
Ockenburgh,90,0.0985478,0.059660511,0.027295393
Haagse Bos,49,0.092642651,0.056138748,0.025704843
Uilennest,75,0.086204605,0.05262343,0.024247459
Van Hoytemastraat en omgeving,79,0.080765369,0.049499417,0.022886403
