Name,tram km per capita,GWP_bustram
Belgisch Park,1.912140824,65.78003452
Westbroekpark,1.98356372,68.23707142
Duttendel,1.869057063,64.29789929
Nassaubuurt,1.780622788,61.25564969
Uilennest,1.771270369,60.93391478
Duinzigt,1.967611443,67.68829315
Waalsdorp,1.761167985,60.58638014
Arendsdorp,1.808938577,62.22974822
Van Hoytemastraat en omgeving,1.726214473,59.38393564
Archipelbuurt,1.804329854,62.07120239
Van Stolkpark en Scheveningse Bosjes,1.879830407,64.66851579
Oud Scheveningen,1.737144782,59.75995193
Vissershaven,1.775729563,61.08731663
Scheveningen Badplaats,1.792730535,61.67217132
Visserijbuurt,1.821328449,62.65597531
Rijslag,1.879894748,64.6707292
Duindorp,1.742652413,59.94942132
Statenkwartier,1.803233028,62.0334702
Geuzenkwartier,1.810252227,62.27493942
Zorgvliet,1.825554022,62.8013403
Stadhoudersplantsoen,1.774451004,61.0433326
Sweelinckplein en omgeving,1.769127495,60.86019724
Bloemenbuurt-West,1.789023313,61.54463825
Bloemenbuurt-Oost,1.783192151,61.34403898
Bomenbuurt,1.776504676,61.11398149
Vogelwijk,1.806950397,62.16135234
Bosjes van Pex,1.862646389,64.07736409
Bohemen en Meer en Bos,1.853999965,63.7799163
Ockenburgh,1.930813844,66.42240975
Kijkduin,1.911857624,65.77029209
Kraayenstein,1.76101848,60.58123699
Kerketuinen en Zichtenburg,1.446677778,49.76752391
Houtwijk,1.823018712,62.71412247
Kom Loosduinen,1.834773314,63.11849547
Waldeck-Zuid,1.839023799,63.26471747
Nieuw Waldeck,1.813900236,62.40043549
Rosenburg,1.847540604,63.5577062
Componistenbuurt,1.867513056,64.24478352
Waldeck-Noord,1.931455645,66.44448851
Vruchtenbuurt,1.768985495,60.85531226
Eykenduinen,1.747538587,60.11751182
Heesterbuurt,1.774219385,61.03536462
Valkenboskwartier,1.799261354,61.89683965
Rond de Energiecentrale,1.822452084,62.69462975
Koningsplein en omgeving,1.769448329,60.87123433
Zeeheldenkwartier,1.825541206,62.80089941
Willemspark,1.785776027,61.43292755
Haagse Bos,1.841828397,63.36119914
Landen,1.796200761,61.79155143
Kampen,1.759468076,60.52790115
Marlot,1.849562748,63.62727048
Burgen en Horsten,1.79853315,61.87178853
Bezuidenhout-West,2.076343751,71.42882046
Bezuidenhout-Midden,1.762829475,60.64353748
Bezuidenhout-Oost,1.754050773,60.34153915
Huygenspark,2.238188149,76.99647006
Rivierenbuurt-Zuid,2.089379631,71.87727103
Rivierenbuurt-Noord,1.852911846,63.74248364
Kortenbos,1.83153698,63.00716153
Voorhout,1.881960483,64.74179307
Uilebomen,1.730987266,59.54812568
Zuidwal,1.846764551,63.53100901
Schildersbuurt-West,1.878176977,64.61163573
Schildersbuurt-Noord,1.861919405,64.05235493
Schildersbuurt-Oost,1.894734731,65.18124316
Transvaalkwartier-Noord,1.867609482,64.24810069
Transvaalkwartier-Midden,1.813167413,62.37522547
Transvaalkwartier-Zuid,1.848738329,63.59890944
Rustenburg,1.782453564,61.31863067
Oostbroek-Noord,1.793380658,61.69453636
Oostbroek-Zuid,1.825939896,62.81461485
Leyenburg,1.824199677,62.75474914
"Venen, Oorden en Raden",1.813230606,62.37739938
"Zijden, Steden en Zichten",1.770470089,60.90638415
Dreven en Gaarden,1.834532449,63.11020941
De Uithof,1.894805914,65.18369195
Morgenstond-Zuid,1.758676472,60.50066898
Morgenstond-West,1.794691184,61.73962009
Morgenstond-Oost,1.767315083,60.797848
Zuiderpark,1.872253526,64.40786161
Moerwijk-Oost,1.787521098,61.49296017
Moerwijk-West,1.765616804,60.73942508
Moerwijk-Noord,1.801368737,61.96933626
Moerwijk-Zuid,1.797065593,61.82130273
Groente- en Fruitmarkt,1.868855816,64.29097614
Laakhaven-Oost,2.062940211,70.96772193
Laakhaven-West,1.923627559,66.17519256
Spoorwijk,1.811626075,62.32220151
Laakkwartier-West,1.817767544,62.53347572
Laakkwartier-Oost,1.839332166,63.27532568
Noordpolderbuurt,1.896577502,65.24463679
Binckhorst,1.889434368,64.99890405
Erasmus Veld,1.86768148,64.25057751
Hoge Veld,1.747496773,60.11607336
Parkbuurt oosteinde,1.822581286,62.69907447
Lage Veld,1.794091242,61.71898134
Zonne Veld,1.799109441,61.89161366
Vlietzoom-West,1.766596886,60.77314112
De Reef,2.749416667,94.58337012
Bosweide,1.812035282,62.33627874
De Venen,1.711514874,58.87825106
Morgenweide,1.777999924,61.16541989
Singels,1.803667543,62.04841806
Waterbuurt,1.767373532,60.79985872
De Bras,1.739238422,59.83197576
Vlietzoom-Oost,2.070410556,71.22471114
De Rivieren,1.864791667,64.15116433
De Lanen,1.71595923,59.03114246
De Velden,1.782336715,61.31461092
De Vissen,1.808301359,62.20782713
Rietbuurt,1.665682662,57.30156568
