Name,GWP_reduction_frac,BUURTCODE
Schildersbuurt-Oost,0.07956335439785417,17
Schildersbuurt-West,0.07590610075655578,15
Schildersbuurt-Noord,0.07595697607389768,16
Transvaalkwartier-Noord,0.07298963592072996,32
Transvaalkwartier-Zuid,0.07232713876826062,34
Transvaalkwartier-Midden,0.07205989242278381,33
Noordpolderbuurt,0.07019606146541496,26
Moerwijk-West,0.06779989088760817,37
Groente- en Fruitmarkt,0.07012908223388603,21
Moerwijk-Oost,0.06563058566433283,20
Laakhaven-West,0.06883728944126986,22
"Venen, Oorden en Raden",0.06652947950043975,87
Moerwijk-Noord,0.06329832427874574,38
Spoorwijk,0.06492713042353371,23
Morgenstond-Zuid,0.06064691495423096,80
Oostbroek-Zuid,0.062267318684981726,35
Dreven en Gaarden,0.06576340585252846,98
"Zijden, Steden en Zichten",0.06201258202152685,96
Moerwijk-Zuid,0.0620165017751998,39
Laakkwartier-West,0.060151960888450574,24
Huygenspark,0.07359902254531075,18
Laakhaven-Oost,0.06849136041154727,19
Laakkwartier-Oost,0.06024189341333212,25
Binckhorst,0.04768750343076154,60
Oostbroek-Noord,0.0567911524807379,31
Rivierenbuurt-Zuid,0.06118052536727345,62
Morgenstond-Oost,0.056747433423426474,89
Rustenburg,0.05510986873558072,30
Zuiderpark,0.06576763250980272,36
Nieuw Waldeck,0.057262301552221034,40
Morgenstond-West,0.05579763093777407,88
Duindorp,0.0517708397870193,100
Bezuidenhout-West,0.06009591898396908,64
Landen,0.052306283134676966,61
Rond de Energiecentrale,0.0497113183188942,10
Heesterbuurt,0.0490593542147044,54
Valkenboskwartier,0.0484324062673456,55
Kampen,0.04862445957619839,67
Leyenburg,0.05043645403697105,84
Waldeck-Zuid,0.05357340484858788,6
Kom Loosduinen,0.05180100904857514,95
Vissershaven,0.04860747418441652,2
Hoge Veld,0.050145574277683035,102
De Uithof,0.054934287017367626,99
Zuidwal,0.045277963783954135,14
Zonne Veld,0.04851335679801247,105
Waterbuurt,0.04792072698392154,114
Lage Veld,0.048315602181682536,104
Houtwijk,0.04909531317150899,86
Oud Scheveningen,0.04422066567644886,1
Rivierenbuurt-Noord,0.045895131647151366,63
Rosenburg,0.04912548684194637,82
Singels,0.04663905755218715,113
Geuzenkwartier,0.04658441105641523,8
Burgen en Horsten,0.0464498595237652,69
Erasmus Veld,0.048569091666470235,101
De Lanen,0.0459416679293207,118
Morgenweide,0.04591000397765803,112
Visserijbuurt,0.04543792270224845,4
Rietbuurt,0.04409067224289378,121
De Venen,0.04225320100426965,111
Kortenbos,0.0420237395695808,11
De Vissen,0.044232286695230376,120
De Bras,0.044300175238925016,115
De Velden,0.04278520184136444,119
Eykenduinen,0.04113925406652176,83
Koningsplein en omgeving,0.03934042178398863,44
Bloemenbuurt-Oost,0.04176157927661245,51
Uilebomen,0.036895874762138986,13
Bomenbuurt,0.04091011261658042,52
Scheveningen Badplaats,0.039197242987262376,3
Zeeheldenkwartier,0.0379490097906782,45
Waldeck-Noord,0.0454861342260538,94
Vruchtenbuurt,0.038946642646455365,53
Kraayenstein,0.03704991052579771,97
Bloemenbuurt-West,0.03800497981129456,50
Bohemen en Meer en Bos,0.038999912737129216,92
Componistenbuurt,0.0384578558757888,93
Rijslag,0.03791528081684529,72
Bezuidenhout-Oost,0.03279914370543946,66
Parkbuurt oosteinde,0.035310444060149444,103
Belgisch Park,0.036354473582142416,71
Stadhoudersplantsoen,0.03260852663829727,42
Bosjes van Pex,0.03368022292628106,81
Vlietzoom-West,0.03180715420345502,106
Sweelinckplein en omgeving,0.03019222856448788,43
Bezuidenhout-Midden,0.027513290235377148,65
Kijkduin,0.02986968822807587,91
Vlietzoom-Oost,0.02808129287357197,116
Ockenburgh,0.027295393352343468,90
Haagse Bos,0.025704842742078723,49
Uilennest,0.024247459372053547,75
Van Hoytemastraat en omgeving,0.022886402603041176,79
Vogelwijk,0.02457182008538161,9
Statenkwartier,0.02270921514081848,7
Bosweide,0.022396242595820057,108
Duinzigt,0.025438671943838302,76
Voorhout,0.01722843537197065,12
Willemspark,0.01690441344783168,47
Waalsdorp,0.017167286670992325,77
Arendsdorp,0.015205111450308903,78
Archipelbuurt,0.01372844634366641,46
Westbroekpark,0.015331567459868472,73
Van Stolkpark en Scheveningse Bosjes,0.011544601369304906,5
Duttendel,0.011482975465825536,74
Nassaubuurt,0.010381730448979064,48
Marlot,0.00910842047345838,68
Zorgvliet,-0.0,41
