Name,GWP_reduction_frac,BUURTCODE
Schildersbuurt-Oost,0.2082825753812042,17
Schildersbuurt-West,0.19743199230077596,15
Schildersbuurt-Noord,0.1973559585923055,16
Transvaalkwartier-Noord,0.1884698048609526,32
Transvaalkwartier-Zuid,0.18656892038955694,34
Transvaalkwartier-Midden,0.18513258170212815,33
Noordpolderbuurt,0.17963328853564306,26
Moerwijk-West,0.17333225985247738,37
Groente- en Fruitmarkt,0.17911291640352853,21
Moerwijk-Oost,0.16698146117598844,20
Laakhaven-West,0.1744817363441673,22
"Venen, Oorden en Raden",0.1677037424949452,87
Moerwijk-Noord,0.15912794228623472,38
Spoorwijk,0.1632226568486914,23
Morgenstond-Zuid,0.1519223139034279,80
Oostbroek-Zuid,0.1559814731272596,35
Dreven en Gaarden,0.164451074528202,98
"Zijden, Steden en Zichten",0.15493678341999506,96
Moerwijk-Zuid,0.15481247424816982,39
Laakkwartier-West,0.15002861250802568,24
Huygenspark,0.1834102511025825,18
Laakhaven-Oost,0.17053606336048913,19
Laakkwartier-Oost,0.1499957847290736,25
Binckhorst,0.11804069786007634,60
Oostbroek-Noord,0.14034351321200406,31
Rivierenbuurt-Zuid,0.15106692149607082,62
Morgenstond-Oost,0.14000657078987372,89
Rustenburg,0.1352056613232694,30
Zuiderpark,0.16135324672643553,36
Nieuw Waldeck,0.13961578950281614,40
Morgenstond-West,0.13573489686958334,88
Duindorp,0.12510111985358244,100
Bezuidenhout-West,0.14479874101304085,64
Landen,0.12584989371758573,61
Rond de Energiecentrale,0.11943681951467645,10
Heesterbuurt,0.11754028844516265,54
Valkenboskwartier,0.11587743436401995,55
Kampen,0.11625677296855913,67
Leyenburg,0.1205063130057299,84
Waldeck-Zuid,0.1279137989711487,6
Kom Loosduinen,0.12343027391533105,95
Vissershaven,0.1153576588207806,2
Hoge Veld,0.1190079539403763,102
De Uithof,0.13037276356449712,99
Zuidwal,0.10731457468978997,14
Zonne Veld,0.11498287061658315,105
Waterbuurt,0.11350395617581753,114
Lage Veld,0.1144392486883168,104
Houtwijk,0.1162102531464432,86
Oud Scheveningen,0.10446871353479792,1
Rivierenbuurt-Noord,0.10835487715861576,63
Rosenburg,0.11590724551381665,82
Singels,0.1096926794416122,113
Geuzenkwartier,0.1094954916860952,8
Burgen en Horsten,0.10917923167785352,69
Erasmus Veld,0.11408914328690865,101
De Lanen,0.1079173061588526,118
Morgenweide,0.10770898655793293,112
Visserijbuurt,0.10614594682845148,4
Rietbuurt,0.10293656238853316,121
De Venen,0.09864669872417828,111
Kortenbos,0.09799328456417113,11
De Vissen,0.10289848687944372,120
De Bras,0.10299572970107566,115
De Velden,0.0994151108685714,119
Eykenduinen,0.0954790045006924,83
Koningsplein en omgeving,0.09114562246390616,44
Bloemenbuurt-Oost,0.09653374555818488,51
Uilebomen,0.08518981780648645,13
Bomenbuurt,0.09440512743961067,52
Scheveningen Badplaats,0.09025027395898542,3
Zeeheldenkwartier,0.0871834629818871,45
Waldeck-Noord,0.10444190652999784,94
Vruchtenbuurt,0.08913622855128606,53
Kraayenstein,0.08452525313956864,97
Bloemenbuurt-West,0.08634421375319133,50
Bohemen en Meer en Bos,0.08855919766476761,92
Componistenbuurt,0.08719490410272561,93
Rijslag,0.08587782064999518,72
Bezuidenhout-Oost,0.07417802710008434,66
Parkbuurt oosteinde,0.07973846770193149,103
Belgisch Park,0.08173590508741731,71
Stadhoudersplantsoen,0.07310397076279962,42
Bosjes van Pex,0.07539981133932397,81
Vlietzoom-West,0.07104078141961848,106
Sweelinckplein en omgeving,0.0672790878385332,43
Bezuidenhout-Midden,0.06068937226890048,65
Kijkduin,0.0655821308811942,91
Vlietzoom-Oost,0.0615789823810915,116
Ockenburgh,0.05966051094935919,90
Haagse Bos,0.056138747743809884,49
Uilennest,0.052623430054128034,75
Van Hoytemastraat en omgeving,0.049499417306328994,79
Vogelwijk,0.05312468152059991,9
Statenkwartier,0.048969716710909134,7
Bosweide,0.04818860656633888,108
Duinzigt,0.05467524095472688,76
Voorhout,0.03666797996981435,12
Willemspark,0.03594194861329763,47
Waalsdorp,0.036285020897631234,77
Arendsdorp,0.031886308054108185,78
Archipelbuurt,0.028754589711805417,46
Westbroekpark,0.03201619428513548,73
Van Stolkpark en Scheveningse Bosjes,0.02391418349029954,5
Duttendel,0.023786527877392927,74
Nassaubuurt,0.021481349442592508,48
Marlot,0.018734245218893598,68
Zorgvliet,-0.0,41
