Municipality,0 to 5 years,5 to 10 years,10 to 15 years,15 to 20 years,20 to 25 years,25 to 30 years,30 to 35 years,35 to 40 years,40 to 45 years,45 to 50 years,50 to 55 years,55 to 60 years,60 to 65 years,65 to 70 years,70 to 75 years,75 to 80 years,80 to 85 years,85 to 90 years,90 to 95 years,95 or older
Aa and Hunze,496,608,738,826,567,494,485,534,670,962,1066,1114,1048,1044,901,553,349,161,39,11
Aalburg,422,475,455,502,435,381,370,385,355,519,548,412,391,375,289,181,113,54,19,3
Aalsmeer,808,1008,1127,1037,775,774,711,878,1088,1412,1317,1143,869,778,795,528,306,172,64,6
Aalten,622,778,886,887,675,678,656,689,743,1093,1127,1058,972,859,815,496,322,155,46,2
Too weird,,,,,,,,,,,,,,,,,,,,
Abcoude,,,,,,,,,,,,,,,,,,,,
Achtkar plays,762,893,990,959,792,789,755,835,841,1111,1035,965,973,864,762,450,262,128,33,4
Akersloot,,,,,,,,,,,,,,,,,,,,
Alblasserdam,659,678,647,670,586,621,574,528,568,667,760,625,511,478,511,357,212,118,47,9
Albrandswaard,693,837,851,820,613,541,615,754,911,1099,1039,929,858,657,584,328,202,120,42,6
Alkemade,,,,,,,,,,,,,,,,,,,,
Alkmaar,2842,3070,2994,3109,2965,3585,3539,3463,3486,4128,4002,3713,3555,3139,2730,1641,973,554,192,33
Almelo,1841,2028,2308,2444,2111,2183,2131,2218,2316,2837,2812,2501,2183,2105,1833,1212,724,341,96,15
Almere,6286,6685,6830,7169,6542,6938,7246,6633,6514,7811,7938,7658,6328,4475,2985,1520,931,508,156,28
Alphen aan den Rijn,2916,3262,3262,3507,3094,3277,3271,3462,3432,4187,4204,3848,3407,3242,2,,,,,
Alphen-Chaam,227,284,297,303,300,222,228,261,270,377,439,425,421,356,301,217,129,65,14,3
Altena,,,,,,,,,,,,,,,,,,,,
Delden office,,,,,,,,,,,,,,,,,,,,
Montfort Office,,,,,,,,,,,,,,,,,,,,
Ameland,101,101,111,78,91,112,99,107,107,136,133,128,123,128,121,68,46,12,9,1
Amerongen,,,,,,,,,,,,,,,,,,,,
Amersfoort,4626,5098,5243,5233,4125,4895,5112,5286,5273,6179,6150,5234,4085,3507,2829,1670,1094,591,221,35
Amstelveen,2690,2818,2563,2405,2616,2672,2804,3113,2883,3026,2974,2843,2385,2178,1919,1307,991,595,245,40
Amsterdam,23992,21319,19217,19968,31404,45790,42498,33856,29110,30248,29162,26383,21628,17847,13816,8452,4826,2532,860,206
Andijk,,,,,,,,,,,,,,,,,,,,
Angerlo,,,,,,,,,,,,,,,,,,,,
Anna Paulowna,,,,,,,,,,,,,,,,,,,,
Apeldoorn,4147,4501,4806,5213,4429,4769,4624,4467,4858,6200,5995,5995,5279,4861,4376,2659,1706,906,319,52
Appingedam,245,299,361,357,270,311,293,301,304,417,449,427,460,392,355,227,172,77,28,6
Arcen and Fields,,,,,,,,,,,,,,,,,,,,
Arnhem,4216,4528,4209,4733,5849,6612,5705,5654,5366,6047,5714,5111,4181,3858,2878,1804,1160,595,235,54
shafts,1710,2028,2234,2268,1764,1785,1962,2030,2095,2620,2555,2347,2206,1944,1640,1050,694,383,126,24
Asten,405,445,517,547,526,518,459,455,429,619,707,658,599,638,472,331,188,91,15,3
Avereest,,,,,,,,,,,,,,,,,,,,
Axel,,,,,,,,,,,,,,,,,,,,
Baarle-Nassau,156,160,186,159,161,161,174,207,183,222,267,290,247,277,263,167,100,55,11,1
Baarn,610,729,725,717,531,546,607,662,720,878,966,946,833,755,690,456,294,177,65,9
Barendrecht,1325,1635,1761,1820,1340,960,1069,1332,1585,2092,2140,1676,1398,1272,1025,667,445,252,65,14
Barneveld,2129,2146,2057,2187,1844,1907,1859,1588,1556,1874,1851,1801,1572,1279,1197,810,487,270,91,14
Bathmen,,,,,,,,,,,,,,,,,,,,
Bedum,256,302,303,358,288,258,292,232,342,348,412,396,389,373,339,172,111,43,17,4
Brook (L.),300,311,336,442,421,441,391,366,390,508,686,682,639,590,530,347,230,117,22,3
Beekdaelen,,,,,,,,,,,,,,,,,,,,
Beemster,279,281,281,293,246,215,242,277,274,351,372,351,344,348,251,174,95,65,15,2
Beesel,277,349,386,431,328,349,336,350,374,504,594,574,503,470,406,251,173,81,23,2
Belfeld,,,,,,,,,,,,,,,,,,,,
Belling bet,,,,,,,,,,,,,,,,,,,,
Bemmel,,,,,,,,,,,,,,,,,,,,
Bennebroek,,,,,,,,,,,,,,,,,,,,
Mountain and valley,706,800,984,1110,949,903,763,749,938,1323,1448,1457,1302,1302,1058,685,462,243,73,14
Bergambacht,,,,,,,,,,,,,,,,,,,,
Bergeijk,396,459,563,612,551,528,491,440,510,665,814,773,647,636,566,375,226,90,35,2
Bergen (L.),250,290,342,385,350,330,303,297,348,510,570,584,534,545,383,294,147,67,19,6
Bergen (NH.),460,600,811,980,676,481,456,520,666,1056,1204,1155,1122,1251,1261,824,534,287,103,22
Bergen op Zoom,1676,1715,1744,2090,1752,1879,1892,1883,1832,2533,2696,2493,2265,2123,1877,1199,755,345,112,17
Bergh,,,,,,,,,,,,,,,,,,,,
