Municipality,Income
Aa and Hunze,31.1
Aalsmeer,35.3
Aalten,28.6
Achtkar plays,26.1
Alblasserdam,29.4
Albrandswaard,35.2
Alkmaar,29.1
Almelo,26.3
Almere,29.4
Alphen aan den Rijn,31.4
Alphen-Chaam,33
Altena,31.1
Ameland,.
Amersfoort,31.5
Amstelveen,33.5
Amsterdam,29.4
Apeldoorn,29.7
Appingedam,25.5
Arnhem,26.1
shafts,27.7
Asten,30.3
Baarle-Nassau,31.2
Baarn,37.4
Barendrecht,34.3
Barneveld,31.1
Brook (L.),30.4
Beekdaelen,30.3
Beemster,34.9
Beesel,28.5
Mountain and valley,29.6
Bergeijk,32.7
Bergen (L.),28.9
Bergen (NH.),37.3
Bergen op Zoom,29
Berkelland,29.3
Bernheze,31.9
Best,32.9
Beuningen,31.3
Beverwijk,28.7
De Bilt,36.2
Bladel,31.4
Blaricum,50.7
Bloemendaal,51.7
Bodegraven-Reeuwijk,34.7
Boekel,31.3
Borger-Odoorn,28.5
Borne,30.5
Borsele,30.6
Boxmeer,30.7
Boxtel,30.3
Breda,29.6
Brielle,33.8
Bronckhorst,32.8
Rumbling,30.7
Brunssum,26.3
Bunnik,35.2
Bunschoten,31.9
Neighbors,33
Capelle aan den IJssel,29.1
Castricum,35.5
Coevorden,28.7
Cranendonck,31.3
Cuijk,29.3
Culemborg,30.9
Dalfsen,31.2
Dantumadiel,26.5
Delft,24.3
Delfzijl,26.4
Deurne,30.1
Deventer,27.8
Diemen,28.1
Dinkelland,32.1
Doesburg,27.4
Doetinchem,28.6
Dongen,30.5
Dordrecht,28.5
Dchterland,31.7
Drimming,31.9
Dronten,29.1
Druten,30.4
Pigeons,30.7
Echt-Susteren,29.7
Edam-Volendam,34.2
Ede,30.1
Eemnes,34.2
Eersel,34.9
Eijsden-Margraten,32.8
Eindhoven,27.5
Elburg,29.2
Emmen,26.5
Enkhuizen,29.6
Enschede,24.2
Epe,30.5
Ermelo,31.7
Etten-Leur,30.2
The Fryske Marren,29.3
Geertruidenberg,30.1
Geldrop-Mierlo,30.6
Gemert-Bakel,29.7
Gennep,29.3
Gilze and Rijen,30.2
Goeree-Overflakkee,30.8
Goes,29.8
Goirle,31.7
Gooise Lakes,39.5
Gorinchem,29.2
Gouda,29.3
Grave,29.9
The Hague,28.4
Groningen,23.4
Gulpen-Wittem,30.1
Haaksbergen,29.7
Haaren,35.4
Haarlem,30.9
Haarlemmermeer,33.1
Halderberge,30
Hardenberg,28.7
Harderwijk,29.5
Hardinxveld-Giessendam,30.6
Harlingen,26.2
Hattem,32.5
Heemskerk,30.7
Heemstede,41.1
