Municipality,Waste generated
Aa and Hunze,663.3
Aalburg,464.3
Aalsmeer,485.5
Aalten,416.4
Too weird,
Abcoude,
Achtkar plays,756.5
Akersloot,
Alblasserdam,497.7
Albrandswaard,490.7
Alkemade,
Alkmaar,449.7
Almelo,467.1
Almere,452.8
Alphen aan den Rijn,514.9
Alphen-Chaam,514.3
Montfort Office,
Ameland,1154.2
Amerongen,
Amersfoort,511
Amstelveen,430.5
Amsterdam,381.2
Andijk,
Angerlo,
Anna Paulowna,
Apeldoorn,431.7
Appingedam,547.4
Arcen and Fields,
Arnhem,488.9
shafts,449.1
Asten,.
Axel,
Baarle-Nassau,519.3
Baarn,557.4
Barendrecht,588
Barneveld,.
Bathmen,
Bedum,.
Brook (L.),416.5
Beemster,560.7
Beesel,522.3
Belling bet,
Bemmel,
Bennebroek,
Mountain and valley,530.7
Bergambacht,
Bergeijk,436.6
Bergen (L.),532.8
Bergen (NH.),600.3
Bergen op Zoom,592.3
Bergh,
Bergschenhoek,
Berkel and Rodenrijs,
Berkelland,571.2
Bernheze,.
Bernisse,
Best,526.4
Beuningen,462
Beverwijk,500.5
it bildt,
De Bilt,556.4
Inner mesh,555.3
Bladel,362.6
Blaricum,509.5
Bleiswijk,
Bloemendaal,473.4
Boarnsterhim,
Bodegraven,
Bodegraven-Reeuwijk,497
Boekel,604
Ten Boer,508
Bolsward,
Borculo,
Borger-Odoorn,414.4
Borne,571
Borsele,698.5
Boskoop,
Boxmeer,597.8
Boxtel,550.9
Breda,464.9
Fissure,
Brielle,583.6
Bronckhorst,381.9
Rumbling,383.1
Brunssum,474.7
Bunnik,588.4
Bunschoten,.
Neighbors,488.7
Bussum,
Capelle aan den IJssel,.
Castricum,530.8
Coevorden,843.9
Cranendonck,547.4
Crom rows,563.4
Cuijk,.
Culemborg,431
Dalfsen,474
Dantumadeel,
Dantumadiel,587
Delft,.
Delfzijl,596
Denekamp,
Deurne,309
Deventer,374
Didam,
Diemen,419
Dinkelland,.
Dinxperlo,
Dirksland,
Dodewaard,
Doesburg,396
Doetinchem,559
Dongen,612
Dongeradeel,592
Doorn,
Dordrecht,506
Drechterland,597
Driebergen-Rijsenburg,
Drimmelen,485
Dronten,474
Druten,416
Duiven,490
Echt,
Echteld,
Echt-Susteren,571
Edam-Volendam,699
Ede,470
Eemnes,610
Eemsmond,.
Eersel,407
Eibergen,
Eijsden,
Eijsden-Margraten,551
Eindhoven,467
Elburg,.
Emmen,566
Enkhuizen,566
Enschede,391
Epe,557
Ermelo,396
Etten-Leur,503
Ferwerderadiel,628
Franekeradeel,
De Friese Meren,
De Fryske Marren,640
Gaasterlân-Sleat,
Geertruidenberg,489
Geldermalsen,488
Geldrop,
Geldrop-Mierlo,543
Gemert-Bakel,560
Gendringen,
Gennep,604
Giessenlanden,629
Gilze en Rijen,556
Goedereede,
Goeree-Overflakkee,662
Goes,667
Goirle,516
Gooise Meren,509
Gorinchem,650
Gorssel,
Gouda,417
Graafstroom,
Graft-De Rijp,
Grave,.
's-Graveland,
's-Gravendeel,
's-Gravenhage,456
's-Gravenzande,
Groenlo,
Groesbeek,
Groningen,396
Grootegast,.
Gulpen-Wittem,519
Haaksbergen,.
Haaren,525
Haarlem,423
Haarlemmerliede en Spaarnwoude,510
Haarlemmermeer,483
Haelen,
Halderberge,691
Hardenberg,427
Harderwijk,478
Hardinxveld-Giessendam,602
Haren,354
Harenkarspel,
Harlingen,573
Hattem,503
Heel,
Heemskerk,557
Heemstede,635
Heerde,669
Heerenveen,556
Heerhugowaard,558
Heerjansdam,
Heerlen,464
Heeze-Leende,496
Heiloo,538
Helden,
Den Helder,515
Hellendoorn,580
Hellevoetsluis,584
Helmond,542
Hendrik-Ido-Ambacht,535
Hengelo (Gld.),
Hengelo (O.),447
's-Hertogenbosch,474
Heumen,444
Heusden,458
Heythuysen,
Hillegom,520
Hilvarenbeek,534
Hilversum,509
Hof van Twente,454
Hollands Kroon,562
Hontenisse,
Hoogeveen,560
Hoogezand-Sappemeer,
Hoorn,560
Horst aan de Maas,701
Houten,526
Huizen,509
Hulst,740
Hummelo en Keppel,
Hunsel,
IJsselstein,484
Jacobswoude,
Kaag en Braassem,.
Kampen,419
Kapelle,494
Katwijk,405
Kerkrade,480
Kessel,
Kesteren,
Koggenland,552
Kollumerland en Nieuwkruisland,666
Korendijk,553
Krimpen aan den IJssel,.
Krimpenerwaard,492
Laarbeek,.
Landerd,635
Landgraaf,469
Landsmeer,490
Langedijk,559
Lansingerland,453
Laren (NH.),509
Leek,.
Leerdam,615
Leersum,
Leeuwarden,539
Leeuwarderadeel,
Leiden,361
Leiderdorp,477
Leidschendam,
Leidschendam-Voorburg,427
Lelystad,522
Lemsterland,
Leudal,543
Leusden,506
Lichtenvoorde,
Liemeer,
De Lier,
Liesveld,
Limmen,
Lingewaal,469
Lingewaard,384
Lisse,440
Lith,
Littenseradiel,
Lochem,387
Loenen,
Loon op Zand,568
Loosdrecht,
Lopik,691
Loppersum,.
Losser,543
Maarn,
Maarssen,
Maasbracht,
Maasbree,
Maasdonk,
Maasdriel,483
Maasgouw,603
Maasland,
Maassluis,532
Maastricht,378
Margraten,
De Marne,.
Marum,.
Medemblik,564
Meerlo-Wanssum,
Meerssen,566
Meierijstad,471
Meijel,
Menaldumadeel,
Menameradiel,
Menterwolde,
Meppel,448
Middelburg (Z.),538
Middelharnis,
Midden-Delfland,410
Midden-Drenthe,639
Midden-Groningen,.
Mierlo,
Mill en Sint Hubert,.
Millingen aan de Rijn,
Moerdijk,.
Molenwaard,579
Monster,
Montferland,516
Montfoort,543
Mook en Middelaar,400
Moordrecht,
Muiden,
Naaldwijk,
Naarden,
Neder-Betuwe,477
Nederhorst den Berg,
Nederlek,
Nederweert,496
Neede,
Neerijnen,516
Niedorp,
Nieuwegein,451
Nieuwerkerk aan den IJssel,
Nieuwkoop,556
Nieuw-Lekkerland,
Nijefurd,
Nijkerk,412
Nijmegen,385
Nissewaard,565
Noord-Beveland,833
Noordenveld,534
Noorder-Koggenland,
Noordoostpolder,600
Noordwijk,424
Noordwijkerhout,469
Nootdorp,
"Nuenen, Gerwen en Nederwetten",.
Nunspeet,441
Nuth,.
Obdam,
Oegstgeest,424
Oirschot,461
Oisterwijk,.
Oldambt,655
Oldebroek,506
Oldenzaal,485
Olst,
Olst-Wijhe,487
Ommen,509
Onderbanken,509
Oost Gelre,451
Oostburg,
Oosterhout,624
Oostflakkee,
Ooststellingwerf,631
Oostzaan,.
Opmeer,576
Opsterland,590
Oss,631
Oud-Beijerland,551
Oude IJsselstreek,475
Ouder-Amstel,.
Ouderkerk,
Oudewater,496
Overbetuwe,595
Papendrecht,510
Peel en Maas,644
Pekela,619
Pijnacker,
Pijnacker-Nootdorp,426
Purmerend,526
Putten,383
Raalte,429
Ravenstein,
Reeuwijk,
Reiderland,
Reimerswaal,852
Renkum,515
Renswoude,478
