Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita,Total households,Population_2,Weight_Based_waste,No policy waste,Volume based waste
Belgisch Park,71,8205,1.9,951.6591664832615,500.873245517506,4205,8205,277.4765451007327,448.4227417462162,418.10659310945294
Westbroekpark,73,880,1.9,914.8874739048348,481.51972310780775,445,880,295.4871561314507,477.52922920081255,445.24530213128855
Duttendel,74,1075,2.1,1087.9448763628902,518.0689887442335,465,1075,297.34113913629,480.52540367703403,448.0389166962774
Nassaubuurt,48,1625,2.2,1085.7793965509213,493.53608934132797,750,1625,264.34381383844146,427.19927092234894,398.3179600763249
Uilennest,75,2100,1.8,917.9277946743484,509.95988593019365,1145,2100,320.36328696443366,517.7309074655977,482.72909849522154
Duinzigt,76,2495,1.7,917.9277946743484,539.9575262790285,1425,2495,341.58273311375984,552.0231112162343,514.7029373432706
Waalsdorp,77,3810,2.4,1209.2954222367753,503.8730925986564,1615,3810,257.8057956621307,416.6333471065413,388.4663580088688
Arendsdorp,78,1305,2.3,1089.007959436403,473.4817214940883,520,1305,244.99398799685943,395.9285126928777,369.16129835939284
Van Hoytemastraat en omgeving,79,2360,2.3,1130.7869455780065,491.646498077394,1025,2360,256.16419130787847,413.9803923311058,385.99275937176276
Archipelbuurt,46,6100,1.8,915.0053059095944,508.33628106088577,3365,6100,283.0181389217302,457.3783696676806,426.45676523680345
Van Stolkpark en Scheveningse Bosjes,5,760,2.0,1078.6077557095787,539.3038778547892,335,760,289.49637093837697,467.8476746012499,436.2182804555743
Oud Scheveningen,1,2920,1.8,960.5434134670547,533.6352297039193,1635,2920,285.3119493694264,461.085338015685,429.9131196150697
Vissershaven,2,3560,1.9,923.0176576751976,485.79876719747256,1800,3560,281.5252546792438,454.96575765796115,424.2072607091102
Scheveningen Badplaats,3,5390,1.8,964.5176646899279,535.8431470499598,3005,5390,287.30522196904207,464.3066148405164,432.9166182187488
Visserijbuurt,4,3860,1.9,924.6867681475773,486.67724639346176,2050,3860,284.1443394891957,459.19839357649664,428.15374428146464
Rijslag,72,1610,1.8,923.1233691801367,512.8463162111872,895,1610,278.60553684586915,450.24727640581835,419.8077779502702
Duindorp,100,5955,2.1,1483.2385026397276,706.3040488760606,2845,5955,271.05313903574023,438.0420396296913,408.4276906097205
Statenkwartier,7,9665,2.1,1074.87107119805,511.8433672371666,4535,9665,267.9920908454104,433.0951580054204,403.81524875544403
Geuzenkwartier,8,4390,2.0,1072.7627781800709,536.3813890900353,2190,4390,286.46330914514397,462.9460210769367,431.6480090021845
Zorgvliet,41,500,1.9,976.2627116478917,513.8224798146798,260,500,297.06823100333895,480.0843638292215,447.62769386784476
Stadhoudersplantsoen,42,1960,1.7,915.0053059095944,538.2384152409379,1135,1960,303.8374951835034,491.0239983924666,457.82774152664393
Sweelinckplein en omgeving,43,5810,1.9,933.9808761482527,491.56888218329095,3005,5810,251.03129011282869,405.68524210080056,378.25841256183475
Bloemenbuurt-West,50,2340,2.1,1098.5464956158605,523.1173788646954,1075,2340,308.2814259914295,498.20572121627237,464.52393550383795
Bloemenbuurt-Oost,51,6460,1.9,926.7380671218144,487.75687743253394,3345,6460,310.3598483021491,501.5646063095729,467.65573920660563
Bomenbuurt,52,5865,1.9,926.7380671218144,487.75687743253394,3065,5865,300.81348053470435,486.13696572668607,453.27110247139177
Vogelwijk,9,5350,2.6,1178.5708857199636,453.29649450767823,2045,5350,252.36471677015427,407.84015878890614,380.26764356423655
Bosjes van Pex,81,400,2.0,1091.8721781492834,545.9360890746417,200,400,301.7989322034156,487.7295289430886,454.755998572175
Bohemen en Meer en Bos,92,4485,1.7,929.1885304466547,546.5814884980322,2610,4485,333.2319725153383,538.5276607742843,502.11986275434947
Ockenburgh,90,795,2.2,1122.449377885956,510.2042626754345,290,795,245.3971062698146,396.5799818148567,369.7687241425856
Kijkduin,91,1550,2.0,1073.8601581779221,536.9300790889611,775,1550,304.80207109289194,492.5828248286013,459.28118166200204
Kraayenstein,97,5875,2.2,1146.9880479642618,521.3582036201191,2530,5875,285.296235010181,461.0599424419617,429.8894409390772
Houtwijk,86,12820,2.2,1216.4720259147098,552.9418299612316,5580,12820,285.8473728024153,461.95062212007264,430.71990516646366
Kom Loosduinen,95,4975,1.7,971.378487989782,571.3991105822247,2755,4975,302.429284686822,488.7482254558804,455.7058249050618
Waldeck-Zuid,6,2035,1.8,957.9718352931816,532.2065751628787,1160,2035,309.64290723221734,500.4059761985754,466.57543965155463
Nieuw Waldeck,40,7210,2.1,1169.3268733705904,556.822320652662,3425,7210,281.7505564390662,455.32986206477915,424.5467494078278
Rosenburg,82,2910,1.7,957.9718352931816,563.5128442901067,1550,2910,314.5071438826921,508.2669445356162,473.90495794748773
Componistenbuurt,93,1825,1.8,957.9718352931816,532.2065751628787,1030,1825,339.77335974735814,549.099029234783,511.9765413748671
Waldeck-Noord,94,3150,1.5,957.9718352931816,638.6478901954545,2015,3150,358.922036952934,580.0447163025686,540.8301087496138
Vruchtenbuurt,53,7165,2.2,1111.561463864881,505.2552108476731,3170,7165,287.86328037403365,465.20847874375187,433.7575105485218
Eykenduinen,83,2635,2.0,1087.372971834879,543.6864859174395,1320,2635,301.9191764356062,487.9238525687432,454.9371847197971
Heesterbuurt,54,6805,1.8,924.4072588806903,513.5595882670501,3735,6805,277.2294565554957,448.02342827318364,417.73427569499216
Valkenboskwartier,55,11435,1.8,957.2292858539163,531.7940476966203,6145,11435,269.50703084447645,435.5434137587691,406.0979872894155
Rond de Energiecentrale,10,5955,1.8,939.1177548423362,521.7320860235201,3290,5955,258.3347154962597,417.4881209112893,389.2633438218333
Koningsplein en omgeving,44,7575,1.8,934.5131712786027,519.1739840436682,4305,7575,253.2249309330347,409.2303288779409,381.5638295638707
Zeeheldenkwartier,45,11845,1.7,935.8612611788714,550.5066242228655,6920,11845,256.38613207194777,414.33906511872135,386.3271836623039
Willemspark,47,1490,1.6,955.9560256897555,597.4725160560972,930,1490,292.1198471899945,472.0874074162499,440.1713811303328
Haagse Bos,49,425,1.4,951.6072883854305,679.7194917038788,260,425,375.3343290776234,606.5682014865912,565.5604424175635
Landen,61,5155,1.7,913.1611654800117,537.1536267529482,2885,5155,279.5812514495187,451.8241038006221,421.2780020682436
Kampen,67,2455,1.6,945.5503373213296,590.968960825831,1490,2455,291.67551166958833,471.3693281557364,439.5018484656274
Marlot,68,805,2.6,1293.1159378753998,497.35228379823064,310,805,240.86993619020586,389.2637381348275,362.94710375040046
Burgen en Horsten,69,6285,1.7,940.6735293697039,553.3373702174729,3565,6285,298.9331592604969,483.0982266475407,450.43780093368986
Bezuidenhout-West,64,3580,1.7,893.2620712591043,525.4482772112378,2145,3580,239.1788528694442,386.5308216681692,360.39894932656904
Bezuidenhout-Midden,65,4285,1.9,915.42103261457,481.8005434813527,2305,4285,281.20567102141905,454.4492866891914,423.72570636966844
Bezuidenhout-Oost,66,9010,1.7,911.742689921823,536.3192293657783,5245,9010,295.1932530286718,477.0542599196865,444.8024437089215
Huygenspark,18,7895,1.5,863.7120620915282,575.808041394352,5310,7895,224.6061860156186,362.98030779401677,338.4405957347001
Rivierenbuurt-Zuid,62,850,1.4,879.0638962962457,627.9027830687471,615,850,227.05835891267398,366.9432016426992,342.1355734681548
Rivierenbuurt-Noord,63,3690,1.8,983.4944438218716,546.3858021232619,2065,3690,237.22030164013034,383.36565716109163,357.44776950118427
