Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita,Total households,Population_2,Weight_Based_waste,No policy waste,Volume based waste,error,Percentage.reduction.in.waste
Belgisch Park,71,8205,1.9,951.6591665,500.8732455,4205,8205,277.4765451,448.4227417,418.1065931,0.104718118,16.52447064
Westbroekpark,73,880,1.9,914.8874739,481.5197231,445,880,295.4871561,477.5292292,445.2453021,0.008287291,38.6344646
Duttendel,74,1075,2.1,1087.944876,518.0689887,465,1075,297.3411391,480.5254037,448.0389167,0.072468312,42.6058796
Nassaubuurt,48,1625,2.2,1085.779397,493.5360893,750,1625,264.3438138,427.1992709,398.3179601,0.134411282,46.43880771
Uilennest,75,2100,1.8,917.9277947,509.9598859,1145,2100,320.363287,517.7309075,482.7290985,0.015238496,37.17872801
Duinzigt,76,2495,1.7,917.9277947,539.9575263,1425,2495,341.5827331,552.0231112,514.7029373,0.022345433,36.73896251
Waalsdorp,77,3810,2.4,1209.295422,503.8730926,1615,3810,257.8057957,416.6333471,388.466358,0.173138329,48.83517309
Arendsdorp,78,1305,2.3,1089.007959,473.4817215,520,1305,244.993988,395.9285127,369.1612984,0.163793459,48.25692801
Van Hoytemastraat en omgeving,79,2360,2.3,1130.786946,491.6464981,1025,2360,256.1641913,413.9803923,385.9927594,0.157971441,47.89667122
Archipelbuurt,46,6100,1.8,915.0053059,508.3362811,3365,6100,283.0181389,457.3783697,426.4567652,0.10024449,44.32462339
Van Stolkpark en Scheveningse Bosjes,5,760,2,1078.607756,539.3038779,335,760,289.4963709,467.8476746,436.2182805,0.132497106,46.32036171
Oud Scheveningen,1,2920,1.8,960.5434135,533.6352297,1635,2920,285.3119494,461.085338,429.9131196,0.135954089,46.53427407
Vissershaven,2,3560,1.9,923.0176577,485.7987672,1800,3560,281.5252547,454.9657577,424.2072607,0.063468686,42.04899771
Scheveningen Badplaats,3,5390,1.8,964.5176647,535.843147,3005,5390,287.305222,464.3066148,432.9166182,0.133502747,46.38258909
Visserijbuurt,4,3860,1.9,924.6867681,486.6772464,2050,3860,284.1443395,459.1983936,428.1537443,0.056462169,41.61544605
Rijslag,72,1610,1.8,923.1233692,512.8463162,895,1610,278.6055368,450.2472764,419.807778,0.122061986,45.67465378
Duindorp,100,5955,2.1,1483.238503,706.3040489,2845,5955,271.053139,438.0420396,408.4276906,0.379810946,61.62373138
Statenkwartier,7,9665,2.1,1074.871071,511.8433672,4535,9665,267.9920908,433.095158,403.8152488,0.153852163,47.64177715
Geuzenkwartier,8,4390,2,1072.762778,536.3813891,2190,4390,286.4633091,462.9460211,431.648009,0.136908867,46.5933541
Zorgvliet,41,500,1.9,976.2627116,513.8224798,260,500,297.068231,480.0843638,447.6276939,0.065661035,42.18465663
Stadhoudersplantsoen,42,1960,1.7,915.0053059,538.2384152,1135,1960,303.8374952,491.0239984,457.8277415,0.087720266,43.54964518
Sweelinckplein en omgeving,43,5810,1.9,933.9808761,491.5688822,3005,5810,251.0312901,405.6852421,378.2584126,0.174713338,48.93263198
Bloemenbuurt-West,50,2340,2.1,1098.546496,523.1173789,1075,2340,308.281426,498.2057212,464.5239355,0.047621545,41.06840292
Bloemenbuurt-Oost,51,6460,1.9,926.7380671,487.7568774,3345,6460,310.3598483,501.5646063,467.6557392,0.02830863,36.36996982
Bomenbuurt,52,5865,1.9,926.7380671,487.7568774,3065,5865,300.8134805,486.1369657,453.2711025,0.003321146,38.32716781
Vogelwijk,9,5350,2.6,1178.570886,453.2964945,2045,5350,252.3647168,407.8401588,380.2676436,0.100279478,44.32678835
Bosjes van Pex,81,400,2,1091.872178,545.9360891,200,400,301.7989322,487.7295289,454.7559986,0.106617901,44.71899949
Bohemen en Meer en Bos,92,4485,1.7,929.1885304,546.5814885,2610,4485,333.2319725,538.5276608,502.1198628,0.014734908,39.03343243
Ockenburgh,90,795,2.2,1122.449378,510.2042627,290,795,245.3971063,396.5799818,369.7687241,0.222703511,51.90218424
Kijkduin,91,1550,2,1073.860158,536.9300791,775,1550,304.8020711,492.5828248,459.2811817,0.082594096,43.23244628
Kraayenstein,97,5875,2.2,1146.988048,521.3582036,2530,5875,285.296235,461.0599424,429.8894409,0.115656109,45.27826875
Houtwijk,86,12820,2.2,1216.472026,552.94183,5580,12820,285.8473728,461.9506221,430.7199052,0.164558373,48.30425963
Kom Loosduinen,95,4975,1.7,971.378488,571.3991106,2755,4975,302.4292847,488.7482255,455.7058249,0.144646506,47.07214641
Waldeck-Zuid,6,2035,1.8,957.9718353,532.2065752,1160,2035,309.6429072,500.4059762,466.5754397,0.05975236,41.81903763
Nieuw Waldeck,40,7210,2.1,1169.326873,556.8223207,3425,7210,281.7505564,455.3298621,424.5467494,0.182270816,49.40027618
Rosenburg,82,2910,1.7,957.9718353,563.5128443,1550,2910,314.5071439,508.2669445,473.9049579,0.098038404,44.18811442
Componistenbuurt,93,1825,1.8,957.9718353,532.2065752,1030,1825,339.7733597,549.0990292,511.9765414,0.031740408,36.15761706
Waldeck-Noord,94,3150,1.5,957.9718353,638.6478902,2015,3150,358.922037,580.0447163,540.8301087,0.091761321,43.79969895
Vruchtenbuurt,53,7165,2.2,1111.561464,505.2552108,3170,7165,287.8632804,465.2084787,433.7575105,0.079260404,43.02616298
Eykenduinen,83,2635,2,1087.372972,543.6864859,1320,2635,301.9191764,487.9238526,454.9371847,0.10256395,44.46814768
Heesterbuurt,54,6805,1.8,924.4072589,513.5595883,3735,6805,277.2294566,448.0234283,417.7342757,0.127611599,46.0180546
Valkenboskwartier,55,11435,1.8,957.2292859,531.7940477,6145,11435,269.5070308,435.5434138,406.0979873,0.180992312,49.32116446
Rond de Energiecentrale,10,5955,1.8,939.1177548,521.732086,3290,5955,258.3347155,417.4881209,389.2633438,0.199803631,50.48517766
Koningsplein en omgeving,44,7575,1.8,934.5131713,519.173984,4305,7575,253.2249309,409.2303289,381.5638296,0.211766496,51.22541986
Zeeheldenkwartier,45,11845,1.7,935.8612612,550.5066242,6920,11845,256.3861321,414.3390651,386.3271837,0.247349538,53.42723942
Willemspark,47,1490,1.6,955.9560257,597.4725161,930,1490,292.1198472,472.0874074,440.1713811,0.209859207,51.10740003
Haagse Bos,49,425,1.4,951.6072884,679.7194917,260,425,375.3343291,606.5682015,565.5604424,0.107619821,44.78099662
Landen,61,5155,1.7,913.1611655,537.1536268,2885,5155,279.5812514,451.8241038,421.2780021,0.158854969,47.9513425
Kampen,67,2455,1.6,945.5503373,590.9689608,1490,2455,291.6755117,471.3693282,439.5018485,0.202378874,50.64452941
Marlot,68,805,2.6,1293.115938,497.3522838,310,805,240.8699362,389.2637381,362.9471038,0.217327937,51.5695526
Burgen en Horsten,69,6285,1.7,940.6735294,553.3373702,3565,6285,298.9331593,483.0982266,450.4378009,0.126937285,45.97632921
Bezuidenhout-West,64,3580,1.7,893.2620713,525.4482772,2145,3580,239.1788529,386.5308217,360.3989493,0.264378934,54.48099019
Bezuidenhout-Midden,65,4285,1.9,915.4210326,481.8005435,2305,4285,281.205671,454.4492867,423.7257064,0.056768838,41.63442221
Bezuidenhout-Oost,66,9010,1.7,911.7426899,536.3192294,5245,9010,295.193253,477.0542599,444.8024437,0.11050316,44.95941282
Huygenspark,18,7895,1.5,863.7120621,575.8080414,5310,7895,224.606186,362.9803078,338.4405957,0.369615772,60.99287091
Rivierenbuurt-Zuid,62,850,1.4,879.0638963,627.9027831,615,850,227.0583589,366.9432016,342.1355735,0.415605072,63.83861244
Rivierenbuurt-Noord,63,3690,1.8,983.4944438,546.3858021,2065,3690,237.2203016,383.3656572,357.4477695,0.298360873,56.58373612
Kortenbos,11,7275,1.6,945.3471393,590.841962,4470,7275,267.2659836,431.9217147,402.7211375,0.268972513,54.76523321
Voorhout,12,2355,1.4,962.0603973,687.185998,1660,2355,272.8098568,440.8810262,411.0747441,0.358425481,60.3004343
Uilebomen,13,3180,1.7,962.0603973,565.9178807,1855,3180,264.6665098,427.7207717,398.8042041,0.244199934,53.23234716
Zuidwal,14,6885,1.5,938.2597876,625.506525,4515,6885,257.0227723,415.3679231,387.2864845,0.335949496,58.90965769
Schildersbuurt-West,15,14115,2.4,1621.500987,675.6254112,5995,14115,229.332847,370.6189436,345.5628126,0.451443156,66.05621352
Schildersbuurt-Noord,16,9985,2.3,1599.500652,695.4350659,4395,9985,231.832306,374.6582554,349.3290419,0.461260621,66.66370199
Schildersbuurt-Oost,17,7230,2.5,1578.856473,631.5425893,2865,7230,230.2869972,372.1609213,347.0005431,0.410711284,63.53579298
Transvaalkwartier-Noord,32,3945,2.1,1345.41946,640.6759335,1880,3945,233.3231348,377.0675457,351.5754493,0.411453551,63.5817232
Transvaalkwartier-Midden,33,5005,2.3,1554.533274,675.8840322,2095,5005,245.6567404,396.9995698,370.1599454,0.412621765,63.65401035
