Naam van het gebied,Huishoudens totaal,Aantal inwoners,waste_weight,waste_none,waste_vol
Den Haag,260887,532561,,,
Den Haag,260887,532561,,,
Wijk 02 Belgisch Park,4205,8205,277.4765451007327,448.4227417462162,418.10659310945294
Belgisch Park,4205,8205,277.4765451007327,448.4227417462162,418.10659310945294
Wijk 03 Westbroekpark en Duttendel,915,1955,297.0412621943045,480.04078022728334,447.5870567867484
Westbroekpark,445,880,295.4871561314507,477.52922920081255,445.24530213128855
Duttendel,465,1075,297.34113913629,480.52540367703403,448.0389166962774
Wijk 04 Benoordenhout,6495,13705,286.9226351760967,463.68832611782034,432.34012963478943
Nassaubuurt,750,1625,264.34381383844146,427.19927092234894,398.3179600763249
Uilennest,1145,2100,320.36328696443366,517.7309074655977,482.72909849522154
Duinzigt,1425,2495,341.58273311375984,552.0231112162343,514.7029373432706
Waalsdorp,1615,3810,257.8057956621307,416.6333471065413,388.4663580088688
Arendsdorp,520,1305,244.99398799685943,395.9285126928777,369.16129835939284
Van Hoytemastraat en omgeving,1025,2360,256.16419130787847,413.9803923311058,385.99275937176276
Wijk 05 Archipelbuurt,3365,6100,283.0181389217302,457.3783696676806,426.45676523680345
Archipelbuurt,3365,6100,283.0181389217302,457.3783696676806,426.45676523680345
Wijk 06 Van Stolkpark en Scheveningse Bo,335,760,289.49637093837697,467.8476746012499,436.2182804555743
Van Stolkpark en Scheveningse Bosjes,335,760,289.49637093837697,467.8476746012499,436.2182804555743
Wijk 07 Scheveningen,9395,17350,286.44947024342076,462.9236563821074,431.6271562989416
Oud Scheveningen,1635,2920,285.3119493694264,461.085338015685,429.9131196150697
Vissershaven,1800,3560,281.5252546792438,454.96575765796115,424.2072607091102
Scheveningen Badplaats,3005,5390,287.30522196904207,464.3066148405164,432.9166182187488
Visserijbuurt,2050,3860,284.1443394891957,459.19839357649664,428.15374428146464
Rijslag,895,1610,278.60553684586915,450.24727640581835,419.8077779502702
Wijk 08 Duindorp,2845,5955,271.05313903574023,438.0420396296913,408.4276906097205
Duindorp,2845,5955,271.05313903574023,438.0420396296913,408.4276906097205
Wijk 09 Geuzen- en Statenkwartier,6725,14060,273.1618344302948,441.449848278853,411.6051103336209
Statenkwartier,4535,9665,267.9920908454104,433.0951580054204,403.81524875544403
Geuzenkwartier,2190,4390,286.46330914514397,462.9460210769367,431.6480090021845
Wijk 10 Zorgvliet,260,500,297.06823100333895,480.0843638292215,447.62769386784476
Zorgvliet,260,500,297.06823100333895,480.0843638292215,447.62769386784476
Wijk 11 Duinoord,4145,7775,262.9543014157056,424.9537154644364,396.2242180451112
Stadhoudersplantsoen,1135,1960,303.8374951835034,491.0239983924666,457.82774152664393
Sweelinckplein en omgeving,3005,5810,251.03129011282869,405.68524210080056,378.25841256183475
Wijk 12 Bomen- en Bloemenbuurt,7495,14670,307.65047915173375,497.18606417949553,463.57321358432364
Bloemenbuurt-West,1075,2340,308.2814259914295,498.20572121627237,464.52393550383795
Bloemenbuurt-Oost,3345,6460,310.3598483021491,501.5646063095729,467.65573920660563
Bomenbuurt,3065,5865,300.81348053470435,486.13696572668607,453.27110247139177
Wijk 13 Vogelwijk,2045,5350,252.36471677015427,407.84015878890614,380.26764356423655
Vogelwijk,2045,5350,252.36471677015427,407.84015878890614,380.26764356423655
Wijk 14 Bohemen en Meer en Bos,2810,4890,332.07120295073696,536.6517707940875,500.37079452999046
Bosjes van Pex,200,400,301.7989322034156,487.7295289430886,454.755998572175
Bohemen en Meer en Bos,2610,4485,333.2319725153383,538.5276607742843,502.11986275434947
Wijk 15 Kijkduin en Ockenburgh,1065,2345,288.1657366406262,465.697270573975,434.21325703024235
Ockenburgh,290,795,245.3971062698146,396.5799818148567,369.7687241425856
Kijkduin,775,1550,304.80207109289194,492.5828248286013,459.28118166200204
Wijk 16 Kraayenstein en de Uithof,2530,5875,285.296235010181,461.0599424419617,429.8894409390772
Kraayenstein,2530,5875,285.296235010181,461.0599424419617,429.8894409390772
Wijk 17 Loosduinen,8340,17850,288.67531838620374,466.52079258882753,434.98110386744736
Houtwijk,5580,12820,285.8473728024153,461.95062212007264,430.71990516646366
Kom Loosduinen,2755,4975,302.429284686822,488.7482254558804,455.7058249050618
Wijk 18 Waldeck,9185,17140,315.0653702076355,509.1690798099874,474.7461033020307
Waldeck-Zuid,1160,2035,309.64290723221734,500.4059761985754,466.57543965155463
Nieuw Waldeck,3425,7210,281.7505564390662,455.32986206477915,424.5467494078278
Rosenburg,1550,2910,314.5071438826921,508.2669445356162,473.90495794748773
Componistenbuurt,1030,1825,339.77335974735814,549.099029234783,511.9765413748671
