Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita
Belgisch Park,71,8205,1.9,951.6591664832615,500.87324551750606
Westbroekpark,73,880,1.9,914.8874739048347,481.51972310780775
Duttendel,74,1075,2.1,1087.9448763628905,518.0689887442335
Nassaubuurt,48,1625,2.2,1085.7793965509213,493.53608934132785
Uilennest,75,2100,1.8,917.9277946743484,509.95988593019354
Duinzigt,76,2495,1.7,917.9277946743484,539.9575262790285
Waalsdorp,77,3810,2.4,1209.2954222367753,503.8730925986564
Arendsdorp,78,1305,2.3,1089.007959436403,473.48172149408833
Van Hoytemastraat en omgeving,79,2360,2.3,1130.7869455780065,491.64649807739414
Archipelbuurt,46,6100,1.8,915.0053059095944,508.33628106088577
Van Stolkpark en Scheveningse Bosjes,5,760,2.0,1078.6077557095787,539.3038778547893
Oud Scheveningen,1,2920,1.8,960.5434134670547,533.6352297039193
Vissershaven,2,3560,1.9,923.0176576751977,485.7987671974725
Scheveningen Badplaats,3,5390,1.8,964.5176646899278,535.8431470499598
Visserijbuurt,4,3860,1.9,924.6867681475773,486.67724639346176
Rijslag,72,1610,1.8,923.1233691801369,512.8463162111872
Duindorp,100,5955,2.1,1483.2385026397274,706.3040488760606
Statenkwartier,7,9665,2.1,1074.87107119805,511.84336723716666
Geuzenkwartier,8,4390,2.0,1072.7627781800707,536.3813890900353
Zorgvliet,41,500,1.9,976.2627116478916,513.8224798146798
Stadhoudersplantsoen,42,1960,1.7,915.0053059095944,538.2384152409379
Sweelinckplein en omgeving,43,5810,1.9,933.9808761482527,491.56888218329095
Bloemenbuurt-West,50,2340,2.1,1098.5464956158603,523.1173788646954
Bloemenbuurt-Oost,51,6460,1.9,926.7380671218144,487.75687743253394
Bomenbuurt,52,5865,1.9,926.7380671218144,487.75687743253394
Vogelwijk,9,5350,2.6,1178.5708857199634,453.2964945076782
Bosjes van Pex,81,400,2.0,1091.8721781492832,545.9360890746416
Bohemen en Meer en Bos,92,4485,1.7,929.1885304466546,546.5814884980321
Ockenburgh,90,795,2.2,1122.449377885956,510.2042626754345
Kijkduin,91,1550,2.0,1073.8601581779221,536.9300790889611
Kraayenstein,97,5875,2.2,1146.9880479642618,521.358203620119
Houtwijk,86,12820,2.2,1216.4720259147098,552.9418299612316
Kom Loosduinen,95,4975,1.7,971.378487989782,571.3991105822247
Waldeck-Zuid,6,2035,1.8,957.9718352931817,532.2065751628787
