Name,type,Population,Water consumption,BUURTCODE
Belgisch Park,Buurt,8205,71.41574446327778,71
Westbroekpark,Buurt,880,78.99928386147978,73
Duttendel,Buurt,1075,81.4430037964879,74
Nassaubuurt,Buurt,1625,82.01852670121278,48
Uilennest,Buurt,2100,74.15416321207164,75
Duinzigt,Buurt,2495,74.20584499768782,76
Waalsdorp,Buurt,3810,81.23026031782952,77
Arendsdorp,Buurt,1305,81.34631621131487,78
Van Hoytemastraat en omgeving,Buurt,2360,78.23507000261543,79
Archipelbuurt,Buurt,6100,77.39706822892505,46
Van Stolkpark en Scheveningse Bosjes,Buurt,760,80.7068898578361,5
Oud Scheveningen,Buurt,2920,66.25541396608676,1
Vissershaven,Buurt,3560,66.59025185794033,2
Scheveningen Badplaats,Buurt,5390,68.44423580972168,3
Visserijbuurt,Buurt,3860,67.94066518078918,4
Rijslag,Buurt,1610,69.86520153133861,72
Duindorp,Buurt,5955,66.16258536288561,100
Statenkwartier,Buurt,9665,76.93142025681877,7
Geuzenkwartier,Buurt,4390,68.38137962650839,8
Zorgvliet,Buurt,500,83.71961334268086,41
Stadhoudersplantsoen,Buurt,1960,70.14924439283907,42
Sweelinckplein en omgeving,Buurt,5810,72.27826041631546,43
Bloemenbuurt-West,Buurt,2340,71.82256948697943,50
Bloemenbuurt-Oost,Buurt,6460,68.88265722585987,51
Bomenbuurt,Buurt,5865,69.02984658827951,52
Vogelwijk,Buurt,5350,80.19271820270274,9
Bosjes van Pex,Buurt,400,72.38916617692172,81
Bohemen en Meer en Bos,Buurt,4485,68.8296433790858,92
Ockenburgh,Buurt,795,76.40115592476656,90
Kijkduin,Buurt,1550,74.53039211572481,91
Kraayenstein,Buurt,5875,72.43888562859502,97
Kerketuinen en Zichtenburg,Buurt,50,69.88881545512149,85
Houtwijk,Buurt,12820,68.74927434299684,86
Kom Loosduinen,Buurt,4975,64.7258241888105,95
Waldeck-Zuid,Buurt,2035,65.2964052997939,6
Nieuw Waldeck,Buurt,7210,65.5429032959585,40
Rosenburg,Buurt,2910,65.53976630147008,82
Componistenbuurt,Buurt,1825,69.70681712075813,93
Waldeck-Noord,Buurt,3150,66.14351986525567,94
Vruchtenbuurt,Buurt,7165,71.85727635372827,53
Eykenduinen,Buurt,2635,69.26738246121322,83
Heesterbuurt,Buurt,6805,64.8723243577388,54
Valkenboskwartier,Buurt,11435,64.98833394548235,55
Rond de Energiecentrale,Buurt,5955,64.6955960424715,10
Koningsplein en omgeving,Buurt,7575,67.76199647098454,44
Zeeheldenkwartier,Buurt,11845,67.73885006427773,45
Willemspark,Buurt,1490,74.05581986489148,47
Haagse Bos,Buurt,425,69.68680588104449,49
Landen,Buurt,5155,63.8734998811996,61
Kampen,Buurt,2455,63.61507432371498,67
Marlot,Buurt,805,84.80654105767027,68
Burgen en Horsten,Buurt,6285,65.81398426904886,69
Bezuidenhout-West,Buurt,3580,63.74796893709617,64
Bezuidenhout-Midden,Buurt,4285,72.87241222438769,65
Bezuidenhout-Oost,Buurt,9010,69.07488627647614,66
Huygenspark,Buurt,7895,59.18939494332158,18
Rivierenbuurt-Zuid,Buurt,850,59.10203139505681,62
Rivierenbuurt-Noord,Buurt,3690,65.90069893957599,63
Kortenbos,Buurt,7275,65.6062204476938,11
Voorhout,Buurt,2355,71.61089441350737,12
Uilebomen,Buurt,3180,67.24267782971617,13
Zuidwal,Buurt,6885,63.435518807661715,14
Schildersbuurt-West,Buurt,14115,61.38228573955924,15
Schildersbuurt-Noord,Buurt,9985,60.95470305054508,16
Schildersbuurt-Oost,Buurt,7230,61.293674936073934,17
Transvaalkwartier-Noord,Buurt,3945,60.396806577005314,32
Transvaalkwartier-Midden,Buurt,5005,61.962629678503,33
Transvaalkwartier-Zuid,Buurt,7235,62.1318937332518,34
Rustenburg,Buurt,6100,64.11215626581067,30
Oostbroek-Noord,Buurt,4500,63.496458851288835,31
Oostbroek-Zuid,Buurt,8055,62.95379224139404,35
Leyenburg,Buurt,14910,65.80572092359526,84
"Venen, Oorden en Raden",Buurt,8585,62.56192528953901,87
"Zijden, Steden en Zichten",Buurt,7850,63.3289404541908,96
Dreven en Gaarden,Buurt,10815,63.25388671059823,98
De Uithof,Buurt,1380,64.94236677468804,99
Morgenstond-Zuid,Buurt,5930,61.76947222055927,80
Morgenstond-West,Buurt,7405,65.54675377268434,88
Morgenstond-Oost,Buurt,5560,61.659522434853315,89
Zuiderpark,Buurt,160,58.61533679995471,36
Moerwijk-Oost,Buurt,3265,59.70944576894884,20
Moerwijk-West,Buurt,6240,59.95195719462234,37
Moerwijk-Noord,Buurt,6975,62.01484478267393,38
Moerwijk-Zuid,Buurt,4600,61.97272820957213,39
Groente- en Fruitmarkt,Buurt,5315,63.532252952859565,21
Laakhaven-Oost,Buurt,4050,60.817666367662966,19
Laakhaven-West,Buurt,5510,60.02892390495712,22
Spoorwijk,Buurt,4340,64.33262726290248,23
Laakkwartier-West,Buurt,8085,63.309140255549195,24
Laakkwartier-Oost,Buurt,11240,62.19263999449167,25
Noordpolderbuurt,Buurt,8345,60.4918699445805,26
Binckhorst,Buurt,1790,58.94686713541921,60
Erasmus Veld,Buurt,2155,71.52692617726275,101
Hoge Veld,Buurt,8685,72.22420595052505,102
Parkbuurt oosteinde,Buurt,3465,76.89168232391248,103
Lage Veld,Buurt,4285,71.33573029134229,104
Zonne Veld,Buurt,3440,72.8578750012521,105
Vlietzoom-West,Buurt,170,72.64429376709761,106
Vliegeniersbuurt,Buurt,0,69.97621653994192,107
De Reef,Buurt,110,69.97621653994192,110
Bosweide,Buurt,2050,83.30697251961313,108
Tedingerbuurt,Buurt,0,70.12868437022831,109
De Venen,Buurt,1755,70.83240164701354,111
Morgenweide,Buurt,7135,72.15196427584785,112
Singels,Buurt,5595,72.47160977895355,113
Waterbuurt,Buurt,4775,71.28158556057703,114
De Bras,Buurt,5855,75.60888103964977,115
Vlietzoom-Oost,Buurt,100,76.17275021648867,116
De Rivieren,Buurt,20,70.35291550673767,117
De Lanen,Buurt,5255,74.67447396455884,118
De Velden,Buurt,4220,73.63585956021852,119
De Vissen,Buurt,8505,73.52670898785294,120
Rietbuurt,Buurt,2755,74.76195610850147,121
