Name,Furniture
Belgisch Park,1.700612515
Westbroekpark,1.770815524
Duttendel,1.673041086
Nassaubuurt,1.822706096
Uilennest,1.769846471
Duinzigt,1.770815524
Waalsdorp,1.69564471
Arendsdorp,1.837640115
Van Hoytemastraat en omgeving,1.824880399
Archipelbuurt,1.658099389
Van Stolkpark en Scheveningse Bosjes,1.637546502
Oud Scheveningen,1.650405473
Vissershaven,1.563875239
Scheveningen Badplaats,1.627271993
Visserijbuurt,1.76279249
Rijslag,1.730691305
Duindorp,1.667894932
Statenkwartier,1.705665695
Geuzenkwartier,1.527308182
Zorgvliet,1.820735471
Stadhoudersplantsoen,1.699236994
Sweelinckplein en omgeving,1.556944089
Bloemenbuurt-West,1.624517927
Bloemenbuurt-Oost,1.523385332
Bomenbuurt,1.531222733
Vogelwijk,1.695696571
Bosjes van Pex,1.700330437
Bohemen en Meer en Bos,1.646947716
Ockenburgh,1.715278849
Kijkduin,1.657835119
Kraayenstein,1.658431943
Houtwijk,1.613426745
Kom Loosduinen,1.59352401
Waldeck-Zuid,1.590039612
Nieuw Waldeck,1.307850762
Rosenburg,1.625796943
Componistenbuurt,1.687019365
Waldeck-Noord,1.769965602
Vruchtenbuurt,1.693359434
Eykenduinen,1.540637812
Heesterbuurt,1.592801058
Valkenboskwartier,1.680838496
Rond de Energiecentrale,1.66896115
Koningsplein en omgeving,1.72165106
Zeeheldenkwartier,1.768138736
Willemspark,1.631782316
Haagse Bos,1.739358128
Landen,1.620217401
Kampen,1.687983936
Marlot,1.752097158
Burgen en Horsten,1.733730254
Bezuidenhout-West,1.662238101
Bezuidenhout-Midden,1.692471431
Bezuidenhout-Oost,1.709468204
Huygenspark,0.944595044
Rivierenbuurt-Zuid,0.963691435
Rivierenbuurt-Noord,1.813541988
Kortenbos,1.753300143
Voorhout,1.782576448
Uilebomen,1.730229517
Zuidwal,1.698766998
Schildersbuurt-West,0.896375524
Schildersbuurt-Noord,1.112610754
Schildersbuurt-Oost,1.098817278
Transvaalkwartier-Noord,0.780347836
Transvaalkwartier-Midden,0.815312426
Transvaalkwartier-Zuid,0.807914347
Rustenburg,1.144339835
Oostbroek-Noord,1.018499492
Oostbroek-Zuid,0.91043824
Leyenburg,1.653058597
"Venen, Oorden en Raden",0.829538106
"Zijden, Steden en Zichten",0.882631171
Dreven en Gaarden,0.840137736
De Uithof,1.669303633
Morgenstond-Zuid,0.870808214
Morgenstond-West,1.645678725
Morgenstond-Oost,0.997861645
Moerwijk-Oost,0.833653008
Moerwijk-West,0.841359822
Moerwijk-Noord,0.881251083
Moerwijk-Zuid,0.821904044
Groente- en Fruitmarkt,0.771231405
Laakhaven-Oost,0.948967114
Laakhaven-West,0.832747116
Spoorwijk,1.113678642
Laakkwartier-West,0.961239462
Laakkwartier-Oost,1.007658072
Noordpolderbuurt,0.805371648
Binckhorst,1.391856308
Erasmus Veld,1.648475623
Hoge Veld,1.828986205
Parkbuurt oosteinde,1.832824109
Lage Veld,1.693091728
Zonne Veld,1.794437632
Vlietzoom-West,1.706019602
Bosweide,1.845546867
De Venen,1.84372402
Morgenweide,1.808735048
Singels,1.793550563
Waterbuurt,1.723576039
De Bras,1.818160003
Vlietzoom-Oost,1.730419467
De Lanen,1.848192201
De Velden,1.824694663
De Vissen,1.799733961
Rietbuurt,1.853266649
