Name,green gas,nongreen gas,Gas
Bosweide,0,0,0
Morgenweide,0,0,0
Binckhorst,3.007596228,2.132068576,5.139664804
De Venen,8.531532659,4.374450247,12.90598291
De Bras,10.59035591,5.506996783,16.09735269
Waterbuurt,24.80851142,13.20195978,38.0104712
Hoge Veld,44.35797139,23.02256977,67.38054116
Uilebomen,133.1774827,82.65585059,215.8333333
Singels,140.2656807,78.46532911,218.7310098
Bezuidenhout-West,170.6880971,104.926428,275.6145251
Spoorwijk,177.2731816,83.29133455,260.5645162
Erasmus Veld,191.2681845,119.0798433,310.3480278
De Lanen,216.6167859,115.2956785,331.9124644
De Velden,225.7920978,131.8382339,357.6303317
Duindorp,230.4034492,123.1313954,353.5348446
Lage Veld,230.4548863,132.6022899,363.0571762
De Vissen,231.0536607,136.5007191,367.5543798
Rietbuurt,234.3001599,121.5982067,355.8983666
Rivierenbuurt-Noord,237.9836326,136.9621668,374.9457994
Laakhaven-Oost,239.7717049,110.5986655,350.3703704
Morgenstond-West,241.9179764,123.5918143,365.5097907
Zonne Veld,243.2244152,129.0866313,372.3110465
Schildersbuurt-Oost,257.2914725,119.1608097,376.4522822
Parkbuurt oosteinde,271.9011716,159.3686696,431.2698412
Schildersbuurt-Noord,272.3181596,128.2276592,400.5458188
Houtwijk,273.3129092,161.9445011,435.2574103
Transvaalkwartier-Midden,275.7856166,130.2383595,406.0239761
Zuidwal,276.7813268,169.1445991,445.9259259
Leyenburg,287.7398539,159.275572,447.0154259
Moerwijk-Oost,288.3884659,147.3542599,435.7427258
Rond de Energiecentrale,290.517627,184.6125158,475.1301428
Schildersbuurt-West,298.8652235,138.60201,437.4672335
Dreven en Gaarden,301.3385552,151.3244129,452.6629681
Moerwijk-Zuid,304.3192768,146.7568101,451.0760869
Kortenbos,307.273525,190.4171966,497.6907216
Transvaalkwartier-Zuid,307.7430547,141.7800967,449.5231514
Laakhaven-West,312.3313296,149.7557847,462.0871143
Groente- en Fruitmarkt,314.2672351,144.9613632,459.2285983
Moerwijk-West,314.9151144,159.7723856,474.6875
Vissershaven,315.4093547,200.3209823,515.730337
"Zijden, Steden en Zichten",317.9183119,157.2409238,475.1592357
Waldeck-Noord,318.8239415,256.8903442,575.7142857
Transvaalkwartier-Noord,319.9350661,147.0864802,467.0215463
Kom Loosduinen,323.017999,208.6000914,531.6180904
Nieuw Waldeck,325.1067529,192.6810418,517.7877947
Kraayenstein,328.1323243,205.8591651,533.9914894
Rosenburg,328.5546181,230.7237324,559.2783505
Huygenspark,331.0099129,173.4232726,504.4331855
Waldeck-Zuid,332.1025789,220.8212541,552.923833
Landen,332.9213141,198.7469692,531.6682833
Willemspark,333.110763,247.3590357,580.4697987
Morgenstond-Zuid,339.3354602,169.382921,508.7183812
Morgenstond-Oost,340.842536,178.7617806,519.6043166
"Venen, Oorden en Raden",341.2838716,168.0347074,509.318579
Haagse Bos,349.0236857,256.6233732,605.6470589
Noordpolderbuurt,355.4313966,172.39964,527.8310366
Burgen en Horsten,362.6882764,227.2242137,589.9124901
Geuzenkwartier,371.097716,267.4444253,638.5421413
Moerwijk-Noord,372.4759337,182.3054283,554.781362
Rustenburg,376.4561372,192.2487808,568.704918
Zeeheldenkwartier,377.286658,241.9788549,619.2655129
Vruchtenbuurt,382.6838015,245.5646283,628.2484298
Oud Scheveningen,386.547614,240.5756737,627.1232877
Zorgvliet,388.2666271,272.1333729,660.4
Heesterbuurt,389.4618256,219.7740304,609.235856
Bloemenbuurt-Oost,390.0953093,251.9789941,642.0743034
Eykenduinen,394.8971606,256.336236,651.2333966
Bloemenbuurt-West,396.1792544,274.5472413,670.7264957
Zuiderpark,398.3747459,374.1252541,772.5
Laakkwartier-West,401.7839666,197.1275981,598.9115647
Kampen,403.7803833,245.6289853,649.4093686
Stadhoudersplantsoen,403.8352027,314.2260217,718.0612244
Oostbroek-Noord,405.8451097,196.8548903,602.7
Oostbroek-Zuid,410.1180032,194.4630024,604.5810056
Laakkwartier-Oost,412.8894378,200.6381423,613.5275801
Bohemen en Meer en Bos,414.4751776,324.5883675,739.0635451
De Uithof,418.80983,285.3206048,704.1304348
Belgisch Park,420.7082755,281.4062888,702.1145643
Kijkduin,423.3451442,341.6548558,765
Bosjes van Pex,426.8860008,293.1139992,720
Bezuidenhout-Oost,427.0179475,277.3605209,704.3784684
Bezuidenhout-Midden,429.6714417,280.3869013,710.058343
Bomenbuurt,430.9910361,279.7336015,710.7246376
Visserijbuurt,437.3425513,274.3154798,711.6580311
Componistenbuurt,440.0188475,299.3236183,739.3424658
Voorhout,440.9451893,285.0845347,726.029724
Uilennest,441.8362235,348.7590146,790.5952381
Scheveningen Badplaats,449.6140452,275.1540439,724.7680891
Archipelbuurt,453.7810526,340.5796032,794.3606558
Valkenboskwartier,455.1566301,259.5657135,714.7223436
Arendsdorp,455.7987235,353.0901654,808.8888889
Sweelinckplein en omgeving,461.2732494,340.4048918,801.6781412
Van Hoytemastraat en omgeving,464.4254669,334.7270755,799.1525424
Van Stolkpark en Scheveningse Bosjes,466.5675763,401.7876868,868.3552631
Waalsdorp,471.274396,351.061562,822.335958
Statenkwartier,477.1211231,334.6274542,811.7485773
Rijslag,479.5568439,309.8220381,789.378882
Vogelwijk,483.5285909,353.5835586,837.1121495
Ockenburgh,494.0214623,341.3244497,835.345912
Koningsplein en omgeving,497.7460754,309.2638256,807.009901
Westbroekpark,524.6205713,451.3453377,975.965909
Nassaubuurt,532.005449,400.3022433,932.3076923
Duttendel,537.3895393,435.8662747,973.255814
Duinzigt,540.5920294,493.1755057,1033.767535
Vlietzoom-West,589.7972699,420.2027301,1010
Rivierenbuurt-Zuid,592.6673357,326.2150173,918.882353
Marlot,627.4820303,396.8657957,1024.347826
Vlietzoom-Oost,637.7314698,491.7685302,1129.5
