Name,tram km per capita
Belgisch Park,1.912140824
Westbroekpark,1.98356372
Duttendel,1.869057063
Nassaubuurt,1.780622788
Uilennest,1.771270369
Duinzigt,1.967611443
Waalsdorp,1.761167985
Arendsdorp,1.808938577
Van Hoytemastraat en omgeving,1.726214473
Archipelbuurt,1.804329854
Van Stolkpark en Scheveningse Bosjes,1.879830407
Oud Scheveningen,1.737144782
Vissershaven,1.775729563
Scheveningen Badplaats,1.792730535
Visserijbuurt,1.821328449
Rijslag,1.879894748
Duindorp,1.742652413
Statenkwartier,1.803233028
Geuzenkwartier,1.810252227
Zorgvliet,1.825554022
Stadhoudersplantsoen,1.774451004
Sweelinckplein en omgeving,1.769127495
Bloemenbuurt-West,1.789023313
Bloemenbuurt-Oost,1.783192151
Bomenbuurt,1.776504676
Vogelwijk,1.806950397
Bosjes van Pex,1.862646389
Bohemen en Meer en Bos,1.853999965
Ockenburgh,1.930813844
Kijkduin,1.911857624
Kraayenstein,1.76101848
Kerketuinen en Zichtenburg,1.446677778
Houtwijk,1.823018712
Kom Loosduinen,1.834773314
Waldeck-Zuid,1.839023799
Nieuw Waldeck,1.813900236
Rosenburg,1.847540604
Componistenbuurt,1.867513056
Waldeck-Noord,1.931455645
Vruchtenbuurt,1.768985495
Eykenduinen,1.747538587
Heesterbuurt,1.774219385
Valkenboskwartier,1.799261354
Rond de Energiecentrale,1.822452084
Koningsplein en omgeving,1.769448329
Zeeheldenkwartier,1.825541206
Willemspark,1.785776027
Haagse Bos,1.841828397
Landen,1.796200761
Kampen,1.759468076
Marlot,1.849562748
Burgen en Horsten,1.79853315
Bezuidenhout-West,2.076343751
Bezuidenhout-Midden,1.762829475
Bezuidenhout-Oost,1.754050773
Huygenspark,2.238188149
Rivierenbuurt-Zuid,2.089379631
Rivierenbuurt-Noord,1.852911846
Kortenbos,1.83153698
Voorhout,1.881960483
Uilebomen,1.730987266
Zuidwal,1.846764551
Schildersbuurt-West,1.878176977
Schildersbuurt-Noord,1.861919405
Schildersbuurt-Oost,1.894734731
Transvaalkwartier-Noord,1.867609482
Transvaalkwartier-Midden,1.813167413
Transvaalkwartier-Zuid,1.848738329
Rustenburg,1.782453564
Oostbroek-Noord,1.793380658
Oostbroek-Zuid,1.825939896
Leyenburg,1.824199677
"Venen, Oorden en Raden",1.813230606
"Zijden, Steden en Zichten",1.770470089
Dreven en Gaarden,1.834532449
De Uithof,1.894805914
Morgenstond-Zuid,1.758676472
Morgenstond-West,1.794691184
Morgenstond-Oost,1.767315083
Zuiderpark,1.872253526
Moerwijk-Oost,1.787521098
Moerwijk-West,1.765616804
Moerwijk-Noord,1.801368737
Moerwijk-Zuid,1.797065593
Groente- en Fruitmarkt,1.868855816
Laakhaven-Oost,2.062940211
Laakhaven-West,1.923627559
Spoorwijk,1.811626075
Laakkwartier-West,1.817767544
Laakkwartier-Oost,1.839332166
Noordpolderbuurt,1.896577502
Binckhorst,1.889434368
Erasmus Veld,1.86768148
Hoge Veld,1.747496773
Parkbuurt oosteinde,1.822581286
Lage Veld,1.794091242
Zonne Veld,1.799109441
Vlietzoom-West,1.766596886
De Reef,2.749416667
Bosweide,1.812035282
De Venen,1.711514874
Morgenweide,1.777999924
Singels,1.803667543
Waterbuurt,1.767373532
De Bras,1.739238422
Vlietzoom-Oost,2.070410556
De Rivieren,1.864791667
De Lanen,1.71595923
De Velden,1.782336715
De Vissen,1.808301359
Rietbuurt,1.665682662
