Name,train km per capita
Belgisch Park,5.647509425
Westbroekpark,5.846375196
Duttendel,5.61676572
Nassaubuurt,5.389282975
Uilennest,5.43986662
Duinzigt,5.854567759
Waalsdorp,5.313209343
Arendsdorp,5.429184178
Van Hoytemastraat en omgeving,5.26522266
Archipelbuurt,5.486105517
Van Stolkpark en Scheveningse Bosjes,5.612546785
Oud Scheveningen,5.364055387
Vissershaven,5.409302642
Scheveningen Badplaats,5.454450409
Visserijbuurt,5.508981432
Rijslag,5.624791281
Duindorp,5.315008648
Statenkwartier,5.430498256
Geuzenkwartier,5.478920119
Zorgvliet,5.529716271
Stadhoudersplantsoen,5.432108921
Sweelinckplein en omgeving,5.390418131
Bloemenbuurt-West,5.443861522
Bloemenbuurt-Oost,5.440143245
Bomenbuurt,5.428201079
Vogelwijk,5.39766294
Bosjes van Pex,5.590752388
Bohemen en Meer en Bos,5.644632993
Ockenburgh,5.638406273
Kijkduin,5.714115569
Kraayenstein,5.361651922
Kerketuinen en Zichtenburg,4.802707143
Houtwijk,5.484680697
Kom Loosduinen,5.571142845
Waldeck-Zuid,5.578911264
Nieuw Waldeck,5.47788531
Rosenburg,5.615459638
Componistenbuurt,5.660916591
Waldeck-Noord,5.828306992
Vruchtenbuurt,5.37463895
Eykenduinen,5.370687002
Heesterbuurt,5.409048609
Valkenboskwartier,5.461459858
Rond de Energiecentrale,5.515990729
Koningsplein en omgeving,5.417684633
Zeeheldenkwartier,5.527523885
Willemspark,5.477799786
Haagse Bos,5.650043332
Landen,5.455610008
Kampen,5.403976512
Marlot,5.468168184
Burgen en Horsten,5.488644743
Bezuidenhout-West,5.946634285
Bezuidenhout-Midden,5.379538064
Bezuidenhout-Oost,5.421422552
Huygenspark,6.243785263
Rivierenbuurt-Zuid,6.019977034
Rivierenbuurt-Noord,5.549536465
Kortenbos,5.54336276
Voorhout,5.685227134
Uilebomen,5.365151304
Zuidwal,5.591641495
Schildersbuurt-West,5.531605102
Schildersbuurt-Noord,5.503600395
Schildersbuurt-Oost,5.554980758
Transvaalkwartier-Noord,5.538268654
Transvaalkwartier-Midden,5.400040022
Transvaalkwartier-Zuid,5.464222715
Rustenburg,5.40157952
Oostbroek-Noord,5.417608358
Oostbroek-Zuid,5.456225758
Leyenburg,5.514654213
"Venen, Oorden en Raden",5.417372727
"Zijden, Steden en Zichten",5.348060073
Dreven en Gaarden,5.470409535
De Uithof,5.671255173
Morgenstond-Zuid,5.346033567
Morgenstond-West,5.407691013
Morgenstond-Oost,5.375684734
Zuiderpark,5.684369699
Moerwijk-Oost,5.373639578
Moerwijk-West,5.333305158
Moerwijk-Noord,5.403747743
Moerwijk-Zuid,5.379633017
Groente- en Fruitmarkt,5.500544389
Laakhaven-Oost,5.918431987
Laakhaven-West,5.64239659
Spoorwijk,5.400750354
Laakkwartier-West,5.448190602
Laakkwartier-Oost,5.500602289
Noordpolderbuurt,5.584186226
Binckhorst,5.612698083
Erasmus Veld,5.57925592
Hoge Veld,5.241239989
Parkbuurt oosteinde,5.4138817
Lage Veld,5.401725134
Zonne Veld,5.36500838
Vlietzoom-West,5.28460084
De Reef,7.222142857
Bosweide,5.358821893
De Venen,5.216076349
Morgenweide,5.331238747
Singels,5.392219043
Waterbuurt,5.31647088
De Bras,5.203276165
Vlietzoom-Oost,6.0833025
De Rivieren,5.625151786
De Lanen,5.166102191
De Velden,5.346787586
De Vissen,5.409667217
Rietbuurt,5.050590997
