Name,water_per_capita
Belgisch Park,36.60002504
Westbroekpark,39.9485015
Duttendel,35.2288342
Nassaubuurt,37.85470463
Uilennest,40.4316747
Duinzigt,42.38209584
Waalsdorp,34.43224945
Arendsdorp,32.4138578
Van Hoytemastraat en omgeving,33.97921473
Archipelbuurt,42.69526797
Van Stolkpark en Scheveningse Bosjes,35.5747475
Oud Scheveningen,37.09849378
Vissershaven,33.66922847
Scheveningen Badplaats,38.15861384
Visserijbuurt,36.08247762
Rijslag,38.83810893
Duindorp,31.60916127
Statenkwartier,36.09767107
Geuzenkwartier,34.11280669
Zorgvliet,43.53419894
Stadhoudersplantsoen,40.62213897
Sweelinckplein en omgeving,37.38316223
Bloemenbuurt-West,32.9954112
Bloemenbuurt-Oost,35.66756787
Bomenbuurt,36.07442111
Vogelwijk,30.65310443
Bosjes van Pex,36.19458309
Bohemen en Meer en Bos,40.05470886
Ockenburgh,27.86960405
Kijkduin,37.26519606
Kraayenstein,31.19495841
Houtwijk,29.92363111
Kom Loosduinen,35.84314485
Waldeck-Zuid,37.22055536
Nieuw Waldeck,31.1351517
Rosenburg,34.90949751
Componistenbuurt,39.34138172
Waldeck-Noord,42.31085477
Vruchtenbuurt,31.79170496
Eykenduinen,34.69940981
Heesterbuurt,35.60589735
Valkenboskwartier,34.92377019
Rond de Energiecentrale,35.742823
Koningsplein en omgeving,38.51028314
Zeeheldenkwartier,39.57389974
Willemspark,46.22276005
Haagse Bos,42.6319283
Landen,35.74685687
Kampen,38.60955631
Marlot,32.65841954
Burgen en Horsten,37.33124167
Bezuidenhout-West,38.19536128
Bezuidenhout-Midden,39.19974567
Bezuidenhout-Oost,40.21063025
Huygenspark,39.80946006
Rivierenbuurt-Zuid,42.76205801
Rivierenbuurt-Noord,36.87938843
Kortenbos,40.31062617
Voorhout,50.47731836
Uilebomen,39.2248954
Zuidwal,41.59932715
Schildersbuurt-West,26.07062012
Schildersbuurt-Noord,26.82983675
Schildersbuurt-Oost,24.28857243
Transvaalkwartier-Noord,28.7822551
Transvaalkwartier-Midden,25.93640543
Transvaalkwartier-Zuid,25.16191412
Rustenburg,32.26628192
Oostbroek-Noord,31.11326484
Oostbroek-Zuid,30.20687859
Leyenburg,34.20485159
"Venen, Oorden en Raden",28.96722808
"Zijden, Steden en Zichten",30.09133094
Dreven en Gaarden,28.92191121
De Uithof,37.17715199
Morgenstond-Zuid,32.3951195
Morgenstond-West,30.7153593
Morgenstond-Oost,35.59839335
Zuiderpark,43.9615026
Moerwijk-Oost,31.72921544
Moerwijk-West,30.60047815
Moerwijk-Noord,30.71846433
Moerwijk-Zuid,32.13151234
Groente- en Fruitmarkt,25.81931635
Laakhaven-Oost,35.51451382
Laakhaven-West,33.82755149
Spoorwijk,26.60761888
Laakkwartier-West,30.57788407
Laakkwartier-Oost,32.06462178
Noordpolderbuurt,30.40903468
Binckhorst,7.574178459
Erasmus Veld,25.22527327
Hoge Veld,25.61318991
Parkbuurt oosteinde,27.40583771
Lage Veld,27.55207319
Zonne Veld,24.88604742
Vlietzoom-West,36.32214688
Bosweide,26.8207814
De Venen,30.47205883
Morgenweide,27.80909625
Singels,27.33066964
Waterbuurt,27.09446655
De Bras,24.34205649
Vlietzoom-Oost,34.2777376
De Lanen,24.29940066
De Velden,26.87185396
De Vissen,26.23792613
Rietbuurt,25.10156421
