,Name,BUURTCODE,Population,Food_consumed,green electricity,nongreen electricity,Gas,water_per_capita,car km per capita,train km per capita,tram km per capita,Clothes,Detergent,Footwear,Furniture,Paper,Personalcare,Household_size,Waste_generated_per_household,waste per capita
0,Belgisch Park,71,8205,3083.63819622181,822.991371,550.4882146000001,702.1145642999999,36.60002504,19.97303625,5.647509425,1.912140824,17.36411822,102.69308690000001,2.561943789,1.700612515,35.6265477,147.9147356,1.9,951.6591664999999,500.8732455
1,Westbroekpark,73,880,3144.82409090909,877.9919405999999,755.3603321,975.965909,39.9485015,18.42279242,5.846375196,1.98356372,17.081050199999996,120.68085259999998,2.897702283,1.770815524,39.38494672,143.1508568,1.9,914.8874739,481.5197231000001
2,Duttendel,74,1075,3111.31432558139,924.3100076,749.6899923999999,973.2558140000001,35.2288342,19.29336056,5.61676572,1.869057063,16.93649117,125.0222794,2.902105039,1.673041086,35.610021200000006,137.8130492,2.1,1087.944876,518.0689887
3,Nassaubuurt,48,1625,3025.11913846153,821.7113866000001,618.2886133999999,932.3076923,37.85470463,19.88847996,5.389282975,1.780622788,14.74630719,115.81433590000002,2.478516448,1.8227060959999999,36.06304572,143.2098833,2.2,1085.779397,493.5360893
4,Uilennest,75,2100,3109.73714285714,828.8238123,654.2238067000001,790.5952381,40.4316747,20.26964053,5.43986662,1.771270369,16.73650914,116.76971429999999,2.792683135,1.769846471,35.40438237,141.4787498,1.8,917.9277947,509.9598859
5,Duinzigt,76,2495,3164.7035270541,770.5676441,702.9794501,1033.767535,42.38209584,18.30611826,5.854567759,1.967611443,16.97967541,118.96291389999999,2.768052892,1.770815524,39.38494672,142.9402425,1.7,917.9277947,539.9575262999999
6,Waalsdorp,77,3810,2991.64309711286,779.7890779,580.8802135,822.335958,34.43224945,19.11903412,5.3132093430000005,1.761167985,14.81244404,123.6758145,2.334658095,1.69564471,36.02738744,139.8056018,2.4,1209.2954220000001,503.8730926
7,Arendsdorp,78,1305,3016.76229885057,687.0660562,532.2442887,808.8888889,32.413857799999995,18.95982292,5.429184178,1.808938577,14.76519194,118.5975615,2.347253467,1.837640115,37.17421999,144.308794,2.3,1089.007959,473.4817215
8,Van Hoytemastraat en omgeving,79,2360,2994.61241525423,772.3597438999999,556.6656797999999,799.1525424,33.97921473,19.98840286,5.26522266,1.7262144730000002,14.68742178,117.41936899999999,2.3373534719999998,1.824880399,36.74877209,141.2057961,2.3,1130.7869460000002,491.6464981000001
9,Archipelbuurt,46,6100,3104.27303278688,768.9067835,577.0932165,794.3606557999999,42.69526797,20.72097168,5.486105517,1.8043298540000001,17.22437518,127.17662800000001,2.918704683,1.658099389,38.82645818,138.2061191,1.8,915.0053059,508.33628110000006
10,Van Stolkpark en Scheveningse Bosjes,5,760,3130.69013157894,717.6140895,617.9780158,868.3552631000001,35.5747475,19.19880646,5.612546785,1.8798304069999998,16.97310429,125.79113909999998,2.7663282280000003,1.637546502,35.11225095,138.8329003,2.0,1078.607756,539.3038779
11,Oud Scheveningen,1,2920,3116.9233219178,738.5820481000001,459.67137649999995,627.1232877,37.09849378,21.77772847,5.364055387,1.7371447819999999,16.68993118,104.572916,2.5252477000000004,1.6504054730000002,34.22805911,128.579972,1.8,960.5434134999999,533.6352297000001
12,Vissershaven,2,3560,3072.94042134831,717.4016696,455.63203830000003,515.730337,33.66922847,20.47654917,5.409302642,1.775729563,17.08888195,127.5113165,2.298322624,1.5638752390000001,25.25311053,102.8788667,1.9,923.0176577,485.79876720000004
13,Scheveningen Badplaats,3,5390,3100.12317254174,809.3052812999999,495.277279,724.7680891,38.15861384,21.339789800000002,5.454450409,1.792730535,16.63756197,105.85654840000002,2.509010038,1.6272719930000001,34.17530518,122.7995456,1.8,964.5176647,535.8431469999999
14,Visserijbuurt,4,3860,3084.19722797927,770.2450904,483.12278530000003,711.6580311,36.08247762,20.36366248,5.508981432000001,1.8213284490000001,16.66656527,116.3976452,2.50432179,1.76279249,33.95130358,115.96041090000001,1.9,924.6867681,486.67724639999994
