Name,GWP household cleaning
Belgisch Park,51.19250381
Westbroekpark,60.15940503
Duttendel,62.32360627
Nassaubuurt,57.73344646
Uilennest,58.2097026
Duinzigt,59.30301257
Waalsdorp,61.65239353
Arendsdorp,59.1208844
Van Hoytemastraat en omgeving,58.53355545
Archipelbuurt,63.39754907
Van Stolkpark en Scheveningse Bosjes,62.70688285
Oud Scheveningen,52.12959863
Vissershaven,63.56439129
Scheveningen Badplaats,52.76948938
Visserijbuurt,58.02422611
Rijslag,57.28198753
Duindorp,50.38913242
Statenkwartier,60.6591857
Geuzenkwartier,64.74746521
Zorgvliet,52.84989579
Stadhoudersplantsoen,60.27354192
Sweelinckplein en omgeving,61.19129007
Bloemenbuurt-West,62.30065803
Bloemenbuurt-Oost,63.39323255
Bomenbuurt,57.72582835
Vogelwijk,59.79860021
Bosjes van Pex,51.37292497
Bohemen en Meer en Bos,62.98146825
Ockenburgh,42.53987835
Kijkduin,62.97738193
Kraayenstein,46.91490082
Houtwijk,57.92969011
Kom Loosduinen,58.5639918
Waldeck-Zuid,62.23213488
Nieuw Waldeck,60.03599359
Rosenburg,58.56652562
Componistenbuurt,62.06819113
Waldeck-Noord,58.89540188
Vruchtenbuurt,60.57545906
Eykenduinen,62.62470243
Heesterbuurt,62.49550824
Valkenboskwartier,56.50328347
Rond de Energiecentrale,47.06635579
Koningsplein en omgeving,57.21666225
Zeeheldenkwartier,36.15020211
Willemspark,50.66384782
Haagse Bos,59.91254765
Landen,59.28207216
Kampen,60.02957292
Marlot,47.04505687
Burgen en Horsten,61.35056051
Bezuidenhout-West,55.14474913
Bezuidenhout-Midden,58.11948455
Bezuidenhout-Oost,57.46758993
Huygenspark,54.47934171
Rivierenbuurt-Zuid,50.48991601
Rivierenbuurt-Noord,48.2671599
Kortenbos,35.69976894
Voorhout,45.28528326
Uilebomen,49.40987008
Zuidwal,46.5409492
Schildersbuurt-West,43.22800776
Schildersbuurt-Noord,48.81446606
Schildersbuurt-Oost,49.48559379
Transvaalkwartier-Noord,54.01416734
Transvaalkwartier-Midden,55.25145915
Transvaalkwartier-Zuid,51.17827632
Rustenburg,52.80138146
Oostbroek-Noord,47.66358452
Oostbroek-Zuid,49.20162815
Leyenburg,56.84696827
"Venen, Oorden en Raden",61.92067113
"Zijden, Steden en Zichten",62.10529271
Dreven en Gaarden,61.49246149
De Uithof,61.04826564
Morgenstond-Zuid,53.68505729
Morgenstond-West,61.1461822
Morgenstond-Oost,54.09115481
Moerwijk-Oost,55.90445723
Moerwijk-West,56.31726406
Moerwijk-Noord,54.90394876
Moerwijk-Zuid,54.50324437
Groente- en Fruitmarkt,55.02879269
Laakhaven-Oost,57.95812512
Laakhaven-West,46.77569641
Spoorwijk,45.92545697
Laakkwartier-West,47.25708731
Laakkwartier-Oost,47.04768093
Noordpolderbuurt,47.14634681
Binckhorst,38.40397227
Erasmus Veld,49.61936744
Hoge Veld,57.49646561
Parkbuurt oosteinde,38.72271752
Lage Veld,44.49176624
Zonne Veld,45.54182087
Vlietzoom-West,50.27358564
Bosweide,44.66570235
De Venen,50.61441059
Morgenweide,42.93078274
Singels,47.05935934
Waterbuurt,42.49947519
De Bras,47.54155401
Vlietzoom-Oost,42.36758043
De Lanen,52.83349625
De Velden,46.43949177
De Vissen,53.73574087
Rietbuurt,51.70239653
