Name,GWP_paper
Belgisch Park,51.30222869
Westbroekpark,56.71432328
Duttendel,51.27843053
Nassaubuurt,51.93078584
Uilennest,50.98231061
Duinzigt,56.71432328
Waalsdorp,51.87943791
Arendsdorp,53.53087679
Van Hoytemastraat en omgeving,52.91823181
Archipelbuurt,55.91009978
Van Stolkpark en Scheveningse Bosjes,50.56164137
Oud Scheveningen,49.28840512
Vissershaven,36.36447916
Scheveningen Badplaats,49.21243946
Visserijbuurt,48.88987716
Rijslag,56.98681233
Duindorp,41.25535289
Statenkwartier,52.22397859
Geuzenkwartier,48.84564727
Zorgvliet,57.87620512
Stadhoudersplantsoen,51.02728433
Sweelinckplein en omgeving,48.48733155
Bloemenbuurt-West,55.61778617
Bloemenbuurt-Oost,50.23046169
Bomenbuurt,47.88686429
Vogelwijk,56.38369247
Bosjes van Pex,60.86466982
Bohemen en Meer en Bos,55.88488414
Ockenburgh,61.68155659
Kijkduin,60.39083197
Kraayenstein,56.25537996
Houtwijk,47.25942958
Kom Loosduinen,49.64770148
Waldeck-Zuid,49.62721578
Nieuw Waldeck,40.73750446
Rosenburg,49.46201058
Componistenbuurt,56.81958183
Waldeck-Noord,55.80634146
Vruchtenbuurt,52.25832674
Eykenduinen,55.28455805
Heesterbuurt,30.76060568
Valkenboskwartier,31.05167682
Rond de Energiecentrale,46.65978367
Koningsplein en omgeving,49.00799288
Zeeheldenkwartier,57.53901051
Willemspark,56.8738687
Haagse Bos,56.90141376
Landen,32.6371611
Kampen,33.69043025
Marlot,52.95886953
Burgen en Horsten,36.72696976
Bezuidenhout-West,33.4905395
Bezuidenhout-Midden,50.51625428
Bezuidenhout-Oost,56.07891157
Huygenspark,48.92337406
Rivierenbuurt-Zuid,49.12466358
Rivierenbuurt-Noord,34.04114495
Kortenbos,55.75176438
Voorhout,57.98211579
Uilebomen,56.29355179
Zuidwal,47.35549958
Schildersbuurt-West,42.6134644
Schildersbuurt-Noord,42.30928073
Schildersbuurt-Oost,42.01965576
Transvaalkwartier-Noord,40.57963258
Transvaalkwartier-Midden,37.1124741
Transvaalkwartier-Zuid,39.70192915
Rustenburg,35.00680052
Oostbroek-Noord,35.00014861
Oostbroek-Zuid,37.10285191
Leyenburg,39.69277976
"Venen, Oorden en Raden",37.01573636
"Zijden, Steden en Zichten",38.23772712
Dreven en Gaarden,39.12244985
De Uithof,47.63032919
Morgenstond-Zuid,37.35839848
Morgenstond-West,34.03688217
Morgenstond-Oost,35.84180462
Moerwijk-Oost,37.70788188
Moerwijk-West,37.5023577
Moerwijk-Noord,37.35392075
Moerwijk-Zuid,35.35926327
Groente- en Fruitmarkt,39.09003575
Laakhaven-Oost,37.61911935
Laakhaven-West,36.40693405
Spoorwijk,38.47564561
Laakkwartier-West,34.93255208
Laakkwartier-Oost,34.83661307
Noordpolderbuurt,36.86013939
Binckhorst,51.04377996
Erasmus Veld,55.17560716
Hoge Veld,50.39713273
Parkbuurt oosteinde,57.81252342
Lage Veld,55.98512555
Zonne Veld,56.62078816
Vlietzoom-West,56.18355242
Bosweide,57.96675026
De Venen,51.58296716
Morgenweide,53.31726986
Singels,56.85116076
Waterbuurt,50.24330253
De Bras,57.67971466
Vlietzoom-Oost,61.79365044
De Lanen,53.04235968
De Velden,57.75014622
De Vissen,57.60134146
Rietbuurt,54.51575462
