Name,Green_electricity,nongreen_electricity
Belgisch Park,10.91706284,394.8209811
Westbroekpark,11.64665089,541.7592957
Duttendel,12.26106468,537.6924164
Nassaubuurt,10.90008371,443.4487615
Uilennest,10.99443075,469.2221893
Duinzigt,10.22165686,504.1906963
Waalsdorp,10.3439801,416.6187208
Arendsdorp,9.113999942,381.7360784
Van Hoytemastraat en omgeving,10.24542924,399.2515808
Archipelbuurt,10.19962537,413.902612
Van Stolkpark en Scheveningse Bosjes,9.519222658,443.2259947
Oud Scheveningen,9.797364727,329.6853576
Vissershaven,9.516404888,326.7882647
Scheveningen Badplaats,10.73551549,355.2226116
Visserijbuurt,10.21737815,346.5051695
Rijslag,12.14036008,424.0777146
Duindorp,12.22529918,353.2490401
Statenkwartier,10.42648516,395.3780217
Geuzenkwartier,8.806925495,343.1715373
Zorgvliet,13.42347209,508.6959442
Stadhoudersplantsoen,9.59060472,403.483365
Sweelinckplein en omgeving,10.85599896,433.1606392
Bloemenbuurt-West,9.214873298,345.2680497
Bloemenbuurt-Oost,10.05718905,351.2464091
Bomenbuurt,10.00499359,351.1032773
Vogelwijk,10.92439523,431.9256318
Bosjes van Pex,9.870375402,366.4375646
Bohemen en Meer en Bos,9.91381513,419.7753292
Ockenburgh,12.36245175,461.814815
Kijkduin,12.73629633,555.7479115
Kraayenstein,10.91687272,370.3063068
Houtwijk,9.861422754,315.9274105
Kom Loosduinen,9.86411874,344.4195008
Waldeck-Zuid,11.35405649,408.1890443
Nieuw Waldeck,9.376880186,300.4782434
Rosenburg,8.71661973,330.959203
Componistenbuurt,10.96088494,403.1410249
Waldeck-Noord,11.46591642,499.513575
Vruchtenbuurt,9.330453886,323.7204765
Eykenduinen,9.590210594,336.5858121
Heesterbuurt,9.634358226,293.9516736
Valkenboskwartier,10.44113225,321.940577
Rond de Energiecentrale,9.544741448,327.9400742
Koningsplein en omgeving,11.57788884,388.9487
Zeeheldenkwartier,10.57606543,366.7513896
Willemspark,11.97338055,480.7259531
Haagse Bos,6.968134139,277.0125728
Landen,9.529769234,307.597618
Kampen,9.911449142,325.9967156
Marlot,12.95479443,443.011064
Burgen en Horsten,10.68618495,361.9807267
Bezuidenhout-West,10.18887605,338.648846
Bezuidenhout-Midden,10.79476258,380.8693251
Bezuidenhout-Oost,9.596771355,337.0274953
Huygenspark,11.47483201,325.0531531
Rivierenbuurt-Zuid,13.49504363,401.6140709
Rivierenbuurt-Noord,10.50721643,326.9511553
Kortenbos,10.66808612,357.4449839
Voorhout,13.34522114,466.5052049
Uilebomen,10.74291462,360.5010976
Zuidwal,10.69063723,353.2373438
Schildersbuurt-West,8.621775388,216.1884659
Schildersbuurt-Noord,8.534620197,217.285617
Schildersbuurt-Oost,7.975635355,199.7169902
Transvaalkwartier-Noord,8.877693697,220.6747983
Transvaalkwartier-Midden,8.938378725,228.2273705
Transvaalkwartier-Zuid,8.752916125,218.0326053
Rustenburg,9.545533753,263.5670403
Oostbroek-Noord,9.32277789,244.4966415
Oostbroek-Zuid,9.585213524,245.7376008
Leyenburg,10.60742566,317.4686322
"Venen, Oorden en Raden",8.601612901,228.9838182
"Zijden, Steden en Zichten",8.813986037,235.7024357
Dreven en Gaarden,8.761728048,237.8952304
De Uithof,13.14362841,484.1425032
Morgenstond-Zuid,8.677800185,234.202587
Morgenstond-West,9.421489078,260.2452341
Morgenstond-Oost,8.891910303,252.1492186
Zuiderpark,7.028872577,356.9049448
Moerwijk-Oost,8.9572726,247.4584394
Moerwijk-West,7.95049834,218.0942599
Moerwijk-Noord,9.440706506,249.8317033
Moerwijk-Zuid,8.352053047,217.7728394
Groente- en Fruitmarkt,9.407438113,234.6206313
Laakhaven-Oost,10.86703511,271.0220932
Laakhaven-West,10.55986855,273.7588947
Spoorwijk,10.74992677,273.0888426
Laakkwartier-West,9.799779232,259.9637481
Laakkwartier-Oost,9.987506478,262.4088441
Noordpolderbuurt,9.384762866,246.1192252
Binckhorst,1.64571267,63.07791361
Erasmus Veld,9.312646421,313.4803352
Hoge Veld,9.755266937,273.7555599
Parkbuurt oosteinde,11.41655336,361.7999885
Lage Veld,10.04909785,312.6323014
Zonne Veld,10.21198794,293.039431
Vlietzoom-West,14.56296352,560.980213
Bosweide,12.9124181,394.0523056
De Venen,16.82484957,466.4330152
Morgenweide,10.44692928,303.1553263
Singels,10.84302998,327.9583594
Waterbuurt,10.66243127,306.7860539
De Bras,10.1428098,285.1702511
Vlietzoom-Oost,15.50359758,646.3935905
De Lanen,10.31059076,296.7195357
De Velden,10.26910202,324.1953461
De Vissen,10.44463515,333.6238031
Rietbuurt,9.763858603,273.9792902
