Name,Car
Belgisch Park,2414.062997
Westbroekpark,2226.691071
Duttendel,2331.913247
Nassaubuurt,2403.843008
Uilennest,2449.912399
Duinzigt,2212.58912
Waalsdorp,2310.84309
Arendsdorp,2291.599853
Van Hoytemastraat en omgeving,2415.920299
Archipelbuurt,2504.463035
Van Stolkpark en Scheveningse Bosjes,2320.484861
Oud Scheveningen,2632.189107
Vissershaven,2474.92064
Scheveningen Badplaats,2579.257168
Visserijbuurt,2461.276466
Rijslag,2439.879408
Duindorp,2512.255792
Statenkwartier,2420.655277
Geuzenkwartier,2478.365044
Zorgvliet,2452.289227
Stadhoudersplantsoen,2519.767442
Sweelinckplein en omgeving,2569.547179
Bloemenbuurt-West,2404.651795
Bloemenbuurt-Oost,2471.456206
Bomenbuurt,2489.807995
Vogelwijk,2296.304089
Bosjes van Pex,2485.749228
Bohemen en Meer en Bos,2415.406919
Ockenburgh,2469.789864
Kijkduin,2379.395918
Kraayenstein,2513.487839
Kerketuinen en Zichtenburg,3804.181935
Houtwijk,2452.115953
Kom Loosduinen,2439.889093
Waldeck-Zuid,2385.239874
Nieuw Waldeck,2441.346903
Rosenburg,2454.78612
Componistenbuurt,2431.126254
Waldeck-Noord,2309.817172
Vruchtenbuurt,2449.411071
Eykenduinen,2544.118085
Heesterbuurt,2585.55625
Valkenboskwartier,2628.961872
Rond de Energiecentrale,2644.723741
Koningsplein en omgeving,2661.535338
Zeeheldenkwartier,2665.255599
Willemspark,2682.048305
Haagse Bos,2582.609688
Landen,2495.327411
Kampen,2573.292565
Marlot,2299.112818
Burgen en Horsten,2485.509128
Bezuidenhout-West,2397.647627
Bezuidenhout-Midden,2557.098434
Bezuidenhout-Oost,2688.038059
Huygenspark,2406.796785
Rivierenbuurt-Zuid,2688.921301
Rivierenbuurt-Noord,2627.109532
Kortenbos,2658.873324
Voorhout,2785.150209
Uilebomen,2746.641613
Zuidwal,2740.933838
Schildersbuurt-West,2423.89218
Schildersbuurt-Noord,2398.402856
Schildersbuurt-Oost,2372.674831
Transvaalkwartier-Noord,2458.077997
Transvaalkwartier-Midden,2380.50398
Transvaalkwartier-Zuid,2441.327234
Rustenburg,2582.836858
Oostbroek-Noord,2598.793986
Oostbroek-Zuid,2530.026386
Leyenburg,2525.895454
"Venen, Oorden en Raden",2405.116981
"Zijden, Steden en Zichten",2455.871884
Dreven en Gaarden,2376.374965
De Uithof,2287.060021
Morgenstond-Zuid,2538.768875
Morgenstond-West,2450.432532
Morgenstond-Oost,2557.000507
Zuiderpark,2250.531591
Moerwijk-Oost,2511.510838
Moerwijk-West,2452.08242
Moerwijk-Noord,2498.047078
Moerwijk-Zuid,2466.111546
Groente- en Fruitmarkt,2445.662482
Laakhaven-Oost,2437.807899
Laakhaven-West,2483.189548
Spoorwijk,2433.831473
Laakkwartier-West,2569.177856
Laakkwartier-Oost,2571.460982
Noordpolderbuurt,2499.349262
Binckhorst,3274.544267
Erasmus Veld,2412.316779
Hoge Veld,2328.557182
Parkbuurt oosteinde,2475.284102
Lage Veld,2465.541419
Zonne Veld,2453.288035
Vlietzoom-West,2446.169606
De Reef,2914.139357
Bosweide,2361.06655
De Venen,2502.87399
Morgenweide,2426.210359
Singels,2452.831729
Waterbuurt,2448.398036
De Bras,2320.455423
Vlietzoom-Oost,2679.42603
De Rivieren,2895.596712
De Lanen,2365.396171
De Velden,2462.937278
De Vissen,2425.995208
Rietbuurt,2319.34236
