Name,Water
Belgisch Park,6.364744355
Westbroekpark,6.947044411
Duttendel,6.126294267
Nassaubuurt,6.582933135
Uilennest,7.031068231
Duinzigt,7.370246467
Waalsdorp,5.98776818
Arendsdorp,5.636769872
Van Hoytemastraat en omgeving,5.908985441
Archipelbuurt,7.424707099
Van Stolkpark en Scheveningse Bosjes,6.186448591
Oud Scheveningen,6.451428068
Vissershaven,5.85507883
Scheveningen Badplaats,6.635782947
Visserijbuurt,6.274742858
Rijslag,6.753947142
Duindorp,5.496833145
Statenkwartier,6.277384999
Geuzenkwartier,5.932217084
Zorgvliet,7.570597195
Stadhoudersplantsoen,7.064189967
Sweelinckplein en omgeving,6.500931912
Bloemenbuurt-West,5.737902007
Bloemenbuurt-Oost,6.202590052
Bomenbuurt,6.273341831
Vogelwijk,5.330574861
Bosjes van Pex,6.294237999
Bohemen en Meer en Bos,6.96551387
Ockenburgh,4.846524144
Kijkduin,6.480417594
Kraayenstein,5.424803267
Houtwijk,5.20371945
Kom Loosduinen,6.23312289
Waldeck-Zuid,6.472654576
Nieuw Waldeck,5.414402881
Rosenburg,6.070761618
Componistenbuurt,6.841466281
Waldeck-Noord,7.357857645
Vruchtenbuurt,5.528577493
Eykenduinen,6.034227366
Heesterbuurt,6.191865549
Valkenboskwartier,6.073243636
Rond de Energiecentrale,6.21567692
Koningsplein en omgeving,6.696938239
Zeeheldenkwartier,6.881901165
Willemspark,8.038137973
Haagse Bos,7.413692332
Landen,6.216378409
Kampen,6.714201842
Marlot,5.679299158
Burgen en Horsten,6.491902927
Bezuidenhout-West,6.642173326
Bezuidenhout-Midden,6.816835771
Bezuidenhout-Oost,6.9926286
Huygenspark,6.922865104
Rivierenbuurt-Zuid,7.436321888
Rivierenbuurt-Noord,6.413325648
Kortenbos,7.010017891
Voorhout,8.778005662
Uilebomen,6.82120931
Zuidwal,7.234122991
Schildersbuurt-West,4.533680839
Schildersbuurt-Noord,4.66570861
Schildersbuurt-Oost,4.223782746
Transvaalkwartier-Noord,5.005234162
Transvaalkwartier-Midden,4.510340904
Transvaalkwartier-Zuid,4.375656865
Rustenburg,5.611106427
Oostbroek-Noord,5.410596755
Oostbroek-Zuid,5.252976186
Leyenburg,5.948223691
"Venen, Oorden en Raden",5.037400962
"Zijden, Steden en Zichten",5.232882451
Dreven en Gaarden,5.02952036
De Uithof,6.465106732
Morgenstond-Zuid,5.63351128
Morgenstond-West,5.341400982
Morgenstond-Oost,6.190560603
Zuiderpark,7.644905302
Moerwijk-Oost,5.517710565
Moerwijk-West,5.321423151
Moerwijk-Noord,5.341940948
Moerwijk-Zuid,5.587669997
Groente- en Fruitmarkt,4.489979113
Laakhaven-Oost,6.175973953
Laakhaven-West,5.882611205
Spoorwijk,4.627064923
Laakkwartier-West,5.31749404
Laakkwartier-Oost,5.576037727
Noordpolderbuurt,5.288131131
Binckhorst,1.317149634
Erasmus Veld,4.386675021
Hoge Veld,4.454133725
Parkbuurt oosteinde,4.765875178
Lage Veld,4.791305528
Zonne Veld,4.327683646
Vlietzoom-West,6.316421343
Bosweide,4.664133885
De Venen,5.29909103
Morgenweide,4.836001838
Singels,4.75280345
Waterbuurt,4.711727734
De Bras,4.233083624
Vlietzoom-Oost,5.960898568
De Lanen,4.225665775
De Velden,4.673015404
De Vissen,4.562775355
Rietbuurt,4.365162016
