Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Archipelbuurt,46,1.8,1037.501557,10.19962537,413.902612,220.5145181,644.6167555,7.424707099,2504.463035,92.91268304,62.07120239,154.9838854,2659.44692,207.0886628,63.39754907,7.507200315,234.8556846,55.91009978,70.86518756,639.6243841,637.9268929,1148.268407,5626.541217
Arendsdorp,78,2.3,1018.181711,9.113999942,381.7360784,224.5475556,615.3976339,5.636769872,2291.599853,91.94866323,62.22974822,154.1784115,2445.778264,177.5219027,59.1208844,6.037370641,260.2861023,53.53087679,73.9943341,630.4914709,594.18683,1366.629709,5309.67268
Belgisch Park,71,1.9,1056.78101,10.91706284,394.8209811,194.907003,600.6450469,6.364744355,2414.062997,95.64621963,65.78003452,161.4262542,2575.489251,208.7687933,51.19250381,6.589575619,240.8773075,51.30222869,75.84328066,634.5736896,628.5612991,1194.266468,5502.415041
Bezuidenhout-Midden,65,1.9,1038.48741,10.79476258,380.8693251,197.112196,588.7762837,6.816835771,2557.098434,91.10785665,60.64353748,151.7513941,2708.849828,201.6397764,58.11948455,7.111026042,239.7241922,50.51625428,65.84689185,622.9576253,604.6263765,1148.790115,5570.514359
Bezuidenhout-Oost,66,1.7,1049.314747,9.596771355,337.0274953,195.5354628,542.1597295,6.9926286,2688.038059,91.81721234,60.34153915,152.1587515,2840.19681,204.8142113,57.46758993,7.663657808,242.1316406,56.07891157,67.44079454,635.5968057,673.0435584,1144.174049,5747.304279
Bezuidenhout-West,64,1.7,1028.834265,10.18887605,338.648846,76.51059217,425.3483142,6.642173326,2397.647627,100.7121982,71.42882046,172.1410187,2569.788646,193.4468619,55.14474913,7.931122501,235.441898,33.4905395,73.03327529,598.4884463,659.401265,1120.98215,5288.50311
Binckhorst,60,1.3,1190.70012,1.64571267,63.07791361,1.42677095,66.15039723,1.317149634,3274.544267,95.05665473,64.99890405,160.0555588,3434.599826,195.5169574,38.40397227,7.956991043,197.1446153,51.04377996,76.92004199,566.986358,1172.063122,1523.682058,6431.816972
Bloemenbuurt-Oost,51,1.9,1048.663759,10.05718905,351.2464091,178.2398266,539.5434248,6.202590052,2471.456206,92.13426599,61.34403898,153.478305,2624.934511,197.460108,63.39323255,6.734950487,215.7745835,50.23046169,61.04793098,594.6412672,612.1011639,1162.992211,5426.086716
Bloemenbuurt-West,50,2.1,1048.208984,9.214873298,345.2680497,186.1936752,540.6765982,5.737902007,2404.651795,92.19723874,61.54463825,153.741877,2558.393672,205.7526012,62.30065803,6.127468767,230.099156,55.61778617,69.03560691,628.9332771,656.4761487,1378.599912,5438.426582
Bohemen en Meer en Bos,92,1.7,1059.647735,9.91381513,419.7753292,205.1640401,634.8531844,6.96551387,2415.406919,95.59750437,63.7799163,159.3774207,2574.78434,207.3779927,62.98146825,6.450039599,233.276145,55.88488414,63.56380594,629.5343356,685.9219844,1166.067373,5591.707093
Bomenbuurt,52,1.9,1050.771717,10.00499359,351.1032773,197.2971594,558.4054303,6.273341831,2489.807995,91.93201348,61.11398149,153.045995,2642.85399,193.7141895,57.72582835,6.719192797,216.8846848,47.88686429,59.95723416,582.8879939,612.1011639,1162.992211,5453.293637
Bosjes van Pex,81,2,1048.519257,9.870375402,366.4375646,199.872,576.17994,6.294237999,2485.749228,94.68498245,64.07736409,158.7623465,2644.511575,212.2254296,51.37292497,6.674056271,240.8373536,60.86466982,73.26400481,645.2384391,685.1120527,1370.224105,5605.855502
Bosweide,108,3.1,1037.577042,12.9124181,394.0523056,0,406.9647237,4.664133885,2361.06655,90.75700757,62.33627874,153.0932863,2514.159836,168.1407756,44.66570235,4.734707077,261.4060266,57.96675026,78.53629373,615.4502556,514.9094873,1596.219411,5093.725478
Burgen en Horsten,69,1.7,1063.956398,10.68618495,361.9807267,163.7597073,536.426619,6.491902927,2485.509128,92.95568737,61.87178853,154.8274759,2640.336604,198.8798414,61.35056051,6.584908926,245.5681537,36.72696976,58.22253591,607.3329702,694.4001489,1180.480253,5548.944643
Componistenbuurt,93,1.8,1066.597732,10.96088494,403.1410249,205.2414685,619.3433783,6.841466281,2431.126254,95.87328339,64.24478352,160.1180669,2591.244321,209.0342622,62.06819113,6.569839205,238.9519534,56.81958183,66.4740075,639.9178353,667.8824617,1202.188431,5591.827195
De Bras,115,3.1,1026.28442,10.1428098,285.1702511,4.468625108,299.781686,4.233083624,2320.455423,88.12268513,59.83197576,147.9546609,2468.410084,175.0833939,47.54155401,4.817164039,257.5269101,57.67971466,74.24249925,616.891236,521.4321636,1616.439707,4937.032673
De Lanen,118,3.1,1039.588584,10.31059076,296.7195357,92.13890012,399.1690266,4.225665775,2365.396171,87.49310671,59.03114246,146.5242492,2511.92042,174.1644479,52.83349625,4.899710296,261.7807156,53.04235968,72.98441405,619.7051438,526.4182143,1631.896464,5101.027054
De Uithof,99,1.7,1072.91471,13.14362841,484.1425032,195.4666087,692.7527403,6.465106732,2287.060021,96.04837761,65.18369195,161.2320696,2448.292091,195.1953646,61.04826564,6.337817313,236.4426705,47.63032919,63.50440414,610.1588514,950.7532952,1616.280602,5781.336795
De Velden,119,2.7,1055.698155,10.26910202,324.1953461,99.27818008,433.7426282,4.673015404,2462.937278,90.55319455,61.31461092,151.8678055,2614.805083,172.7846905,46.43949177,4.912528166,258.4524892,57.75014622,75.56100552,615.9003514,584.6583021,1578.577416,5309.477535
De Venen,111,2.3,1039.341635,16.82484957,466.4330152,3.582700855,486.8405656,5.29909103,2502.87399,88.33946905,58.87825106,147.2177201,2650.09171,164.305518,50.61441059,4.871471776,261.1478358,51.58296716,60.52486116,593.0470645,681.2929619,1566.973812,5455.913028
De Vissen,120,2.7,1054.330095,10.44463515,333.6238031,102.0330958,446.1015341,4.562775355,2425.995208,91.61812399,62.20782713,153.8259511,2579.821159,177.3255589,53.73574087,4.920455301,254.9170179,57.60134146,67.23469229,615.7348067,591.3775835,1596.719475,5291.927954
Dreven en Gaarden,98,2.1,1065.280007,8.761728048,237.8952304,125.6592399,372.3161983,5.02952036,2376.374965,92.64685589,63.11020941,155.7570653,2532.13203,169.6522498,61.49246149,4.884232122,118.9983691,39.12244985,72.08812447,466.2378868,810.3562024,1701.748025,5251.351845
Duindorp,100,2.1,1071.364741,12.22529918,353.2490401,98.14127286,463.6156121,5.496833145,2512.255792,90.01498646,59.94942132,149.9644078,2662.2202,173.3966604,50.38913242,5.957690653,236.2431399,41.25535289,74.3779451,581.6199214,886.3627564,1861.361789,5670.680064
Duinzigt,76,1.7,1029.17661,10.22165686,504.1906963,286.9738677,801.3862209,7.370246467,2212.58912,99.15295956,67.68829315,166.8412527,2379.430373,204.1466374,59.30301257,7.119708842,250.8209671,56.71432328,73.29260937,651.3972586,677.6093697,1151.935928,5546.370079
Duttendel,74,2.1,1037.582092,12.26106468,537.6924164,270.175814,820.1292951,6.126294267,2331.913247,95.12554424,64.29789929,159.4234435,2491.336691,203.6274333,62.32360627,7.464504372,236.972049,51.27843053,70.663641,632.3296645,650.140768,1365.295613,5637.644805
Erasmus Veld,101,2.5,1057.480741,9.312646421,313.4803352,86.15261252,408.9455941,4.386675021,2412.316779,94.49027826,64.25057751,158.7408558,2571.057635,201.4956951,49.61936744,6.502580909,233.49256,55.17560716,60.08030214,606.3661127,664.5332785,1661.333196,5312.770036
