Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,Household_size,GWP per capita,GWP per household
Archipelbuurt,46,1037.501557,10.19962537,413.90261200000003,220.51451809999998,7.424707099,2504.463035,92.91268304,62.07120239,207.0886628,63.39754907,7.507200315,234.8556846,55.91009978,70.86518756,1.8,637.926892900679,1148.2684073128735
Arendsdorp,78,1018.181711,9.113999942000001,381.7360784,224.54755559999998,5.636769872,2291.599853,91.94866323,62.22974822,177.52190269999997,59.1208844,6.037370641,260.2861023,53.53087679,73.99433409999999,2.3,594.1868299921942,1366.629709050785
Belgisch Park,71,1056.78101,10.91706284,394.82098110000004,194.907003,6.364744355,2414.062997,95.64621963,65.78003452,208.76879330000003,51.19250381,6.589575619,240.87730750000003,51.30222869,75.84328066,1.9,628.5612991187588,1194.2664682339907
Bezuidenhout-Midden,65,1038.48741,10.79476258,380.8693251,197.11219599999998,6.816835771,2557.098434,91.10785665,60.64353748,201.6397764,58.11948455,7.111026042000001,239.72419219999998,50.51625428,65.84689185,1.9,604.6263765219643,1148.790115322994
Bezuidenhout-Oost,66,1049.3147470000001,9.596771355,337.0274953,195.5354628,6.992628599999999,2688.038059,91.81721234,60.34153915,204.8142113,57.46758993,7.663657808,242.1316406,56.07891157,67.44079454,1.7,673.0435584359329,1144.1740492723477
Bezuidenhout-West,64,1028.834265,10.18887605,338.648846,76.51059217,6.642173326,2397.647627,100.7121982,71.42882046,193.4468619,55.14474913,7.931122501,235.441898,33.490539500000004,73.03327529,1.7,659.401264951486,1120.9821504633517
Binckhorst,60,1190.70012,1.64571267,63.07791361,1.42677095,1.317149634,3274.544267,95.05665473,64.99890405,195.5169574,38.40397227,7.9569910429999995,197.14461530000003,51.04377996,76.92004199,1.3,1172.0631215721944,1523.6820579522016
Bloemenbuurt-Oost,51,1048.663759,10.05718905,351.2464091,178.2398266,6.202590052000001,2471.456206,92.13426599,61.34403898,197.46010800000002,63.39323255,6.734950487000001,215.7745835,50.23046169,61.04793098,1.9,612.101163873107,1162.9922113130779
Bloemenbuurt-West,50,1048.2089839999999,9.214873297999999,345.2680497,186.19367519999997,5.737902007000001,2404.6517949999998,92.19723874,61.54463825,205.7526012,62.30065803,6.127468767000001,230.099156,55.61778617,69.03560691,2.1,656.4761487114714,1378.599912202439
Bohemen en Meer en Bos,92,1059.647735,9.91381513,419.77532919999993,205.1640401,6.96551387,2415.406919,95.59750437,63.7799163,207.3779927,62.98146825,6.450039599,233.276145,55.88488414,63.56380594,1.7,685.9219844112963,1166.0673734762906
Bomenbuurt,52,1050.771717,10.00499359,351.1032773,197.2971594,6.273341831000001,2489.807995,91.93201348,61.11398149,193.7141895,57.72582835,6.719192797000001,216.88468480000003,47.88686429,59.95723416,1.9,612.101163873107,1162.9922113130779
Bosjes van Pex,81,1048.519257,9.870375402,366.43756460000003,199.872,6.294237999,2485.749228,94.68498245,64.07736409,212.2254296,51.37292497,6.674056271,240.83735359999997,60.86466982,73.26400481,2.0,685.1120526676889,1370.2241053353778
Bosweide,108,1037.577042,12.9124181,394.0523056,0.0,4.664133885,2361.06655,90.75700757,62.33627874,168.1407756,44.66570235,4.7347070769999995,261.40602659999996,57.96675026,78.53629373,3.1,514.9094873050237,1596.2194107143118
Burgen en Horsten,69,1063.956398,10.68618495,361.9807267,163.7597073,6.491902927000001,2485.509128,92.95568737,61.87178853,198.8798414,61.35056051,6.584908926000001,245.5681537,36.72696976,58.22253591,1.7,694.4001489118876,1180.4802531731218
Componistenbuurt,93,1066.597732,10.96088494,403.1410249,205.2414685,6.841466281000001,2431.126254,95.87328339,64.24478352,209.0342622,62.06819113,6.569839205,238.9519534,56.81958183,66.4740075,1.8,667.8824617243374,1202.1884311954582
De Bras,115,1026.28442,10.142809800000002,285.17025110000003,4.468625108,4.233083624,2320.455423,88.12268513,59.83197576,175.0833939,47.54155401,4.817164039,257.52691009999995,57.67971466,74.24249925,3.1,521.4321636210296,1616.4397072251918
